version 1

// STAND --------------------------------------------------------------------------------------------------------------------------------
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Stand.anim",							blend_in_time = 0.25
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt1.anim",					blend_in_time = 0.25
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt2.anim",					blend_in_time = 0.25
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt3.anim",					blend_in_time = 0.25
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt4.anim",					blend_in_time = 0.25
STAND_TRAINED						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Stand.anim",							blend_in_time = 0.25
STAND_TRAINED						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt1.anim",					blend_in_time = 0.25
STAND_TRAINED						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt2.anim",					blend_in_time = 0.25
STAND_TRAINED						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt3.anim",					blend_in_time = 0.25
STAND_TRAINED						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_stand_alt4.anim",					blend_in_time = 0.25

// STAND IDLES --------------------------------------------------------------------------------------------------
STAND_IDLE_1						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1.anim",							blend_in_time = 0.25
STAND_IDLE_1						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt1.anim",					blend_in_time = 0.25
STAND_IDLE_1						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt2.anim",					blend_in_time = 0.25
STAND_IDLE_1						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt3.anim",					blend_in_time = 0.25
STAND_IDLE_1						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt4.anim",					blend_in_time = 0.25
STAND_IDLE_2						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2.anim",							blend_in_time = 0.25
STAND_IDLE_2						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt1.anim",					blend_in_time = 0.25
STAND_IDLE_2						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt2.anim",					blend_in_time = 0.25
STAND_IDLE_2						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt3.anim",					blend_in_time = 0.25
STAND_IDLE_2						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt4.anim",					blend_in_time = 0.25
STAND_IDLE_3						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3.anim",							blend_in_time = 0.25
STAND_IDLE_3						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt1.anim",					blend_in_time = 0.25
STAND_IDLE_3						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt2.anim",					blend_in_time = 0.25
STAND_IDLE_3						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt3.anim",					blend_in_time = 0.25
STAND_IDLE_3						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt4.anim",					blend_in_time = 0.25
STAND_IDLE_4						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4.anim",							blend_in_time = 0.25
STAND_IDLE_4						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt1.anim",					blend_in_time = 0.25
STAND_IDLE_4						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt2.anim",					blend_in_time = 0.25
STAND_IDLE_4						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt3.anim",					blend_in_time = 0.25
STAND_IDLE_4						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt4.anim",					blend_in_time = 0.25
STAND_IDLE_5						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5.anim",							blend_in_time = 0.25
STAND_IDLE_5						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt1.anim",					blend_in_time = 0.25
STAND_IDLE_5						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt2.anim",					blend_in_time = 0.25
STAND_IDLE_5						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt3.anim",					blend_in_time = 0.25
STAND_IDLE_5						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt4.anim",					blend_in_time = 0.25


// STAND TRAINED IDLES --------------------------------------------------------------------------------------------------
STAND_TRAINED_IDLE_1				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1.anim",							blend_in_time = 0.25
STAND_TRAINED_IDLE_1				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt1.anim",					blend_in_time = 0.25
