version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"great_arsenal"	"12_lber_land_cannon_persian"	0	false
"minor_governors_barracks"	"12_lber_land_cannon_persian"	0	false
"minor_governors_encampment"	"12_lber_land_cannon_persian"	0	false
"minor_royal_palace"	"12_lber_land_cannon_persian"	0	false
"ordnance_factory"	"12_lber_land_cannon_persian"	0	false
"gunnery_school"	"18_lber_land_cannon_persian"	0	false
"cannon_foundry"	"24_lber_land_cannon_(demi_cannon)_caucasian"	0	false
"ordnance_factory"	"24_lber_land_cannon_(demi_cannon)_caucasian"	0	false
"minor_royal_palace"	"24_lber_land_cannon_(demi_cannon)_caucasian"	0	false
"cannon_foundry"	"24_lber_land_cannon_(demi_cannon)_persian"	0	false
"ordnance_factory"	"24_lber_land_cannon_(demi_cannon)_persian"	0	false
"engineer_school"	"24_lber_land_cannon_persian"	0	false
"ordnance_board"	"24_lber_land_cannon_persian"	0	false
"great_arsenal"	"4_inch_mortar_persian"	0	false
"gunnery_school"	"4_inch_mortar_persian"	0	false
"engineer_school"	"8_inch_mortar_persian"	0	false
"ordnance_board"	"8_inch_mortar_persian"	0	false
"cannon_foundry"	"9_lber_land_cannon_(saker)_caucasian"	0	false
"minor_governors_barracks"	"9_lber_land_cannon_(saker)_caucasian"	0	false
"minor_governors_encampment"	"9_lber_land_cannon_(saker)_caucasian"	0	false
"minor_royal_palace"	"9_lber_land_cannon_(saker)_caucasian"	0	false
"cannon_foundry"	"9_lber_land_cannon_(saker)_persian"	0	false
"commercial_basin"	"barbary_xebec_buffed"	0	false
"commercial_port"	"barbary_xebec_buffed"	0	false
"drydock"	"barbary_xebec_buffed"	0	false
"dockyard"	"barbary_xebec_buffed"	0	false
"naval_hospital"	"barbary_xebec_buffed"	1	false
"steam_drydock"	"barbary_xebec_buffed"	0	false
"trading_company"	"barbary_xebec_buffed"	0	false
"trading_port"	"barbary_xebec_buffed"	0	false
"army_board"	"east_afghan_sherbacha"	0	false
"army_staff_college"	"east_afghan_sherbacha"	0	false
"military_academy"	"east_afghan_sherbacha"	0	false
"minor_governors_barracks"	"east_afghan_sherbacha"	0	false
"minor_royal_palace"	"east_afghan_sherbacha"	0	false
"army_barracks"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"army_board"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"army_encampment"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"army_staff_college"	"east_ethnic_hillmen_musketeers_caucasian"	1	false
"drill_school"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"military_academy"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"minor_governors_barracks"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"minor_governors_encampment"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"minor_royal_palace"	"east_ethnic_hillmen_musketeers_caucasian"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_hillmen_musketeers_caucasian"	2	false
"prest_maratha_ajinkyatara"	"east_ethnic_hillmen_musketeers_caucasian"	2	false
"prest_poland_akademia"	"east_ethnic_hillmen_musketeers_caucasian"	2	false
"army_board"	"east_ethnic_musketmen_jazayerchi"	0	false
"army_staff_college"	"east_ethnic_musketmen_jazayerchi"	0	false
"military_academy"	"east_ethnic_musketmen_jazayerchi"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_musketmen_jazayerchi"	0	false
"prest_maratha_ajinkyatara"	"east_ethnic_musketmen_jazayerchi"	0	false
"prest_poland_akademia"	"east_ethnic_musketmen_jazayerchi"	0	false
"prest_prussia_brandenburg_gate"	"east_ethnic_musketmen_jazayerchi"	0	false
"army_board"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"army_staff_college"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"military_academy"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"minor_governors_barracks"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"minor_royal_palace"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"prest_maratha_ajinkyatara"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"prest_poland_akademia"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"prest_prussia_brandenburg_gate"	"east_ethnic_hillmen_musketeers_jezail"	0	false
"army_board"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"army_staff_college"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"drill_school"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"military_academy"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"prest_maratha_ajinkyatara"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"prest_poland_akademia"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"prest_prussia_brandenburg_gate"	"east_ethnic_musketeers_bargir_nerfed"	0	false
"army_barracks"	"east_ethnic_musketmen_islamic_musketeers"	0	false
"army_board"	"east_ethnic_musketmen_islamic_musketeers"	1	false
"army_encampment"	"east_ethnic_musketmen_islamic_musketeers"	0	false
"army_staff_college"	"east_ethnic_musketmen_islamic_musketeers"	2	false
"drill_school"	"east_ethnic_musketmen_islamic_musketeers"	0	false
"military_academy"	"east_ethnic_musketmen_islamic_musketeers"	0	false
"minor_governors_barracks"	"east_ethnic_musketmen_islamic_musketeers"	0	false
"minor_governors_encampment"	"east_ethnic_musketmen_islamic_musketeers"	0	false
"minor_royal_palace"	"east_ethnic_musketmen_islamic_musketeers"	1	false
"prest_france_arc_de_triomphe"	"east_ethnic_musketmen_islamic_musketeers"	3	false
"prest_maratha_ajinkyatara"	"east_ethnic_musketmen_islamic_musketeers"	3	false
"prest_poland_akademia"	"east_ethnic_musketmen_islamic_musketeers"	3	false
"prest_prussia_brandenburg_gate"	"east_ethnic_musketmen_islamic_musketeers"	3	false
"army_barracks"	"east_ethnic_musketmen_tofangchi"	0	false
"army_board"	"east_ethnic_musketmen_tofangchi"	0	false
"army_staff_college"	"east_ethnic_musketmen_tofangchi"	1	false
"drill_school"	"east_ethnic_musketmen_tofangchi"	0	false
"military_academy"	"east_ethnic_musketmen_tofangchi"	0	false
"minor_governors_barracks"	"east_ethnic_musketmen_tofangchi"	0	false
"minor_royal_palace"	"east_ethnic_musketmen_tofangchi"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_musketmen_tofangchi"	2	false
"prest_maratha_ajinkyatara"	"east_ethnic_musketmen_tofangchi"	2	false
"prest_poland_akademia"	"east_ethnic_musketmen_tofangchi"	2	false
"prest_prussia_brandenburg_gate"	"east_ethnic_musketmen_tofangchi"	2	false
"army_barracks"	"east_ethnic_musketmen_tufekci"	0	false
"army_board"	"east_ethnic_musketmen_tufekci"	0	false
"army_staff_college"	"east_ethnic_musketmen_tufekci"	1	false
"drill_school"	"east_ethnic_musketmen_tufekci"	0	false
"military_academy"	"east_ethnic_musketmen_tufekci"	0	false
"minor_governors_barracks"	"east_ethnic_musketmen_tufekci"	0	false
