version 2, schema factions_tables
Faction_ID(string)	ID2(int)	Subculture(string)	Type(string)	Nation(string)	Nationality(string)	Names_DB(string)	sounds_id(string)	unknown10(optstring)	Rebels(boolean)	Early_Availability(boolean)	Late_Availability(boolean)	Icon(string)	Flag1(string)	Flag2(optstring)	Flag3(optstring)	R1(float)	G1(float)	B1(float)	R2(float)	G2(float)	B2(float)	R3(float)	G3(float)	B3(float)	R4(float)	G4(float)	B4(float)	R5(float)	G5(float)	B5(float)	R6(float)	G6(float)	B6(float)	Military_x0020_Group(string)	Settler_Rebels(optstring)	R(float)	G(float)	B(float)	ID3(optstring)	Abreviation(string)	unknown43(boolean)	unknown44(boolean)	Names_1(string)	Names_2(string)
"afghanistan"	79	"sc_mideast_islamic"	"minor"	"Afghanistan"	"Afghan"	"names_persian"	"afghanistan"	nil	false	true	true	"data\\ui\\units\\icons\\afghanistan"	"data\\ui\\flags\\afghanistan"	nil	"data\\ui\\flags\\rebels_eastern"	68	104	61	68	104	61	254	254	254	254	254	254	129	144	82	129	144	82	"mughal_group"	"middle_east_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_ottoman"	"names_persian"
"barbary_states"	2	"sc_mideast_islamic"	"minor"	"Barbary States"	"Barbary"	"names_muslim_general"	"barbary"	nil	false	true	true	"data\\ui\\units\\icons\\barbary_states"	"data\\ui\\flags\\barbary_states"	"data\\ui\\flags\\barbary_republic"	"data\\ui\\flags\\rebels_eastern"	113	104	95	113	104	95	242	185	120	242	185	120	170	124	60	170	124	60	"barbary_group"	"middle_east_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_muslim_general"
"chechenya_dagestan"	83	"sc_mideast_islamic"	"non-expansionist"	"Dagestan"	"Dagestani"	"names_persian"	"chechenya_dagestan"	nil	false	true	true	"data\\ui\\units\\icons\\chechenya_dagestan"	"data\\ui\\flags\\chechenya_dagestan"	nil	"data\\ui\\flags\\rebels_eastern"	196	183	143	196	183	143	202	202	202	202	202	202	33	44	20	33	44	20	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_ottoman"	"names_persian"
"colombia"	1618056724	"sc_european_america"	"minor"	"Gran Colombia"	"Gran Colombian"	"names_spanish"	"spain"	nil	false	true	true	"data\\ui\\units\\icons\\colombia"	"data\\ui\\flags\\colombia"	nil	"data\\ui\\flags\\rebels_europe"	253	228	135	253	228	135	164	0	1	164	0	1	238	207	89	238	207	89	"spain_group"	"european_settler_rebels"	173	173	173	"0"	"Sp"	false	false	"names_english"	"names_spanish"
"crimean_khanate"	47	"sc_mideast_islamic"	"minor"	"Crimean Khanate"	"Crimean"	"names_muslim_general"	"crimean"	nil	false	true	true	"data\\ui\\units\\icons\\crimean_khanate"	"data\\ui\\flags\\crimean_khanate"	nil	"data\\ui\\flags\\rebels_eastern"	116	134	145	116	134	145	77	88	110	77	88	110	93	39	37	93	39	37	"russia_poland_group"	"middle_east_settler_rebels"	173	173	173	nil	"Tu"	false	false	"names_ottoman"	"names_muslim_general"
"denmark"	5	"sc_european_west"	"minor"	"Denmark"	"Danish"	"names_swedish"	"denmark"	nil	true	true	false	"data\\ui\\units\\icons\\denmark"	"data\\ui\\flags\\denmark"	"data\\ui\\flags\\denmark_republic"	"data\\ui\\flags\\rebels_europe"	101	29	29	101	29	29	255	255	241	255	255	241	165	0	33	165	0	33	"sweden_denmark_group"	"european_settler_rebels"	173	173	173	nil	"Sw"	false	false	"names_english"	"names_swedish"
"georgia"	82	"sc_european_south"	"non-expansionist"	"Georgia"	"Georgian"	"names_greek"	"georgia"	nil	false	true	true	"data\\ui\\units\\icons\\georgia"	"data\\ui\\flags\\georgia"	nil	"data\\ui\\flags\\rebels_europe"	184	184	184	184	184	184	214	0	26	214	0	26	255	255	255	255	255	255	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_english"	"names_greek"
"khanate_khiva"	86	"sc_mideast_islamic"	"non-expansionist"	"Khanate of Khiva"	"Khivan"	"names_persian"	"khanate"	nil	false	true	true	"data\\ui\\units\\icons\\khanate_khiva"	"data\\ui\\flags\\khanate_khiva"	nil	"data\\ui\\flags\\rebels_eastern"	0	154	20	0	154	20	0	0	0	0	0	0	24	58	27	24	58	27	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_ottoman"	"names_persian"
"mamelukes"	11	"sc_mideast_islamic"	"minor"	"Mamelukes"	"Mameluk"	"names_muslim_general"	"mamelukes"	nil	false	true	true	"data\\ui\\units\\icons\\mamelukes"	"data\\ui\\flags\\mamelukes"	nil	"data\\ui\\flags\\rebels_eastern"	209	182	113	209	182	113	49	72	30	49	72	30	174	137	68	174	137	68	"ottoman_group"	"middle_east_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_muslim_general"
"mexico"	1320965439	"sc_european_america"	"non-expansionist"	"México"	"Mexican"	"names_spanish"	"spain"	nil	false	true	true	"data\\ui\\units\\icons\\mexico"	"data\\ui\\flags\\mexico"	nil	"data\\ui\\flags\\rebels_europe"	11	66	36	11	66	36	164	0	1	164	0	1	61	83	126	61	83	126	"spain_group"	"european_settler_rebels"	173	173	173	"0"	"Sp"	true	true	"names_english"	"names_spanish"
