version 3, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)
"12_lber_land_cannon_persian"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	640	620	1	840	210	22	true	"artillery_medium_cannon"	"ott_cannon_12_icon"	"East_Artillerymen_info_cn12"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"18_lber_land_cannon_persian"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	850	210	22	true	"artillery_heavy_cannon"	"ott_cannon_18_icon"	"East_Artillerymen_info_cn18"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_land_cannon_(demi_cannon)_caucasian"	"Demi-Cannons"	"artillery"	"artillery_fixed"	660	630	2	700	170	22	true	"artillery_demi_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_(demi_cannon)_persian"	"Demi-Cannons"	"artillery"	"artillery_fixed"	660	630	2	700	170	22	true	"artillery_demi_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_persian"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	860	210	22	true	"artillery_medium_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"4_inch_mortar_persian"	"Mortars"	"artillery"	"artillery_fixed"	920	880	1	950	230	22	true	"artillery_light_mortar"	"ott_mortar_04_icon"	"East_Artillerymen_info_mo04"	"4_inch_mortar"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"8_inch_mortar_persian"	"Large Mortars"	"artillery"	"artillery_fixed"	880	840	1	650	160	21	true	"artillery_heavy_mortar"	"ott_mortar_08_icon"	"East_Artillerymen_info_mo08"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"9_lber_land_cannon_(saker)_caucasian"	"9-lber Artillery"	"artillery"	"artillery_fixed"	610	590	2	670	160	22	true	"artillery_sakers"	"ott_cannon_09_icon"	"East_Artillerymen_info_cn09"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"9_lber_land_cannon_(saker)_persian"	"9-lber Artillery"	"artillery"	"artillery_fixed"	610	590	2	670	160	22	true	"artillery_sakers"	"ott_cannon_09_icon"	"East_Artillerymen_info_cn09"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"armed_citizenry_pirates"	"Pirate Mob"	"infantry"	"infantry_mob"	570	500	0	0	0	24	true	"infantry_citizen"	"Euro_Pirate_icon_infm"	"Euro_Pirate_info_infm"	"armed_citizenry_africa"	"global"	0	"mp_infantry"	true	true	true	0	true	0
"armed_peasantry_semenys"	"Semenys"	"infantry"	"infantry_mob"	200	180	1	290	70	24	true	"infantry_peasant"	"East_Ethnic_Peasants_Firelocks_icon_inf1"	"east_ethnic_peasants_firelocks"	"armed_citizenry_africa"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"barbary_xebec_buffed"	"Xebec"	"naval_frigate"	"naval_xebec"	670	550	2	720	180	83	true	"naval_captain"	"xebec"	"xebec"	"barbary_xebec"	"med_coast"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"deli_scouts"	"Deli Scouts"	"cavalry"	"cavalry_irregular"	770	680	1	990	290	28	true	"cavalry_generic"	"Ottoman_Deli_Scout_icon_cavs"	"Ottoman_Deli_Scout_info_cavs"	"deli_scouts"	"global"	0	"mp_cavalry"	true	true	true	0	false	0
"desert_warriors"	"Desert Warriors"	"infantry"	"infantry_militia"	470	420	1	640	160	25	true	"infantry_warrior_east"	"East_Desert_Nomads"	"east_desert_nomads"	"desert_warriors"	"desert"	0	"mp_infantry"	true	true	true	0	false	0
"desert_warriors_garrison"	"Desert Warriors"	"infantry"	"infantry_militia"	470	420	1	640	160	25	true	"infantry_warrior_east"	"East_Desert_Nomads"	"east_desert_nomads"	"desert_warriors"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_afghan_sherbacha"	"Afghan Sher-Bacha Gunners"	"dragoons"	"dragoons"	980	860	1	1220	300	28	true	"dragoons"	"east_afghan_icon_cavs"	"east_afghan_info_cavs"	"east_afghan_sherbacha"	"afghans"	0	"mp_cavalry"	true	true	true	0	false	4
