version 1, schema _kv_morale_tables
Key(string)	Value(float)
"blood_bonus_12"	9
"blood_bonus_5"	4
"blood_bonus_7"	6
"broken_finish_base_timeout"	60
"charge_bonus"	25
"charge_timeout"	60
"defensive_fort"	1
"extended_casualties_penalty_10"	-2
"extended_casualties_penalty_15"	-3
"extended_casualties_penalty_33"	-4
"extended_casualties_penalty_50"	-11
"extended_casualties_penalty_80"	-18
"fear_effect_range"	80
"fighting_cavalry"	-7
"morale_base"	5
"recent_casualties_penalty_10"	-8
"recent_casualties_penalty_15"	-10
"recent_casualties_penalty_33"	-17
"recent_casualties_penalty_50"	-22
"recent_casualties_penalty_6"	-7
"recent_casualties_shock_threshold"	9
"routing_unit_effect_distance_flank"	60
"routing_unit_effect_distance_front"	100
"surprise_timeout"	300
"total_casualties_penalty_20"	-3
"total_casualties_penalty_40"	-6
"total_casualties_penalty_60"	-12
"total_casualties_penalty_80"	-25
"total_casualties_penalty_90"	-35
"ume_concerned_army_destruction"	-37
"ume_concerned_attacked_by_artillery"	-13
"ume_concerned_attacked_by_projectile"	-13
"ume_concerned_exhausted"	-4
"ume_concerned_flanks_exposed_multiple"	-6
"ume_concerned_flanks_exposed_single"	-3
"ume_concerned_general_dead"	-2
"ume_concerned_general_died_recently"	-7
"ume_concerned_general_fled_recently"	-6
"ume_concerned_horses_frightened"	-4
"ume_concerned_panic"	-22
"ume_concerned_surprised"	-7
"ume_concerned_tired"	-1
"ume_concerned_unit_frightened"	-4
"ume_concerned_very_tired"	-2
"ume_encouraged_flanks_secure"	5
"ume_encouraged_inspired"	10
"ume_encouraged_on_the_hill"	7
"ums_broken_threshold_lower"	-27
"ums_broken_threshold_upper"	-7
"ums_confident_threshold_lower"	8
"ums_confident_threshold_upper"	20
"ums_eager_threshold_lower"	14
"ums_eager_threshold_upper"	22
"ums_impetuous_threshold_lower"	20
"ums_shaken_threshold_lower"	-6
"ums_shaken_threshold_upper"	3
"ums_steady_threshold_lower"	0
"ums_steady_threshold_upper"	10
"ums_wavering_threshold_lower"	-10
"ums_wavering_threshold_upper"	-4
"was_attacked_in_flank"	-3
"was_attacked_in_front"	1
"was_attacked_in_rear"	-6
"waver_base_timeout"	40
