version 1, schema battle_entities_tables
Battle_x0020_Entity_x0020_ID(string)	class_validation(string)	type(string)	walk_speed(float)	run_speed(float)	acceleration(float)	deceleration(float)	charge_speed(float)	crawl_speed(float)	charge_distance_commence_run(float)	charge_distance_adopt_charge_pose(float)	charge_distance_pick_target(float)	radius(float)	shape(string)	radii_ratio(float)	mass(float)	height(float)	fire_arc_close(float)	fire_arc_loose(float)	turn_speed(float)	hit_points(int)
"ammo_caisson_large"	"artillery"	"ammo_caisson"	1.62	3.42	0.6	4	4	0.5	30	20	10	2	"ellipse"	0.2	1800	2.5	30	5	25	14
"ammo_caisson_small"	"artillery"	"ammo_caisson"	1.8	3.6	0.6	4	4	0.5	30	20	10	2	"ellipse"	0.2	1400	2.3	30	5	25	14
"artillery_fixed"	"artillery"	"artillery"	0.56	1	0.6	1	1	0.5	30	20	10	1.5	"ellipse"	0.2	4000	1.5	360	5	25	14
"artillery_light"	"artillery"	"artillery"	0.9	1.8	0.6	1	1.8	0.5	30	20	10	1.5	"ellipse"	0.2	2000	1.2	360	5	25	14
"artillery_medium"	"artillery"	"artillery"	0.63	1.35	0.6	1	1.35	0.5	30	20	10	1.5	"ellipse"	0.2	3000	1.3	360	5	25	14
"artillery_siege"	"artillery"	"artillery"	0.56	1	0.6	1	1	0.5	30	20	10	1.5	"ellipse"	0.2	4000	1.5	360	5	25	14
"camel"	"cavalry"	"camel"	4	7	1.7	3	8	0.5	0	100	30	1	"ellipse"	0.25	490	3.5	170	170	55	2
"elephant"	"cavalry"	"elephant"	3.5	5	0.7	3	7	0.4	0	100	30	2.7	"ellipse"	0.25	6500	5	170	170	5	10
"gun_train_2_horse"	"artillery"	"gun_train_2"	1.8	1.8	0.6	2	2	0.5	30	20	10	2	"ellipse"	0.2	1400	2.3	80	80	25	30
"gun_train_6_horse"	"artillery"	"gun_train_6"	2.7	9	0.6	2	2	0.5	30	20	10	2	"ellipse"	0.2	1800	2.5	80	80	25	30
"horse_heavy"	"cavalry"	"horse"	5	9	1.9	3	10	0.5	0	100	30	1	"ellipse"	0.25	800	3.3	170	120	62	2
"horse_light"	"cavalry"	"horse"	5	10	2.1	4	11	0.5	0	100	30	1	"ellipse"	0.25	500	3.1	170	120	66	2
"horse_medium"	"cavalry"	"horse"	5	9.5	2	3	10	0.5	0	100	30	1	"ellipse"	0.25	650	3.2	170	120	64	2
"infantry_euro_heavy"	"infantry"	"man"	1.8	4	1.3	6	4.6	0.65	0	100	15	0.28	"ellipse"	0.25	80	2.5	120	120	39	1
"infantry_euro_light"	"infantry"	"man"	1.8	4.2	1.5	6	4.9	0.65	0	100	15	0.28	"ellipse"	0.25	50	2.1	120	120	42	1
"infantry_euro_medium"	"infantry"	"man"	1.8	4.1	1.4	6	4.7	0.65	0	100	15	0.28	"ellipse"	0.25	60	2.3	120	120	40	1
"naval_cannon"	"naval_artillery"	"artillery"	0	0	0.6	0	0	0	30	0	10	1	"ellipse"	0.2	2000	1.8	40	5	10	4000
"naval_fixed"	"naval_artillery"	"artillery"	0	0	0.6	0	0	0	30	0	10	1	"ellipse"	0.2	1400	2.3	40	5	5	4000
"puckle"	"artillery"	"artillery"	1.8	3.6	0.6	1	4	0.5	30	20	10	1	"ellipse"	0.2	1000	2	60	5	25	1
"puckle_carriage"	"artillery"	"ammo_caisson"	1.8	3.6	0.6	1	4	0.5	30	20	10	1	"ellipse"	0.2	1000	2	60	5	25	1
"melee_man"	"infantry"	"man"	1.8	4.1	1.7	6	4.8	0.6	0	100	15	0.28	"circle"	0.25	90	2.3	120	120	55	1
"native_american"	"infantry"	"man"	3	4.3	1.7	6	4.8	0.6	0	100	15	0.28	"circle"	0.25	75	2.1	120	120	55	1
