version 1, schema _kv_fatigue_tables
Key(string)	Value(float)
"charging"	8
"combat"	10
"fatigue_resistant_delta"	-1
"gradient_shallow"	3
"gradient_shallow_movement_multiplier"	100
"gradient_steep"	6
"gradient_steep_movement_multiplier"	133
"gradient_very_steep"	10
"gradient_very_steep_movement_multiplier"	166
"idle"	-10
"idle_in_building"	-12
"idle_rain"	-6
"idle_snow"	-4
"limbering"	6
"ready"	2
"reloading"	8
"reloading_artillery"	10
"running"	6
"running_artillery_horse"	5
"running_cavalry"	3
"running_cavalry_light"	2
"shooting"	6
"threshold_active"	2800
"threshold_exhausted"	23600
"threshold_fresh"	20
"threshold_max"	30800
"threshold_tired"	8200
"threshold_very_tired"	11800
"threshold_winded"	4600
"tight_formation"	4
"under_fire_artillery"	6
"under_fire_small_arms"	4
"walking"	1
"walking_artillery"	12
"walking_horse_artillery"	2
"working"	20
