version 1, schema unit_movement_modifiers_tables
Movement_Modifier(string)	Horse_Artillery(float)	Foot_Artillery(float)	Cavalry(float)	Infantry(float)
"field_ploughed"	0.75	0.8	0.85	0.95
"field_ploughed_wet"	0.6	0.65	0.7	0.8
"grassland"	1	1.2	1.2	1
"mud"	0.6	0.65	0.8	0.8
"mud_wet"	0.3	0.35	0.7	0.7
"road"	2	2	1.5	1.5
"road_frozen"	2	2	1.5	1.5
"rock"	1	1	1	1
"sand"	0.6	0.65	0.8	0.8
"sand_wet"	0.6	0.65	0.8	0.8
"scree"	0.6	0.65	0.8	0.8
"snow"	0.6	0.65	0.8	0.75
"stone_masonry"	2	2	1.5	1.5
"vegetation_dense_forest"	0.4	0.4	0.6	0.9
"vegetation_light_scrub"	0.7	0.7	0.9	1
"vegetation_medium_woodland"	0.4	0.4	0.6	1
"water_deep"	0.1	0.1	0.2	0.1
"water_frozen"	0.5	0.5	0.5	0.5
"water_medium_ford"	0.4	0.4	0.8	0.6
"water_shallow"	0.75	0.8	0.9	0.8
"wood"	0.4	0.4	0.5	1
