version 1, schema unit_movement_modifiers_tables
Movement_Modifier(string)	Horse_Artillery(float)	Foot_Artillery(float)	Cavalry(float)	Infantry(float)
"field_ploughed"	0.75	0.8	0.85	0.95
"field_ploughed_wet"	0.6	0.65	0.7	0.8
"grassland"	1	1	1	1
"mud"	0.6	0.65	0.8	0.8
"mud_wet"	0.4	0.45	0.5	0.5
"road"	1.5	1.5	1.5	1.5
"road_frozen"	1	1	1	1
"rock"	0.75	0.8	0.85	0.95
"sand"	0.65	0.7	0.9	0.9
"sand_wet"	0.65	0.7	0.85	0.85
"scree"	0.6	0.65	0.7	0.8
"snow"	0.65	0.7	0.85	0.7
"stone_masonry"	1.5	1.5	1.5	1.5
"vegetation_dense_forest"	0.4	0.4	0.4	0.7
"vegetation_light_scrub"	0.7	0.8	0.9	0.95
"vegetation_medium_woodland"	0.4	0.4	0.75	0.85
"water_deep"	0.1	0.1	0.1	0.1
"water_frozen"	0.5	0.5	0.5	0.5
"water_medium_ford"	0.5	0.5	0.6	0.6
"water_shallow"	0.5	0.5	0.6	0.6
"wood"	1.1	1.1	1.1	1.1
