version 2, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Man_x0020_Health(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Mount_x0020_Armour_x0020_Value(string)	Mount_x0020_Health(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Primary_x0020_Missile_x0020_Attack(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Skeleton_x0020_Missile(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Skeleton_x0020_Melee(string)	Pistols(string)	Unit_x0020_Drill_x0020_Set(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	File_x0020_Spacing_x0020_Loose_x0020_Formation(float)	Rank_x0020_Spacing_x0020_Loose_x0020_Formation(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Base_x0020_Density(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving_x0020__x0023_Is_x0020_Immune_x0020_to_x0020_Attrition_x0020_in_x0020_Napoleon(boolean)
"americas_dragoons"	60	60	0	"euro_officer2"	"euro_bugler"	nil	"euro_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	9	15	6	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	7	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	true	true	false	false	false	false	false	false
"eua_brunswick_dragoons"	60	60	0	"eua_officer_brunswick"	"eua_bugler_brunswick"	nil	"eua_brunswick_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	11	17	8	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	8	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false
"euro_dragoons"	60	60	0	"euro_officer2"	"euro_bugler"	nil	"euro_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	9	15	6	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	7	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false
"euro_dragoons_austria"	60	60	0	"euro_officer2"	"euro_bugler"	nil	"euro_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	10	16	7	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	8	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false
"euro_dragoons_colonial"	60	60	0	"euro_officer2"	"euro_bugler"	nil	"euro_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	9	15	6	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	7	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	true	false	false	false	false	false
"euro_dragoons_small"	60	60	0	"euro_officer2"	"euro_bugler"	nil	"euro_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	9	15	6	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	7	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false
"euro_dragoons_sweden"	80	80	0	"euro_officer2"	"euro_bugler"	nil	"euro_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	25	"0"	"flintlock"	"musket_carbine"	10	"dragoon_carbine"	"sabre"	9	15	6	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	7	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false
"horse_grenadier_guards"	60	60	0	"euro_officer1"	"euro_bugler"	nil	"horse_grenadier_guards"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	5	"leather"	1	"horse_heavy_all_black"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	50	45	"0"	"flintlock"	"musket_flintlock"	10	"dragoon_carbine"	"sword"	13	19	10	0	"mounted_sword"	"0"	"drill_set_cavalry"	"well_well_trained"	11	3	2	4.5	4	9	1.1	2	10	0	true	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	true	false	true	false	false	false	false	false	false
"nan_plains_cheyenne_dog_soldiers"	80	80	0	"nan_plains_cavalry_officer_carbine_axe"	nil	nil	"plains_cheyenne_dog_soldiers"	"infantry_euro_light"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	0	"leather"	1	"na_generals_horse"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	50	35	"0"	"flintlock"	"musket_light_carbine"	10	"dragoon_carbine"	"sabre"	9	12	7	0	"mounted_slash"	"0"	"drill_set_cavalry"	"mob"	9	3	2.2	4.5	4	9	1.1	2	10	0	false	true	false	true	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"eue_libyan_kuloglu"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"eue_libyan_kuloglu"	"infantry_euro_medium"	"rider_musket_sabre"	"x_east_blunderbuss"	2	"leather"	1	"horse_mixed_browns"	"horse_heavy"	"mount_horse"	"6"	"1"	nil	nil	nil	nil	false	nil	"carbine"	45	35	"0"	"flintlock"	"blunderbuss"	10	"dragoon_carbine"	"sabre"	12	17	8	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	8	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	false	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	true	true	false	false	false	false	false
