version 2, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Man_x0020_Health(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Mount_x0020_Armour_x0020_Value(string)	Mount_x0020_Health(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Primary_x0020_Missile_x0020_Attack(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Skeleton_x0020_Missile(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Skeleton_x0020_Melee(string)	Pistols(string)	Unit_x0020_Drill_x0020_Set(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	File_x0020_Spacing_x0020_Loose_x0020_Formation(float)	Rank_x0020_Spacing_x0020_Loose_x0020_Formation(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Base_x0020_Density(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving_x0020__x0023_Is_x0020_Immune_x0020_to_x0020_Attrition_x0020_in_x0020_Napoleon(boolean)
"nan_iroquois_mohawk_elite_warriors"	120	0	0	"nan_iroquois_officer_musket_axe"	nil	nil	"iroquois_mohawk_elite_warriors"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	40	15	"0"	"none"	"bow"	15	"foot_bow"	"tomahawk"	10	8	5	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	8	3	2.1	2.5	2.2	4	0	0	10	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"episodic_1_native_american_archers"	180	0	0	"native_american_officer_bow_axe"	nil	nil	"native_american_archers"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	25	5	"0"	"none"	"bow"	15	"foot_bow"	"tomahawk"	1	2	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"poorly_trained"	3	3	1.1	2	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	false	false	false	50	75	100	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"episodic_native_american_archers"	180	0	0	"native_american_officer_bow_axe"	nil	"native_american_standard_bearer"	"native_american_archers"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	50	20	"0"	"none"	"bow"	15	"foot_bow"	"tomahawk"	9	5	5	0	"foot_axe"	"0"	"drill_set_infantry_light"	"poorly_trained"	10	3	1.1	2	2.2	4	0	0	20	0	false	false	false	false	false	false	false	true	true	true	false	false	false	false	50	75	100	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
"episodic_native_american_archers_rubbish"	180	0	0	"native_american_officer_bow_axe"	nil	"native_american_standard_bearer"	"native_american_archers"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	40	15	"0"	"none"	"bow"	15	"foot_bow"	"tomahawk"	3	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"poorly_trained"	6	3	1.1	2	2.2	4	0	0	20	0	false	false	false	false	false	false	false	false	false	false	false	false	false	false	50	75	100	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
"nan_cherokee_archers"	80	0	0	"nan_cherokee_officer_bow_axe"	nil	nil	"cherokee_archer"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	25	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	4	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	2	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"nan_cherokee_muscogee_tribesmen"	120	0	0	"nan_cherokee_officer_musket_axe"	nil	nil	"cherokee_muscogee_elite_tribesmen"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	50	25	"0"	"flintlock"	"bow"	15	"foot_bow"	"tomahawk"	8	6	6	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	8	3	2.1	2.5	2.2	4	0	0	10	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"nan_huron_archers"	80	0	0	"nan_huron_officer_bow_axe"	nil	nil	"huron_archer"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	25	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	4	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	2	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"nan_iroquois_archers"	80	0	0	"nan_iroquois_officer_bow_axe"	nil	nil	"iroquois_archer"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	25	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	4	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	2	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"nan_plains_archers"	80	0	0	"nan_plains_officer_bow_axe"	nil	nil	"plains_archer"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	25	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	4	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	2	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"nan_pueblo_archers"	80	0	0	"nan_pueblo_officer_bow_axe"	nil	nil	"pueblo_archer"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	25	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	4	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	2	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"native_american_archers"	80	0	0	"native_american_officer_bow_axe"	nil	nil	"native_american_archers"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	0	"0"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	30	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	2	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	2	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	true	false	50	100	150	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"native_american_archers_auxiliary"	80	0	0	"native_american_auxiliary_officer_bow_axe"	nil	nil	"native_american_musketeer"	"infantry_euro_light"	"man_archer"	"x_natam_bow_axe"	1	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	30	10	"0"	"none"	"bow"	20	"foot_bow"	"tomahawk"	2	3	1	0	"foot_axe"	"0"	"drill_set_infantry_light"	"mob"	4	3	2.1	2.5	2.2	4	0	0	10	0	false	true	true	false	false	false	false	true	true	true	true	true	true	false	50	100	150	true	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"eue_armenian_archers"	80	0	0	"ottoman_officer1"	"ottoman_bugler"	nil	"eue_armenian_archers"	"infantry_euro_medium"	"man_archer"	"x_east_bow_knife"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"bow"	40	15	"0"	"none"	"bow"	20	"foot_bow"	"sword"	7	7	3	0	"foot_sword"	"0"	"drill_set_infantry_light"	"mob"	6	3	2.1	2.5	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
