version 2, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Man_x0020_Health(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Mount_x0020_Armour_x0020_Value(string)	Mount_x0020_Health(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Primary_x0020_Missile_x0020_Attack(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Skeleton_x0020_Missile(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Skeleton_x0020_Melee(string)	Pistols(string)	Unit_x0020_Drill_x0020_Set(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	File_x0020_Spacing_x0020_Loose_x0020_Formation(float)	Rank_x0020_Spacing_x0020_Loose_x0020_Formation(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Base_x0020_Density(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving_x0020__x0023_Is_x0020_Immune_x0020_to_x0020_Attrition_x0020_in_x0020_Napoleon(boolean)
"americas_long_rifle_men"	80	0	0	"euro_officer1"	nil	nil	"euro_long_rifleman"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	75	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	9	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"poorly_trained"	6	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	true	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"cazadores"	80	0	0	"euro_officer1"	nil	nil	"euro_guerillas"	"infantry_euro_light"	"man_musket"	"x_euro_musket_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_musket"	"axe"	7	12	4	0	"foot_knife"	"0"	"drill_set_infantry_light"	"mob"	8	3	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	true	false	false	true	true	true	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"eua_morgans_rifles"	80	0	0	"eua_officer_morgans_rifles"	"eua_bugler_morgans_rifles"	nil	"eua_morgans_rifles"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	80	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	10	10	6	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	9	3	1.1	2	5	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_elite_light_infantry"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	5	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_croatian_grenzers"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"croatian_grenzers"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_musket_double_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket_double"	55	40	"0"	"flintlock"	"musket_double"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_green_jackets"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_late_riflemen"	"infantry_euro_light"	"man_musket"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"plug_bayonet"	4	8	9	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_prussian_jaegers"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_prussia_jaeger"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_tirailleurs"	80	0	0	"euro_officer1"	"euro_bugler"	nil	"euro_late_riflemen"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_windbuchse_jaegers"	60	0	0	"euro_officer2"	nil	nil	"euro_elite_light_infantry_windbuchse_jaegers"	"infantry_euro_light"	"man_rifle"	"x_euro_rifle_air"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle_air"	70	35	"0"	"none"	"airgun"	25	"foot_rifle"	"rifle_butt"	4	4	7	0	"foot_rifle_butt"	"0"	"drill_set_infantry_light"	"mob"	7	3	2.1	2.5	2.2	4	0	0	10	0	false	true	true	false	false	false	false	true	true	true	true	true	true	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_late_riflemen"	80	0	0	"euro_late_rifleman_officer"	"euro_bugler"	nil	"euro_late_riflemen"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	10	10	6	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	9	3	1.1	2	5	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"ferguson_riflemen"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_elite_light_infantry"	"infantry_euro_light"	"man_rifle"	"x_euro_rifle_screw"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle_screw_breech"	70	35	"0"	"flintlock"	"musket_breech_loader"	20	"foot_rifle"	"rifle_butt"	4	6	7	0	"foot_rifle_butt"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	false	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"nizam_I_cedit_rifles"	80	0	0	"ottoman_officer1"	"ottoman_bugler"	nil	"ottoman_nizam_y_cedid_rifles"	"infantry_euro_light"	"man_musket_sabre"	"x_east_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	10	10	6	0	"foot_sword"	"0"	"drill_set_infantry_light"	"well_trained"	9	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
