version 1, schema unit_to_unit_abilities_junctions_tables
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"12_lber_howitzer"	"gabionade"
"12_lber_howitzer_colonial"	"gabionade"
"12_lber_land_cannon"	"gabionade"
"12_lber_land_cannon_colonial"	"gabionade"
"12_lber_land_cannon_indian"	"gabionade"
"18_lber_land_cannon"	"gabionade"
"18_lber_land_cannon_east"	"gabionade"
"18_lber_land_cannon_guard_galloper"	"gabionade"
"18_lber_land_cannon_indian"	"gabionade"
"24_lber_howitzer"	"gabionade"
"24_lber_howitzer_ottoman"	"gabionade"
"24_lber_land_cannon"	"gabionade"
"24_lber_land_cannon_(demi_cannon)"	"gabionade"
"24_lber_land_cannon_(demi_cannon)_east"	"gabionade"
"24_lber_land_cannon_(demi_cannon)_indian"	"gabionade"
"24_lber_land_cannon_east"	"gabionade"
"24_lber_land_cannon_guard"	"gabionade"
"24_lber_land_cannon_indian"	"gabionade"
"3_lber_land_cannon_galloper"	"gabionade"
"4_inch_mortar"	"gabionade"
"4_inch_mortar_indian"	"gabionade"
"6_lber_land_cannon_galloper"	"gabionade"
"64_lber_land_cannon_elephant"	"gabionade"
"64_lber_siege_cannon"	"gabionade"
"8_inch_mortar"	"gabionade"
"8_inch_mortar_east"	"gabionade"
"9_lber_land_cannon_(saker)"	"gabionade"
"9_lber_land_cannon_(saker)_east"	"gabionade"
"9_lber_land_cannon_(saker)_indian"	"gabionade"
"americas_dragoons"	"diamond_formation"
"americas_dragoons"	"wedge_formation"
"americas_hessian_infantry"	"chevaux_de_frise"
"americas_hessian_infantry"	"earthworks"
"americas_hessian_infantry"	"fire_and_advance"
"americas_hessian_infantry"	"square_formation"
"americas_line_infantry"	"chevaux_de_frise"
"americas_line_infantry"	"earthworks"
"americas_line_infantry"	"fire_and_advance"
"americas_line_infantry"	"square_formation"
"americas_long_rifle_men"	"chevaux_de_frise"
"americas_long_rifle_men"	"earthworks"
"americas_long_rifle_men"	"fire_volley"
"americas_long_rifle_men"	"wooden_stakes"
"americas_militia_infantry"	"chevaux_de_frise"
"americas_militia_infantry"	"earthworks"
"americas_provincial_cavalry"	"diamond_formation"
"americas_provincial_cavalry"	"wedge_formation"
"americas_regiment_of_horse"	"diamond_formation"
"americas_regiment_of_horse"	"wedge_formation"
"armed_peasantry"	"chevaux_de_frise"
"armed_peasantry"	"earthworks"
"armed_peasantry_bhumiya"	"chevaux_de_frise"
"armed_peasantry_bhumiya"	"earthworks"
"armed_peasantry_semenys"	"chevaux_de_frise"
"armed_peasantry_semenys"	"earthworks"
"armed_peasantry_tufangis"	"chevaux_de_frise"
"armed_peasantry_tufangis"	"earthworks"
"azzars"	"chevaux_de_frise"
"azzars"	"earthworks"
"azzars"	"fire_volley"
"bashibazouks"	"chevaux_de_frise"
"bashibazouks"	"earthworks"
"cazadores"	"chevaux_de_frise"
"cazadores"	"earthworks"
"cazadores"	"fire_volley"
"cazadores"	"light_infantry_behaviour"
"cazadores"	"wooden_stakes"
"cossack_cavalry"	"diamond_formation"
"cossack_cavalry"	"wedge_formation"
"cossack_cavalry_hetman"	"diamond_formation"
"cossack_cavalry_hetman"	"wedge_formation"
"cossack_infantry"	"chevaux_de_frise"
"cossack_infantry"	"earthworks"
"cossack_infantry"	"square_formation"
"deli_scouts"	"diamond_formation"
"deli_scouts"	"wedge_formation"
"east_ethnic_hillmen_musketeers"	"fire_volley"
"east_ethnic_hillmen_musketeers"	"light_infantry_behaviour"
"east_ethnic_hillmen_musketeers_afghan"	"fire_volley"
"east_ethnic_hillmen_musketeers_afghan"	"light_infantry_behaviour"
"east_ethnic_hillmen_musketeers_kurdish"	"fire_volley"
"east_ethnic_hillmen_musketeers_kurdish"	"light_infantry_behaviour"
