version 2, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Man_x0020_Health(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Mount_x0020_Armour_x0020_Value(string)	Mount_x0020_Health(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Primary_x0020_Missile_x0020_Attack(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Skeleton_x0020_Missile(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Skeleton_x0020_Melee(string)	Pistols(string)	Unit_x0020_Drill_x0020_Set(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	File_x0020_Spacing_x0020_Loose_x0020_Formation(float)	Rank_x0020_Spacing_x0020_Loose_x0020_Formation(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Base_x0020_Density(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving_x0020__x0023_Is_x0020_Immune_x0020_to_x0020_Attrition_x0020_in_x0020_Napoleon(boolean)
"cossack_cavalry"	60	60	0	"cossack_officer"	"cossack_bugler"	nil	"cossack_cavalry"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	3	"leather"	1	"horse_irregular"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	15	"0"	"flintlock"	"musket_carbine"	10	"mounted_carbine"	"sabre"	9	13	4	0	"mounted_slash"	"0"	"drill_set_cavalry"	"trained"	7	3	2	4.5	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	true	50	100	150	true	false	false	false	false	false	false	true	false	false	true	false	false	false	true
"deli_scouts"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"Ottoman_Deli_Scout"	"infantry_euro_medium"	"rider_musket_sabre"	"x_east_cavalry_musket_sabre"	2	"leather"	1	"horse_irregular"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	35	15	"0"	"matchlock"	"musket_matchlock"	10	"mounted_carbine"	"scimitar"	11	11	5	4	"mounted_slash"	"0"	"drill_set_cavalry"	"trained"	7	3	2	4.5	4	9	0	0	10	0	false	false	false	false	false	false	false	true	true	false	false	false	false	true	50	75	100	true	false	false	false	false	false	false	true	false	true	false	false	false	false	true
"east_irregular_cavalry_pindari"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"east_ethnic_swordsmen"	"infantry_euro_light"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	4	"leather"	1	"horse_eastern"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	25	10	"0"	"matchlock"	"musket_matchlock"	10	"mounted_carbine"	"sabre"	9	10	2	0	"mounted_slash"	"0"	"drill_set_cavalry"	"poorly_trained"	5	3	2	4.5	4	9	0	0	10	0	false	true	false	false	false	false	false	true	true	false	false	false	false	true	50	75	100	true	false	false	false	false	false	false	true	false	true	false	false	false	false	true
"eua_lees_legion"	80	80	0	"eua_officer_lees_legion"	"eua_bugler_lees_legion"	nil	"eua_lees_legion"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	2	"leather"	1	"horse_mixed_browns"	"horse_medium"	"mount_horse"	"5"	"1"	nil	nil	nil	nil	false	nil	"carbine"	40	25	"0"	"flintlock"	"musket_light_carbine"	15	"dragoon_carbine"	"sabre"	9	12	4	0	"mounted_slash"	"0"	"drill_set_cavalry"	"trained"	8	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	true	false	false	false	false	false	true	50	75	100	false	true	false	false	false	false	false	false	true	false	false	true	false	false	true
"east_light_cavalry_qizilbashi"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"East_Qizilbashi_Light_Cavalry"	"infantry_euro_medium"	"rider_musket_sabre"	"x_india_cavalry_musket_sabre"	3	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	40	20	"0"	"matchlock"	"musket_matchlock"	10	"mounted_carbine"	"sabre"	10	14	6	0	"mounted_slash"	"1"	"drill_set_cavalry"	"trained"	8	3	2	4.5	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	true	50	100	150	true	false	false	false	false	false	false	true	false	true	false	false	false	false	true
"eua_2nd_dragoons"	80	80	0	"euro_officer_mid"	"euro_bugler"	nil	"eua_2nd_dragoons"	"infantry_euro_light"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	2	"leather"	1	"horse_all_light_brown"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	45	30	"0"	"flintlock"	"musket_light_carbine"	20	"dragoon_carbine"	"sabre"	7	10	4	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	8	3	2	4.5	4	9	1.1	2	10	0	false	true	false	true	false	false	false	true	false	false	false	false	false	true	50	75	100	false	true	false	false	false	false	false	true	true	false	false	true	false	false	true
"eua_tarleton_dragoons"	80	80	0	"eua_officer_tarleton_dragoons"	"eua_bugler_tarleton_dragoons"	nil	"eua_tarleton_dragoons"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	2	"leather"	1	"horse_mixed_browns"	"horse_medium"	"mount_horse"	"5"	"1"	nil	nil	nil	nil	false	nil	"carbine"	40	25	"0"	"flintlock"	"musket_light_carbine"	15	"dragoon_carbine"	"sabre"	8	11	6	0	"mounted_slash"	"0"	"drill_set_cavalry"	"trained"	8	3	2	4.5	4	9	1.1	2	10	0	false	false	false	true	false	false	false	true	false	false	false	false	false	true	50	75	100	false	true	false	false	false	false	false	false	true	false	false	true	false	false	true
"euro_carabiniers"	60	60	0	"euro_officer1"	"euro_bugler"	nil	"euro_carabiniers"	"infantry_euro_medium"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	3	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	40	25	"0"	"flintlock"	"musket_carbine"	20	"mounted_carbine"	"sabre"	7	8	4	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	7	3	2	4.5	4	9	0	0	10	0	false	true	true	false	false	false	false	true	false	false	false	false	false	true	50	75	100	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
"euro_light_cavalry_chasseurs_a_cheval"	60	60	0	"euro_officer2"	"euro_bugler"	nil	"euro_light_cavalry"	"infantry_euro_light"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	2	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	45	20	"0"	"flintlock"	"musket_carbine"	10	"mounted_carbine"	"sabre"	9	10	4	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	6	3	2	4.5	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	true	50	100	150	true	false	false	false	false	false	false	true	false	false	false	false	false	false	true
"euro_light_dragoons"	80	80	0	"euro_officer2"	"euro_bugler"	nil	"euro_light_dragoons"	"infantry_euro_light"	"rider_musket_sabre"	"x_euro_cavalry_musket_sabre"	2	"leather"	1	"horse_all_light_brown"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	"carbine"	50	25	"0"	"flintlock"	"musket_light_carbine"	20	"dragoon_carbine"	"sabre"	7	10	4	0	"mounted_slash"	"0"	"drill_set_cavalry"	"well_trained"	6	3	2	4.5	4	9	1.1	2	10	0	false	true	false	true	false	false	false	true	false	false	false	false	false	true	50	75	100	false	true	false	false	false	false	false	true	true	false	false	true	false	false	true
