version 1, schema campaign_ai_personality_junctions_tables
Campaign_Personality_IDRef(string)	Personality(string)	Magnitude(float)
"barbary"	"BAWP_WEIGHTING_ADJACENCY"	40
"barbary"	"BAWP_WEIGHTING_ARE_ALLIES_ALREADY"	18
"barbary"	"BAWP_WEIGHTING_DIPLOMATIC_RELATIONS"	1
"barbary"	"BAWP_WEIGHTING_INTERFACTION_RELATIONS"	1
"barbary"	"BAWP_WEIGHTING_MILITARY_STRENGTH"	40
"barbary"	"NAVY_TRANSPORT_MAX_PERCENTAGE"	90
"barbary"	"PERSONALITY_BASIC_DESIRE_RAID_REGIONS_GOAL_PRIORITY_BASE"	100
"barbary"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_ARTILLERY"	0.2
"barbary"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_CAVALRY"	0.2
"barbary"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_DRAGOONS"	0.05
"barbary"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_ELEPHANTS"	0
"barbary"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_INFANTRY"	0.55
"barbary"	"RECRUITMENT_MINIMUM_NEW_ARMY_SIZE"	6
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	20
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	25
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	5
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	10
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	10
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	15
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	15
"caucasus"	"BASIC_INCOME_PROPORTIONAL_SAVINGS_PER_TURN"	10
"caucasus"	"BASIC_SPENDING_BIAS_CONSTRUCTION"	0.2
"caucasus"	"BASIC_SPENDING_BIAS_CONSTRUCTION_SAVE_MONEY_ON_FAIL"	10
"caucasus"	"BASIC_SPENDING_BIAS_DIPLOMATIC"	0.1
"caucasus"	"BASIC_SPENDING_BIAS_DIPLOMATIC_SAVE_MONEY_ON_FAIL"	10
"caucasus"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY"	0.6
"caucasus"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY_SAVE_MONEY_ON_FAIL"	10
"caucasus"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY"	0.1
"caucasus"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY_SAVE_MONEY_ON_FAIL"	10
"caucasus"	"BAWP_WEIGHTING_ADJACENCY"	15
"caucasus"	"BAWP_WEIGHTING_ARE_ALLIES_ALREADY"	10
"caucasus"	"BAWP_WEIGHTING_DIPLOMATIC_RELATIONS"	20
"caucasus"	"BAWP_WEIGHTING_INTERFACTION_RELATIONS"	21
"caucasus"	"BAWP_WEIGHTING_MILITARY_STRENGTH"	24
"caucasus"	"PERSONALITY_BASIC_DESIRE_RAID_REGIONS_GOAL_PRIORITY_BASE"	10
"caucasus"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_ARTILLERY"	0.2
"caucasus"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_CAVALRY"	0.2
"caucasus"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_DRAGOONS"	0.05
"caucasus"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_ELEPHANTS"	0
"caucasus"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_INFANTRY"	0.55
"caucasus"	"RECRUITMENT_MINIMUM_NEW_ARMY_SIZE"	6
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	20
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	25
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	5
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	10
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	10
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	15
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	15
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	10
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	25
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	5
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	20
