version 1, schema unit_class_to_population_class_priorities_tables
Class_IDRef(string)	_x0020_Upper_class_x0020_Priority(int)	_x0020_Middle_class_x0020_Priority(int)	_x0020_Low_class_x0020_Priority(int)
"artillery_fixed"	1	1	1
"artillery_foot"	3	3	3
"artillery_horse"	3	3	3
"cavalry_camels"	2	2	2
"cavalry_heavy"	3	2	1
"cavalry_irregular"	2	3	4
"cavalry_lancers"	3	3	3
"cavalry_light"	2	2	2
"cavalry_missile"	2	2	2
"cavalry_standard"	2	2	2
"dragoons"	2	2	2
"elephants"	1	1	1
"infantry_berserker"	1	1	2
"infantry_elite"	6	4	3
"infantry_grenadiers"	6	4	3
"infantry_irregulars"	2	3	4
"infantry_light"	3	3	3
"infantry_line"	8	8	8
"infantry_melee"	3	3	3
"infantry_militia"	2	3	4
"infantry_mob"	1	2	3
"infantry_skirmishers"	6	6	6
