version 1, schema building_culture_variants_tables
Building_IDRef(string)	Culture(string)	Battle_Model(optstring)	Campaign_Map_Model(optstring)	Campaign_Map_Model_2(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"port_multitask_0"	"european"	nil	"EU_port_trade_lvl1"	nil	"trading_port_european"	"EU_port_trade_lvl1"
"port_multitask_0"	"indian"	nil	"IND_port_trade_lvl1"	nil	"trading_port_european"	"IND_port_trade_lvl1"
"port_multitask_0"	"middle_east"	nil	"OTT_port_trade_lvl1"	nil	"trading_port_european"	"OTT_port_trade_lvl1"
"port_multitask_1"	"european"	nil	"EU_port_trade_lvl2"	nil	"commercial_port_european"	"EU_port_trade_lvl2"
"port_multitask_1"	"indian"	nil	"IND_port_trade_lvl2"	nil	"commercial_port_european"	"IND_port_trade_lvl2"
"port_multitask_1"	"middle_east"	nil	"OTT_port_trade_lvl2"	nil	"commercial_port_european"	"OTT_port_trade_lvl2"
"port_multitask_2"	"european"	nil	"EU_port_trade_lvl3"	nil	"commercial_basin_european"	"EU_port_trade_lvl3"
"port_multitask_2"	"indian"	nil	"IND_port_trade_lvl3"	nil	"commercial_basin_european"	"IND_port_trade_lvl3"
"port_multitask_2"	"middle_east"	nil	"OTT_port_trade_lvl3"	nil	"commercial_basin_european"	"OTT_port_trade_lvl3"
"port_multitask_3"	"european"	nil	"EU_port_trade_lvl4"	nil	"trading_company_european"	"EU_port_trade_lvl4"
"port_multitask_3"	"indian"	nil	"IND_port_trade_lvl4"	nil	"trading_company_european"	"IND_port_trade_lvl4"
"port_multitask_3"	"middle_east"	nil	"OTT_port_trade_lvl4"	nil	"trading_company_european"	"OTT_port_trade_lvl4"
