version 1, schema building_effects_junction_tables
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"port_multitask_0"	"export_capacity_port"	30
"port_multitask_0"	"gdp_port"	200
"port_multitask_0"	"naval_recruitment_points"	1
"port_multitask_0"	"trade_routes_mod_max_sea"	2
"port_multitask_0"	"tw_growth_port"	1
"port_multitask_1"	"export_capacity_port"	60
"port_multitask_1"	"gdp_port"	300
"port_multitask_1"	"naval_recruitment_points"	1
"port_multitask_1"	"trade_routes_mod_max_sea"	3
"port_multitask_1"	"tw_growth_port"	3
"port_multitask_2"	"export_capacity_port"	180
"port_multitask_2"	"gdp_port"	400
"port_multitask_2"	"naval_recruitment_points"	1
"port_multitask_2"	"trade_routes_mod_max_sea"	4
"port_multitask_2"	"tw_growth_port"	5
"port_multitask_3"	"export_capacity_port"	360
"port_multitask_3"	"gdp_port"	500
"port_multitask_3"	"naval_recruitment_points"	2
"port_multitask_3"	"prestige_message"	1
"port_multitask_3"	"trade_routes_mod_max_sea"	5
"port_multitask_3"	"tw_growth_port"	7
