version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"port_multitask_0"	"dhow"	0	false
"port_multitask_0"	"indiaman"	0	false
"port_multitask_0"	"6th_rate"	0	false
"port_multitask_0"	"6th_rate_american"	0	false
"port_multitask_0"	"6th_rate_british"	0	false
"port_multitask_0"	"6th_rate_french"	0	false
"port_multitask_0"	"6th_rate_russian"	0	false
"port_multitask_0"	"6th_rate_spanish"	0	false
"port_multitask_0"	"brig"	1	false
"port_multitask_0"	"brig_american"	1	false
"port_multitask_0"	"brig_british"	1	false
"port_multitask_0"	"brig_french"	1	false
"port_multitask_0"	"brig_spanish"	1	false
"port_multitask_0"	"episodic_2_brig"	0	false
"port_multitask_0"	"episodic_2_sloop"	0	false
"port_multitask_0"	"galleon"	0	false
"port_multitask_0"	"galleon_fluyt"	0	false
"port_multitask_0"	"galleon_race_built"	0	false
"port_multitask_0"	"light_galley/galliot/fusta"	0	false
"port_multitask_0"	"sloop"	1	false
"port_multitask_0"	"sloop_american"	1	false
"port_multitask_0"	"sloop_british"	1	false
"port_multitask_0"	"sloop_french"	1	false
"port_multitask_0"	"sloop_spanish"	1	false
"port_multitask_1"	"dhow"	0	false
"port_multitask_1"	"indiaman"	0	false
"port_multitask_1"	"4th_rate"	0	false
"port_multitask_1"	"4th_rate_american"	0	false
"port_multitask_1"	"4th_rate_british"	0	false
"port_multitask_1"	"4th_rate_french"	0	false
"port_multitask_1"	"4th_rate_spanish"	0	false
"port_multitask_1"	"5th_rate"	0	false
"port_multitask_1"	"5th_rate_admiral"	0	false
"port_multitask_1"	"5th_rate_admiral_american"	0	false
"port_multitask_1"	"5th_rate_admiral_british"	0	false
"port_multitask_1"	"5th_rate_admiral_french"	0	false
"port_multitask_1"	"5th_rate_admiral_russian"	0	false
"port_multitask_1"	"5th_rate_admiral_spanish"	0	false
"port_multitask_1"	"5th_rate_american"	0	false
"port_multitask_1"	"5th_rate_british"	0	false
"port_multitask_1"	"5th_rate_french"	0	false
"port_multitask_1"	"5th_rate_russian"	0	false
"port_multitask_1"	"5th_rate_spanish"	0	false
"port_multitask_1"	"6th_rate"	0	false
"port_multitask_1"	"6th_rate_american"	0	false
"port_multitask_1"	"6th_rate_british"	0	false
"port_multitask_1"	"6th_rate_french"	0	false
"port_multitask_1"	"6th_rate_russian"	0	false
"port_multitask_1"	"6th_rate_spanish"	0	false
