version 1, schema ancillary_included_subcultures_tables
Ancillary_IDRef(string)	Subculture(string)
"Ancillary_Amusing_Cad"	"sc_african_north"
"Ancillary_Army_Aide_Nephew"	"sc_african_north"
"Ancillary_Army_European_Turncoat"	"sc_african_north"
"Ancillary_Army_Loyal_Sowar"	"sc_african_north"
"Ancillary_Army_Merc_Artilleryman"	"sc_african_north"
"Ancillary_Army_Merc_Cavalryman"	"sc_african_north"
"Ancillary_Army_Merc_Infantryman"	"sc_african_north"
"Ancillary_Army_Military_Surveyor"	"sc_african_north"
"Ancillary_Army_Quartermaster"	"sc_african_north"
"Ancillary_Army_Surgeon"	"sc_african_north"
"Ancillary_Army_Waggonmaster"	"sc_african_north"
"Ancillary_Barber"	"sc_african_north"
"Ancillary_Foodtaster"	"sc_african_north"
"Ancillary_Government_Architect"	"sc_african_north"
"Ancillary_Government_Controller"	"sc_african_north"
"Ancillary_Government_Cypher"	"sc_african_north"
"Ancillary_Government_Executioner_Nasty"	"sc_african_north"
"Ancillary_Government_Guardian"	"sc_african_north"
"Ancillary_Government_Secret_Policeman"	"sc_african_north"
"Ancillary_Government_Secretary_Efficient"	"sc_african_north"
"Ancillary_Government_Secretary_Gobby"	"sc_african_north"
"Ancillary_Government_Spymaster"	"sc_african_north"
"Ancillary_Government_Wrestler"	"sc_african_north"
"Ancillary_Grizzly_Adams"	"sc_african_north"
"Ancillary_Historian"	"sc_african_north"
"Ancillary_Inventive_Genius_Astronomer"	"sc_african_north"
"Ancillary_Mistress_Circassian"	"sc_african_north"
"Ancillary_Mistress_Gorgeous"	"sc_african_north"
"Ancillary_Mistress_Spymistress"	"sc_african_north"
"Ancillary_Mystic_Useful"	"sc_african_north"
"Ancillary_Navy_Merc_Sea_Captain"	"sc_african_north"
"Ancillary_Navy_Purser"	"sc_african_north"
"Ancillary_Navy_Sailing_Master"	"sc_african_north"
"Ancillary_Navy_Surgeon"	"sc_african_north"
"Ancillary_Numismatist"	"sc_african_north"
"Ancillary_Personal_Physician"	"sc_african_north"
"Ancillary_Pet_Monkey"	"sc_african_north"
"Ancillary_Police_Torturer"	"sc_african_north"
"Ancillary_Religion_Imam_Learned"	"sc_african_north"
"Ancillary_Religion_Imam_Rabblerouser"	"sc_african_north"
"Ancillary_Research_Librarian"	"sc_african_north"
"Ancillary_Research_Lunatic_Jack"	"sc_african_north"
"Ancillary_Tax_Farmer"	"sc_african_north"
"Government_Spying_Locksmith"	"sc_african_north"
