version 1, schema agent_to_agent_attributes_tables
Attribute_IDRef(string)	Agent_IDRef(string)	default_value(int)	visible(boolean)
"command_land"	"bandit"	1	true
"command_land"	"colonel"	0	false
"command_land"	"General"	2	true
"command_land"	"pirate"	0	false
"command_sea"	"admiral"	2	true
"command_sea"	"captain"	0	false
"command_sea"	"pirate"	1	true
"duelling_pistols"	"gentleman"	2	true
"duelling_pistols"	"rake"	0	false
"duelling_swords"	"gentleman"	2	true
"duelling_swords"	"rake"	0	false
"management"	"minister"	2	true
"morale_land"	"General"	1	false
"movement_points_land"	"General"	1	false
"research"	"Eastern_Scholar"	2	true
"research"	"gentleman"	2	true
"research"	"medicine_man"	2	true
"subterfuge"	"assassin"	2	true
"subterfuge"	"bandit"	0	false
"subterfuge"	"pirate"	1	false
"subterfuge"	"rake"	2	true
"subterfuge"	"scout"	2	true
"zeal"	"catholic_missionary"	2	true
"zeal"	"indian_missionary"	2	true
"zeal"	"middle_east_missionary"	2	true
"zeal"	"orthodox_missionary"	2	true
"zeal"	"Protestant_Missionary"	2	true
"zeal"	"shaman"	2	true
"zeal"	"medicine_man"	2	true
