version 1, schema religion_conversion_mods_tables
Religion_1(string)	Religion_2(string)	Factor(float)
"rel_animist"	"rel_buddhist"	0.2
"rel_animist"	"rel_catholic"	0.3
"rel_animist"	"rel_hindu"	0.3
"rel_animist"	"rel_islamic"	0.2
"rel_animist"	"rel_nonconformist"	0.2
"rel_animist"	"rel_orthodox"	0.2
"rel_animist"	"rel_protestant"	0.2
"rel_animist"	"rel_sikh"	-0.9
"rel_buddhist"	"rel_animist"	-0.6
"rel_buddhist"	"rel_catholic"	-0.6
"rel_buddhist"	"rel_hindu"	-0.5
"rel_buddhist"	"rel_islamic"	-0.5
"rel_buddhist"	"rel_nonconformist"	-0.5
"rel_buddhist"	"rel_orthodox"	-0.6
"rel_buddhist"	"rel_protestant"	-0.6
"rel_buddhist"	"rel_sikh"	-0.8
"rel_catholic"	"rel_animist"	-0.9
"rel_catholic"	"rel_buddhist"	-0.7
"rel_catholic"	"rel_hindu"	-0.6
"rel_catholic"	"rel_islamic"	-0.6
"rel_catholic"	"rel_nonconformist"	-0.6
"rel_catholic"	"rel_orthodox"	-0.2
"rel_catholic"	"rel_protestant"	-0.3
"rel_catholic"	"rel_sikh"	-0.9
"rel_hindu"	"rel_animist"	-0.3
"rel_hindu"	"rel_buddhist"	-0.2
"rel_hindu"	"rel_catholic"	-0.4
"rel_hindu"	"rel_islamic"	-0.8
"rel_hindu"	"rel_nonconformist"	-0.8
"rel_hindu"	"rel_orthodox"	-0.6
"rel_hindu"	"rel_protestant"	-0.3
"rel_hindu"	"rel_sikh"	-0.8
"rel_islamic"	"rel_animist"	-0.9
"rel_islamic"	"rel_buddhist"	-0.7
"rel_islamic"	"rel_catholic"	-0.5
"rel_islamic"	"rel_hindu"	-0.6
"rel_islamic"	"rel_nonconformist"	-0.6
"rel_islamic"	"rel_orthodox"	-0.5
"rel_islamic"	"rel_protestant"	-0.6
"rel_islamic"	"rel_sikh"	-0.7
"rel_nonconformist"	"rel_animist"	-0.9
"rel_nonconformist"	"rel_buddhist"	-0.7
"rel_nonconformist"	"rel_catholic"	-0.5
"rel_nonconformist"	"rel_hindu"	-0.6
"rel_nonconformist"	"rel_islamic"	-0.6
"rel_nonconformist"	"rel_orthodox"	-0.5
"rel_nonconformist"	"rel_protestant"	-0.6
"rel_nonconformist"	"rel_sikh"	-0.7
"rel_orthodox"	"rel_animist"	-0.9
"rel_orthodox"	"rel_buddhist"	-0.7
"rel_orthodox"	"rel_catholic"	-0.2
"rel_orthodox"	"rel_hindu"	-0.7
"rel_orthodox"	"rel_islamic"	-0.7
"rel_orthodox"	"rel_nonconformist"	-0.7
"rel_orthodox"	"rel_protestant"	-0.3
"rel_orthodox"	"rel_sikh"	-0.7
"rel_protestant"	"rel_animist"	-0.9
"rel_protestant"	"rel_buddhist"	-0.6
"rel_protestant"	"rel_catholic"	-0.2
"rel_protestant"	"rel_hindu"	-0.7
"rel_protestant"	"rel_islamic"	-0.5
"rel_protestant"	"rel_nonconformist"	-0.5
"rel_protestant"	"rel_orthodox"	-0.4
"rel_protestant"	"rel_sikh"	-0.7
"rel_sikh"	"rel_animist"	-0.9
"rel_sikh"	"rel_buddhist"	-0.8
"rel_sikh"	"rel_catholic"	-0.9
"rel_sikh"	"rel_hindu"	-0.8
"rel_sikh"	"rel_islamic"	-0.8
"rel_sikh"	"rel_nonconformist"	-0.8
"rel_sikh"	"rel_orthodox"	-0.9
"rel_sikh"	"rel_protestant"	-0.9
