version 1, schema trait_triggers_tables
Trait_IDRef(string)	Event_IDRef(string)	Condition(string)
"C_Admiral_Attacker_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Attacker_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Blockade_Runner_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CampaignBattleType(\"naval_breakout\") and CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Blockader_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CampaignBattleType(\"naval_blockade\") and not CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Brave_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CommanderFoughtInBattle() and not CharacterRouted() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_British_Drakes_Drum_Trigger_01"	"CharacterCreated"	"CharacterType(\"admiral\") and CharacterFactionName(\"britain\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_British_Drakes_Drum_Trigger_02"	"CharacterPromoted"	"CharacterType(\"admiral\") and CharacterFactionName(\"britain\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")  and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Coward_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterRouted() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Created_Trigger_01"	"CharacterCreated"	"CharacterType(\"admiral\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Created_Trigger_01A_spam"	"CharacterCreated"	"CharacterType(\"admiral\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() > 15"
"C_Admiral_Created_Trigger_01B_spam_Favs"	"CharacterCreated"	"CharacterType(\"admiral\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() > 15 and FactionLeadersTrait(\"C_Leader_Favourites\") >= 1"
"C_Admiral_Cruisers_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterWonBattle() and CampaignPercentageOfUnitCategory(\"naval_frigate\") >= 50 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Defend_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and not CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Defend_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and not CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Drunkard_Trigger_01"	"CharacterTurnEnd"	"CharacterType(\"admiral\") and NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not CharacterCultureType(\"middle_east\") and not CharacterFactionName(\"mughal\")"
"C_Admiral_Dutch_Seamanship_Trigger_01"	"CharacterCreated"	"CharacterType(\"admiral\") and CharacterFactionName(\"netherlands\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Dutch_Seamanship_Trigger_02"	"CharacterPromoted"	"CharacterType(\"admiral\") and CharacterFactionName(\"netherlands\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Lampooned_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and not CharacterWonBattle() and [BattleResult(\"crushing_defeat\") or CampaignPercentageOfOwnRouted() >= 50 or CampaignPercentageOfOwnKilled() >= 50 or CampaignPercentageOfOwnCaptured() >= 30] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Mad_Trigger_01"	"CharacterTurnEnd"	"CharacterType(\"admiral\") and CharacterTurnsAtSea() > 15 and BattlesFought() == 5 and NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
