version 1, schema ministerial_positions_by_gov_types_tables
Faction(string)	Position(string)	Government_x0020_Type(string)	Gender(string)	Title(string)
"afghanistan"	"army"	"gov_absolute_monarchy"	"b"	"bakshi"
"afghanistan"	"army"	"gov_constitutional_monarchy"	"b"	"bakshi"
"afghanistan"	"army"	"gov_republic"	"b"	"bakshi"
"afghanistan"	"faction_leader"	"gov_absolute_monarchy"	"f"	"sultana"
"afghanistan"	"faction_leader"	"gov_absolute_monarchy"	"m"	"sultan"
"afghanistan"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"sultana"
"afghanistan"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"sultan"
"afghanistan"	"faction_leader"	"gov_republic"	"b"	"jumhuri"
"afghanistan"	"finance"	"gov_absolute_monarchy"	"b"	"wazir"
"afghanistan"	"finance"	"gov_constitutional_monarchy"	"b"	"wazir"
"afghanistan"	"finance"	"gov_republic"	"b"	"wazir"
"afghanistan"	"head_of_government"	"gov_absolute_monarchy"	"b"	"wakil"
"afghanistan"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"wakil"
"afghanistan"	"head_of_government"	"gov_republic"	"b"	"wakil"
"afghanistan"	"justice"	"gov_absolute_monarchy"	"b"	"sadr_us_sudur"
"afghanistan"	"justice"	"gov_constitutional_monarchy"	"b"	"sadr_us_sudur"
"afghanistan"	"justice"	"gov_republic"	"b"	"sadr_us_sudur"
"afghanistan"	"navy"	"gov_absolute_monarchy"	"b"	"mir_bahr"
"afghanistan"	"navy"	"gov_constitutional_monarchy"	"b"	"mir_bahr"
"afghanistan"	"navy"	"gov_republic"	"b"	"mir_bahr"
"american_rebels"	"army"	"gov_absolute_monarchy"	"b"	"secretary_of_war"
"american_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"secretary_of_war"
"american_rebels"	"army"	"gov_republic"	"b"	"secretary_of_war"
"american_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"secretary_of_the_treasury"
"american_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"secretary_of_the_treasury"
"american_rebels"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"american_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"secretary_of_state"
"american_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"secretary_of_state"
"american_rebels"	"head_of_government"	"gov_republic"	"b"	"secretary_of_state"
"american_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"attorney_general"
"american_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"attorney_general"
"american_rebels"	"justice"	"gov_republic"	"b"	"attorney_general"
"american_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"navy_secretary"
"american_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"navy_secretary"
"american_rebels"	"navy"	"gov_republic"	"b"	"navy_secretary"
"amerind_rebels"	"army"	"gov_absolute_monarchy"	"b"	"army_elder"
"amerind_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"army_elder"
"amerind_rebels"	"army"	"gov_republic"	"b"	"army_elder"
"amerind_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"finance_elder"
"amerind_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"finance_elder"
"amerind_rebels"	"finance"	"gov_republic"	"b"	"finance_elder"
"amerind_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"gov_head_elder"
"amerind_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"gov_head_elder"
"amerind_rebels"	"head_of_government"	"gov_republic"	"b"	"gov_head_elder"
"amerind_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"justice_elder"
"amerind_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"justice_elder"
"amerind_rebels"	"justice"	"gov_republic"	"b"	"justice_elder"
"amerind_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"navy_elder"
"amerind_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"navy_elder"
"amerind_rebels"	"navy"	"gov_republic"	"b"	"navy_elder"
"austria"	"army"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_war"
"austria"	"army"	"gov_constitutional_monarchy"	"b"	"first_minister"
"austria"	"army"	"gov_republic"	"b"	"secretary_of_war"
"austria"	"faction_leader"	"gov_absolute_monarchy"	"f"	"empress"
"austria"	"faction_leader"	"gov_absolute_monarchy"	"m"	"emperor"
"austria"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"archduchess"
"austria"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"archduke"
"austria"	"faction_leader"	"gov_republic"	"b"	"president"
"austria"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"austria"	"finance"	"gov_constitutional_monarchy"	"b"	"treasury_minister"
"austria"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"austria"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord"
"austria"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"first_minister"
"austria"	"head_of_government"	"gov_republic"	"b"	"first_minister"
"austria"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chief_justice"
"austria"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"austria"	"justice"	"gov_republic"	"b"	"attorney_general"
"austria"	"navy"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_the_admiralty"
"austria"	"navy"	"gov_constitutional_monarchy"	"b"	"minister_for_the_navy"
"austria"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"austrian_rebels"	"army"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_war"
"austrian_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"minister_of_war"
"austrian_rebels"	"army"	"gov_republic"	"b"	"secretary_of_war"
"austrian_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"austrian_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"treasury_minister"
"austrian_rebels"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"austrian_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord"
"austrian_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"first_minister"
"austrian_rebels"	"head_of_government"	"gov_republic"	"b"	"first_minister"
"austrian_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chief_justice"
"austrian_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"austrian_rebels"	"justice"	"gov_republic"	"b"	"attorney_general"
"austrian_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_the_admiralty"
"austrian_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"minister_for_the_navy"
"austrian_rebels"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"barbary_rebels"	"army"	"gov_absolute_monarchy"	"b"	"vizier_for_the_army"
"barbary_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"vizier_for_the_army"
"barbary_rebels"	"army"	"gov_republic"	"b"	"vizier_for_the_army"
"barbary_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"defterdar"
"barbary_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"defterdar"
"barbary_rebels"	"finance"	"gov_republic"	"b"	"defterdar"
"barbary_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"grand_vizier"
"barbary_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"grand_vizier"
"barbary_rebels"	"head_of_government"	"gov_republic"	"b"	"grand_vizier"
"barbary_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"adliye_naziri"
"barbary_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"adliye_naziri"
"barbary_rebels"	"justice"	"gov_republic"	"b"	"adliye_naziri"
"barbary_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"vizier_of_the_sea"
"barbary_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"vizier_of_the_sea"
"barbary_rebels"	"navy"	"gov_republic"	"b"	"vizier_of_the_sea"
"barbary_states"	"army"	"gov_absolute_monarchy"	"b"	"wazir_al_harb"
"barbary_states"	"army"	"gov_constitutional_monarchy"	"b"	"wazir_al_harb"
"barbary_states"	"army"	"gov_republic"	"b"	"wazir_al_harb"
"barbary_states"	"faction_leader"	"gov_absolute_monarchy"	"f"	"sultana"
"barbary_states"	"faction_leader"	"gov_absolute_monarchy"	"m"	"sultan"
"barbary_states"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"sultana"
"barbary_states"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"sultan"
"barbary_states"	"faction_leader"	"gov_republic"	"b"	"jumhuri"
"barbary_states"	"finance"	"gov_absolute_monarchy"	"b"	"wazir_al_qalam"
"barbary_states"	"finance"	"gov_constitutional_monarchy"	"b"	"wazir_al_qalam"
