version 1, schema units_to_groupings_military_permissions_tables
Unit_IDRef(string)	Military_x0020_Group(string)
"12_lber_howitzer"	"austria_group"
"12_lber_howitzer"	"colonies_ep3_group"
"12_lber_howitzer"	"france_group"
"12_lber_howitzer"	"great_britain_group"
"12_lber_howitzer"	"prussia_group"
"12_lber_howitzer"	"russia_poland_group"
"12_lber_howitzer"	"spain_group"
"12_lber_howitzer"	"sweden_denmark_group"
"12_lber_howitzer"	"united_provinces_group"
"12_lber_howitzer"	"usa_group"
"12_lber_howitzer"	"venice_group"
"12_lber_land_cannon"	"austria_group"
"12_lber_land_cannon"	"colonies_ep3_group"
"12_lber_land_cannon"	"france_group"
"12_lber_land_cannon"	"great_britain_group"
"12_lber_land_cannon"	"prussia_group"
"12_lber_land_cannon"	"russia_poland_group"
"12_lber_land_cannon"	"spain_group"
"12_lber_land_cannon"	"sweden_denmark_group"
"12_lber_land_cannon"	"united_provinces_group"
"12_lber_land_cannon"	"usa_group"
"12_lber_land_cannon"	"venice_group"
"12_lber_land_cannon_indian"	"maratha_group"
"12_lber_land_cannon_indian"	"mughal_group"
"12_lber_ship_fort_cannon"	"austria_group"
"12_lber_ship_fort_cannon"	"colonies_ep3_group"
"12_lber_ship_fort_cannon"	"france_group"
"12_lber_ship_fort_cannon"	"great_britain_group"
"12_lber_ship_fort_cannon"	"prussia_group"
"12_lber_ship_fort_cannon"	"russia_poland_group"
"12_lber_ship_fort_cannon"	"spain_group"
"12_lber_ship_fort_cannon"	"sweden_denmark_group"
"12_lber_ship_fort_cannon"	"united_provinces_group"
"12_lber_ship_fort_cannon"	"usa_group"
"18_lber_land_cannon"	"colonies_ep3_group"
"18_lber_land_cannon_east"	"ottoman_group"
"18_lber_land_cannon_guard_galloper"	"france_group"
"18_lber_land_cannon_indian"	"maratha_group"
"18_lber_land_cannon_indian"	"mughal_group"
"18_lber_ship_fort_cannon"	"austria_group"
"18_lber_ship_fort_cannon"	"colonies_ep3_group"
"18_lber_ship_fort_cannon"	"france_group"
"18_lber_ship_fort_cannon"	"great_britain_group"
"18_lber_ship_fort_cannon"	"prussia_group"
"18_lber_ship_fort_cannon"	"russia_poland_group"
"18_lber_ship_fort_cannon"	"spain_group"
"18_lber_ship_fort_cannon"	"sweden_denmark_group"
"18_lber_ship_fort_cannon"	"united_provinces_group"
"18_lber_ship_fort_cannon"	"usa_group"
"1st_rate"	"austria_group"
"1st_rate"	"france_group"
"1st_rate"	"great_britain_group"
"1st_rate"	"maratha_group"
"1st_rate"	"mughal_group"
"1st_rate"	"ottoman_group"
"1st_rate"	"prussia_group"
"1st_rate"	"punjab_group"
"1st_rate"	"russia_poland_group"
"1st_rate"	"spain_group"
"1st_rate"	"sweden_denmark_group"
"1st_rate"	"united_provinces_group"
"1st_rate"	"venice_group"
"1st_rate_admiral"	"austria_group"
"1st_rate_admiral"	"barbary_group"
"1st_rate_admiral"	"colonies_ep3_group"
"1st_rate_admiral"	"france_group"
"1st_rate_admiral"	"great_britain_group"
"1st_rate_admiral"	"maratha_group"
"1st_rate_admiral"	"mughal_group"
"1st_rate_admiral"	"ottoman_group"
"1st_rate_admiral"	"prussia_group"
"1st_rate_admiral"	"punjab_group"
"1st_rate_admiral"	"russia_poland_group"
"1st_rate_admiral"	"spain_group"
"1st_rate_admiral"	"sweden_denmark_group"
"1st_rate_admiral"	"united_provinces_group"
"1st_rate_admiral"	"usa_group"
"1st_rate_admiral"	"venice_group"
"1st_rate_admiral_american"	"usa_group"
"1st_rate_admiral_british"	"great_britain_group"
"1st_rate_admiral_french"	"france_group"
"1st_rate_admiral_spanish"	"spain_group"
"1st_rate_american"	"usa_group"
"1st_rate_british"	"great_britain_group"
"1st_rate_french"	"france_group"
"1st_rate_spanish"	"spain_group"
"24_lber_howitzer"	"austria_group"
"24_lber_howitzer"	"colonies_ep3_group"
"24_lber_howitzer"	"france_group"
"24_lber_howitzer"	"great_britain_group"
"24_lber_howitzer"	"prussia_group"
"24_lber_howitzer"	"russia_poland_group"
"24_lber_howitzer"	"spain_group"
"24_lber_howitzer"	"sweden_denmark_group"
"24_lber_howitzer"	"united_provinces_group"
"24_lber_howitzer"	"usa_group"
"24_lber_howitzer"	"venice_group"
"24_lber_howitzer_ottoman"	"ottoman_group"
"24_lber_land_cannon"	"austria_group"
"24_lber_land_cannon"	"great_britain_group"
"24_lber_land_cannon"	"prussia_group"
"24_lber_land_cannon"	"russia_poland_group"
"24_lber_land_cannon"	"spain_group"
"24_lber_land_cannon"	"sweden_denmark_group"
"24_lber_land_cannon"	"united_provinces_group"
"24_lber_land_cannon"	"usa_group"
"24_lber_land_cannon"	"venice_group"
"24_lber_land_cannon_(demi_cannon)"	"austria_group"
"24_lber_land_cannon_(demi_cannon)"	"france_group"
"24_lber_land_cannon_(demi_cannon)"	"great_britain_group"
"24_lber_land_cannon_(demi_cannon)"	"prussia_group"
"24_lber_land_cannon_(demi_cannon)"	"russia_poland_group"
"24_lber_land_cannon_(demi_cannon)"	"spain_group"
"24_lber_land_cannon_(demi_cannon)"	"sweden_denmark_group"
"24_lber_land_cannon_(demi_cannon)"	"united_provinces_group"
"24_lber_land_cannon_(demi_cannon)"	"usa_group"
"24_lber_land_cannon_(demi_cannon)"	"venice_group"
"24_lber_land_cannon_(demi_cannon)_east"	"ottoman_group"
"24_lber_land_cannon_(demi_cannon)_indian"	"maratha_group"
"24_lber_land_cannon_(demi_cannon)_indian"	"mughal_group"
"24_lber_land_cannon_east"	"ottoman_group"
"24_lber_land_cannon_guard"	"france_group"
"24_lber_land_cannon_indian"	"maratha_group"
"24_lber_land_cannon_indian"	"mughal_group"
"24_lber_ship_fort_cannon"	"austria_group"
"24_lber_ship_fort_cannon"	"france_group"
"24_lber_ship_fort_cannon"	"great_britain_group"
"24_lber_ship_fort_cannon"	"prussia_group"
"24_lber_ship_fort_cannon"	"russia_poland_group"
"24_lber_ship_fort_cannon"	"spain_group"
"24_lber_ship_fort_cannon"	"sweden_denmark_group"
"24_lber_ship_fort_cannon"	"united_provinces_group"
"24_lber_ship_fort_cannon"	"usa_group"
"2nd_rate"	"austria_group"
"2nd_rate"	"france_group"
"2nd_rate"	"great_britain_group"
"2nd_rate"	"maratha_group"
"2nd_rate"	"mughal_group"
"2nd_rate"	"ottoman_group"
"2nd_rate"	"prussia_group"
"2nd_rate"	"punjab_group"
"2nd_rate"	"russia_poland_group"
"2nd_rate"	"spain_group"
"2nd_rate"	"sweden_denmark_group"
"2nd_rate"	"united_provinces_group"
"2nd_rate"	"venice_group"
"2nd_rate_american"	"usa_group"
"2nd_rate_british"	"great_britain_group"
"2nd_rate_french"	"france_group"
"2nd_rate_spanish"	"spain_group"
"3_lber_land_cannon_galloper"	"austria_group"
"3_lber_land_cannon_galloper"	"france_group"
"3_lber_land_cannon_galloper"	"great_britain_group"
"3_lber_land_cannon_galloper"	"prussia_group"
"3_lber_land_cannon_galloper"	"russia_poland_group"
"3_lber_land_cannon_galloper"	"spain_group"
"3_lber_land_cannon_galloper"	"sweden_denmark_group"
"3_lber_land_cannon_galloper"	"united_provinces_group"
"3_lber_land_cannon_galloper"	"usa_group"
"3_lber_land_cannon_galloper"	"venice_group"
"3rd_rate"	"austria_group"
"3rd_rate"	"france_group"
"3rd_rate"	"great_britain_group"
"3rd_rate"	"maratha_group"
"3rd_rate"	"mughal_group"
"3rd_rate"	"ottoman_group"
"3rd_rate"	"prussia_group"
"3rd_rate"	"punjab_group"
"3rd_rate"	"russia_poland_group"
"3rd_rate"	"spain_group"
"3rd_rate"	"sweden_denmark_group"
"3rd_rate"	"united_provinces_group"
"3rd_rate"	"venice_group"
"3rd_rate_admiral"	"austria_group"
"3rd_rate_admiral"	"barbary_group"
"3rd_rate_admiral"	"colonies_ep3_group"
"3rd_rate_admiral"	"france_group"
"3rd_rate_admiral"	"great_britain_group"
"3rd_rate_admiral"	"maratha_group"
"3rd_rate_admiral"	"mughal_group"
"3rd_rate_admiral"	"ottoman_group"
"3rd_rate_admiral"	"prussia_group"
"3rd_rate_admiral"	"punjab_group"
"3rd_rate_admiral"	"russia_poland_group"
"3rd_rate_admiral"	"spain_group"
"3rd_rate_admiral"	"sweden_denmark_group"
"3rd_rate_admiral"	"united_provinces_group"
"3rd_rate_admiral"	"usa_group"
"3rd_rate_admiral"	"venice_group"
"3rd_rate_admiral_american"	"usa_group"
"3rd_rate_admiral_british"	"great_britain_group"
"3rd_rate_admiral_french"	"france_group"
"3rd_rate_admiral_spanish"	"spain_group"
"3rd_rate_american"	"usa_group"
"3rd_rate_british"	"great_britain_group"
"4_inch_mortar"	"austria_group"
"4_inch_mortar"	"france_group"
"4_inch_mortar"	"great_britain_group"
"4_inch_mortar"	"prussia_group"
"4_inch_mortar"	"russia_poland_group"
"4_inch_mortar"	"spain_group"
"4_inch_mortar"	"sweden_denmark_group"
"4_inch_mortar"	"united_provinces_group"
"4_inch_mortar"	"usa_group"
"4_inch_mortar"	"venice_group"
"4_inch_mortar_indian"	"maratha_group"
"4_inch_mortar_indian"	"mughal_group"
"4th_rate"	"austria_group"
"4th_rate"	"france_group"
"4th_rate"	"great_britain_group"
"4th_rate"	"maratha_group"
"4th_rate"	"mughal_group"
"4th_rate"	"ottoman_group"
"4th_rate"	"prussia_group"
"4th_rate"	"punjab_group"
"4th_rate"	"russia_poland_group"
"4th_rate"	"spain_group"
"4th_rate"	"sweden_denmark_group"
"4th_rate"	"united_provinces_group"
"4th_rate"	"venice_group"
"4th_rate_american"	"usa_group"
"4th_rate_british"	"great_britain_group"
"4th_rate_french"	"france_group"
"4th_rate_spanish"	"spain_group"
"5th_rate"	"austria_group"
"5th_rate"	"france_group"
"5th_rate"	"great_britain_group"
"5th_rate"	"maratha_group"
"5th_rate"	"mughal_group"
"5th_rate"	"ottoman_group"
"5th_rate"	"prussia_group"
"5th_rate"	"punjab_group"
"5th_rate"	"russia_poland_group"
"5th_rate"	"spain_group"
"5th_rate"	"sweden_denmark_group"
"5th_rate"	"united_provinces_group"
"5th_rate"	"venice_group"
"5th_rate_admiral"	"austria_group"
"5th_rate_admiral"	"barbary_group"
"5th_rate_admiral"	"colonies_ep3_group"
"5th_rate_admiral"	"france_group"
"5th_rate_admiral"	"great_britain_group"
"5th_rate_admiral"	"maratha_group"
"5th_rate_admiral"	"mughal_group"
"5th_rate_admiral"	"ottoman_group"
"5th_rate_admiral"	"prussia_group"
"5th_rate_admiral"	"punjab_group"
"5th_rate_admiral"	"russia_poland_group"
"5th_rate_admiral"	"spain_group"
"5th_rate_admiral"	"sweden_denmark_group"
"5th_rate_admiral"	"united_provinces_group"
"5th_rate_admiral"	"usa_group"
"5th_rate_admiral"	"venice_group"
"5th_rate_admiral_american"	"usa_group"
"5th_rate_admiral_british"	"great_britain_group"
"5th_rate_admiral_french"	"france_group"
"5th_rate_admiral_spanish"	"spain_group"
"6_lber_land_cannon_galloper"	"austria_group"
"6_lber_land_cannon_galloper"	"france_group"
"6_lber_land_cannon_galloper"	"great_britain_group"
"6_lber_land_cannon_galloper"	"prussia_group"
"6_lber_land_cannon_galloper"	"russia_poland_group"
"6_lber_land_cannon_galloper"	"spain_group"
"6_lber_land_cannon_galloper"	"sweden_denmark_group"
"6_lber_land_cannon_galloper"	"united_provinces_group"
"6_lber_land_cannon_galloper"	"usa_group"
"6_lber_land_cannon_galloper"	"venice_group"
"64_lber_fort_carronade"	"great_britain_group"
"64_lber_land_cannon_elephant"	"maratha_group"
"64_lber_land_cannon_elephant"	"mughal_group"
"64_lber_siege_cannon"	"ottoman_group"
"6th_rate"	"austria_group"
"6th_rate"	"france_group"
"6th_rate"	"great_britain_group"
"6th_rate"	"maratha_group"
"6th_rate"	"mughal_group"
"6th_rate"	"prussia_group"
"6th_rate"	"punjab_group"
"6th_rate"	"russia_poland_group"
"6th_rate"	"spain_group"
"6th_rate"	"sweden_denmark_group"
"6th_rate"	"united_provinces_group"
"6th_rate"	"venice_group"
"6th_rate_american"	"usa_group"
"6th_rate_british"	"great_britain_group"
"6th_rate_french"	"france_group"
"6th_rate_russian"	"russia_poland_group"
"6th_rate_spanish"	"spain_group"
"8_inch_mortar_east"	"ottoman_group"
"8_inch_mortar_indian"	"maratha_group"
"8_inch_mortar_indian"	"mughal_group"
"9_lber_land_cannon_(saker)"	"amerinds_group"
"9_lber_land_cannon_(saker)"	"austria_group"
"9_lber_land_cannon_(saker)"	"france_group"
"9_lber_land_cannon_(saker)"	"great_britain_group"
"9_lber_land_cannon_(saker)"	"prussia_group"
"9_lber_land_cannon_(saker)"	"russia_poland_group"
"9_lber_land_cannon_(saker)"	"spain_group"
"9_lber_land_cannon_(saker)"	"sweden_denmark_group"
"9_lber_land_cannon_(saker)"	"united_provinces_group"
"9_lber_land_cannon_(saker)"	"usa_group"
"9_lber_land_cannon_(saker)"	"venice_group"
"9_lber_land_cannon_(saker)_east"	"ottoman_group"
"9_lber_land_cannon_(saker)_indian"	"maratha_group"
"9_lber_land_cannon_(saker)_indian"	"mughal_group"
"african_slaver_musketeers"	"rebel_group"
"african_tribal_spearmen"	"rebel_group"
"american_heavy_frigate"	"usa_group"
"americas_dragoons"	"usa_group"
"americas_hessian_infantry"	"great_britain_group"
"americas_line_infantry"	"usa_group"
"americas_long_rifle_men"	"usa_group"
"americas_militia_infantry"	"usa_group"
"americas_provincial_cavalry"	"usa_group"
"americas_regiment_of_horse"	"usa_group"
"armed_citizenry_africa"	"barbary_group"
"armed_citizenry_india"	"maratha_group"
"armed_citizenry_india"	"mughal_group"
"armed_citizenry_india"	"punjab_group"
"armed_citizenry_india"	"rebel_group"
"armed_citizenry_matchlocks_africa"	"barbary_group"
"armed_citizenry_matchlocks_europe"	"austria_group"
"armed_citizenry_matchlocks_europe"	"france_group"
"armed_citizenry_matchlocks_europe"	"great_britain_group"
"armed_citizenry_matchlocks_europe"	"prussia_group"
"armed_citizenry_matchlocks_europe"	"russia_poland_group"
"armed_citizenry_matchlocks_europe"	"spain_group"
"armed_citizenry_matchlocks_europe"	"sweden_denmark_group"
"armed_citizenry_matchlocks_europe"	"united_provinces_group"
"armed_citizenry_matchlocks_europe"	"usa_group"
"armed_citizenry_matchlocks_europe"	"venice_group"
"armed_citizenry_matchlocks_india"	"maratha_group"
"armed_citizenry_matchlocks_india"	"mughal_group"
"armed_citizenry_matchlocks_india"	"punjab_group"
"armed_citizenry_matchlocks_india"	"rebel_group"
"armed_citizenry_matchlocks_middle_east"	"barbary_group"
"armed_citizenry_matchlocks_middle_east"	"ottoman_group"
"armed_citizenry_matchlocks_middle_east"	"rebel_group"
"armed_citizenry_middle_east"	"barbary_group"
"armed_citizenry_middle_east"	"ottoman_group"
"armed_citizenry_middle_east"	"rebel_group"
"armed_citizenry_native_american"	"amerinds_group"
"armed_citizenry_native_american"	"rebel_group"
"armed_peasantry"	"maratha_group"
"armed_peasantry_bhumiya"	"mughal_group"
"armed_peasantry_semenys"	"ottoman_group"
"armed_peasantry_tufangis"	"mughal_group"
"azzars"	"ottoman_group"
"barbary_xebec"	"barbary_group"
"barbary_xebec"	"ottoman_group"
"bashibazouks"	"ottoman_group"
"bomb_ketch"	"austria_group"
"bomb_ketch"	"barbary_group"
"bomb_ketch"	"france_group"
"bomb_ketch"	"great_britain_group"
"bomb_ketch"	"maratha_group"
"bomb_ketch"	"mughal_group"
"bomb_ketch"	"ottoman_group"
"bomb_ketch"	"prussia_group"
"bomb_ketch"	"punjab_group"
"bomb_ketch"	"russia_poland_group"
"bomb_ketch"	"spain_group"
"bomb_ketch"	"sweden_denmark_group"
"bomb_ketch"	"united_provinces_group"
"bomb_ketch"	"venice_group"
"bomb_ketch_american"	"usa_group"
"bomb_ketch_british"	"great_britain_group"
"bomb_ketch_french"	"france_group"
"bomb_ketch_spanish"	"spain_group"
"brig"	"austria_group"
"brig"	"france_group"
"brig"	"great_britain_group"
"brig"	"maratha_group"
"brig"	"mughal_group"
"brig"	"ottoman_group"
"brig"	"prussia_group"
"brig"	"punjab_group"
"brig"	"russia_poland_group"
"brig"	"spain_group"
"brig"	"sweden_denmark_group"
"brig"	"united_provinces_group"
"brig"	"venice_group"
"brig_american"	"usa_group"
"brig_british"	"great_britain_group"
"brig_french"	"france_group"
"brig_spanish"	"spain_group"
"carronade_frigate"	"austria_group"
"carronade_frigate"	"france_group"
"carronade_frigate"	"great_britain_group"
"carronade_frigate"	"maratha_group"
"carronade_frigate"	"mughal_group"
"carronade_frigate"	"ottoman_group"
"carronade_frigate"	"prussia_group"
"carronade_frigate"	"punjab_group"
"carronade_frigate"	"russia_poland_group"
"carronade_frigate"	"sweden_denmark_group"
"carronade_frigate"	"united_provinces_group"
"carronade_frigate"	"usa_group"
"carronade_frigate"	"venice_group"
"carronade_frigate_american"	"usa_group"
"carronade_frigate_british"	"great_britain_group"
"carronade_frigate_french"	"france_group"
"carronade_frigate_spanish"	"spain_group"
"cazadores"	"spain_group"
"cossack_cavalry"	"russia_poland_group"
"cossack_cavalry_hetman"	"russia_poland_group"
"cossack_infantry"	"russia_poland_group"
"deli_scouts"	"ottoman_group"
"desert_warriors"	"barbary_group"
"desert_warriors"	"maratha_group"
"desert_warriors"	"mughal_group"
"desert_warriors"	"ottoman_group"
"dhow"	"amerinds_group"
"dhow"	"barbary_group"
"dhow"	"maratha_group"
"dhow"	"mughal_group"
"dhow"	"ottoman_group"
"dhow"	"punjab_group"
"east_camel_gunners"	"barbary_group"
