version 2, schema factions_tables
Faction_ID(string)	ID2(int)	Subculture(string)	Type(string)	Nation(string)	Nationality(string)	Names_DB(string)	sounds_id(string)	unknown10(optstring)	Rebels(boolean)	Early_Availability(boolean)	Late_Availability(boolean)	Icon(string)	Flag1(string)	Flag2(optstring)	Flag3(optstring)	R1(float)	G1(float)	B1(float)	R2(float)	G2(float)	B2(float)	R3(float)	G3(float)	B3(float)	R4(float)	G4(float)	B4(float)	R5(float)	G5(float)	B5(float)	R6(float)	G6(float)	B6(float)	Military_x0020_Group(string)	Settler_Rebels(optstring)	R(float)	G(float)	B(float)	ID3(optstring)	Abreviation(string)	unknown43(boolean)	unknown44(boolean)	Names_1(string)	Names_2(string)
"afghanistan"	79	"sc_mideast_islamic"	"minor"	"Afghanistan"	"Afghan"	"names_persian"	"afghanistan"	nil	false	false	false	"data\\ui\\units\\icons\\afghanistan"	"data\\ui\\flags\\afghanistan"	nil	"data\\ui\\flags\\rebels_eastern"	68	104	61	68	104	61	254	254	254	254	254	254	129	144	82	129	144	82	"mughal_group"	"middle_east_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_ottoman"	"names_persian"
"american_rebels"	63	"sc_european_america"	"rebel"	"-"	"Rebel"	"names_english"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\american_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"usa_group"	"european_settler_rebels"	173	173	173	nil	"Us"	true	true	"names_english"	"names_english"
"amerind_rebels"	53	"sc_tribal_american"	"rebel"	"-"	"Rebel"	"names_native_american"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\amerind_rebels"	"data\\ui\\flags\\rebels_other"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"austria"	1	"sc_european_west"	"playable"	"Austria"	"Austrian"	"names_german_catholic"	"austria"	nil	false	true	true	"data\\ui\\units\\icons\\austria"	"data\\ui\\flags\\austria"	"data\\ui\\flags\\austria_republic"	"data\\ui\\flags\\rebels_europe"	165	144	86	165	144	86	50	45	35	50	45	35	230	230	230	230	230	230	"austria_group"	"european_settler_rebels"	173	173	173	"22"	"Ge"	false	false	"names_english"	"names_german_catholic"
"austrian_rebels"	50	"sc_european_west"	"rebel"	"-"	"Rebel"	"names_german_catholic"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\austrian_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"austria_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"barbary_rebels"	54	"sc_mideast_islamic"	"rebel"	"-"	"Rebel"	"names_muslim_general"	"barbary"	nil	true	false	false	"data\\ui\\units\\icons\\barbary_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"barbary_group"	"middle_east_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_muslim_general"
"barbary_states"	2	"sc_mideast_islamic"	"minor"	"Barbary States"	"Barbary"	"names_muslim_general"	"barbary"	nil	false	false	false	"data\\ui\\units\\icons\\barbary_states"	"data\\ui\\flags\\barbary_states"	"data\\ui\\flags\\barbary_republic"	"data\\ui\\flags\\rebels_eastern"	113	104	95	113	104	95	242	185	120	242	185	120	170	124	60	170	124	60	"barbary_group"	"middle_east_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_muslim_general"
"bavaria"	3	"sc_european_west"	"minor"	"Bavaria"	"Bavarian"	"names_german_catholic"	"bavaria"	nil	false	false	false	"data\\ui\\units\\icons\\bavaria"	"data\\ui\\flags\\bavaria"	nil	"data\\ui\\flags\\rebels_europe"	162	219	232	162	219	232	232	231	228	232	231	228	107	144	151	107	144	151	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"britain"	4	"sc_european_west"	"playable"	"Great Britain"	"British"	"names_english"	"britain"	nil	false	true	true	"data\\ui\\units\\icons\\britain"	"data\\ui\\flags\\britain"	"data\\ui\\flags\\british_republic"	"data\\ui\\flags\\rebels_europe"	222	0	0	222	0	0	18	46	86	18	46	86	192	22	16	192	22	16	"great_britain_group"	"british_settler_rebels"	173	173	173	"23"	"Uk"	false	false	"names_english"	"names_english"
"british_rebels"	51	"sc_european_west"	"rebel"	"-"	"Rebel"	"names_english"	"britain"	nil	true	false	false	"data\\ui\\units\\icons\\british_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"great_britain_group"	"british_settler_rebels"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_english"
