version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"governors_mansion"	"steppe_cavalry_tatars_crimean"	0	false
"governors_palace"	"steppe_cavalry_tatars_crimean"	0	false
"governors_residence"	"steppe_cavalry_tatars_crimean"	0	false
"imperial_palace"	"steppe_cavalry_tatars_crimean"	0	false
"magistrate"	"steppe_cavalry_tatars_crimean"	0	false
"minor_governors_barracks"	"steppe_cavalry_tatars_crimean"	0	false
"minor_governors_encampment"	"steppe_cavalry_tatars_crimean"	0	false
"minor_governors_mansion"	"steppe_cavalry_tatars_crimean"	0	false
"minor_governors_palace"	"steppe_cavalry_tatars_crimean"	0	false
"minor_governors_residence"	"steppe_cavalry_tatars_crimean"	0	false
"minor_magistrate"	"steppe_cavalry_tatars_crimean"	0	false
"minor_royal_palace"	"steppe_cavalry_tatars_crimean"	0	false
"prest_austria_hofburg"	"steppe_cavalry_tatars_crimean"	0	false
"prest_britain_somerset_house"	"steppe_cavalry_tatars_crimean"	0	false
"prest_france_palais_bourbon"	"steppe_cavalry_tatars_crimean"	0	false
"prest_maratha_shaniwarwada"	"steppe_cavalry_tatars_crimean"	0	false
"prest_russia_winter_palace"	"steppe_cavalry_tatars_crimean"	0	false
"prest_spain_palacio_real_de_madrid"	"steppe_cavalry_tatars_crimean"	0	false
"prest_sweden_slott"	"steppe_cavalry_tatars_crimean"	0	false
"prest_usa_independence_hall"	"steppe_cavalry_tatars_crimean"	0	false
"royal_palace"	"steppe_cavalry_tatars_crimean"	0	false
