version 1, schema units_to_groupings_military_permissions_tables
Unit_IDRef(string)	Military_x0020_Group(string)
"grab"	"barbary_group"
"grab"	"caucasus_group"
"grab"	"maratha_group"
"grab"	"mughal_group"
"grab"	"ottoman_group"
"grab"	"persia_group"
"light_galley/galliot/fusta"	"maratha_group"
"light_galley/galliot/fusta"	"mughal_group"
"light_galley/galliot/fusta"	"persia_group"
"light_gallivat"	"barbary_group"
"light_gallivat"	"caucasus_group"
"light_gallivat"	"maratha_group"
"light_gallivat"	"mughal_group"
"light_gallivat"	"ottoman_group"
"light_gallivat"	"persia_group"
"medium_galley"	"maratha_group"
"medium_galley"	"mughal_group"
"medium_galley"	"persia_group"
"medium_gallivat"	"barbary_group"
"medium_gallivat"	"caucasus_group"
"medium_gallivat"	"maratha_group"
"medium_gallivat"	"mughal_group"
"medium_gallivat"	"ottoman_group"
"medium_gallivat"	"persia_group"
"pal"	"maratha_group"
"simple_xebec"	"maratha_group"
"simple_xebec"	"mughal_group"
"simple_xebec"	"persia_group"
