version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"army_barracks"	"armed_peasantry_bhumiya"	0	false
"army_board"	"armed_peasantry_bhumiya"	1	false
"army_encampment"	"armed_peasantry_bhumiya"	0	false
"army_staff_college"	"armed_peasantry_bhumiya"	2	false
"drill_school"	"armed_peasantry_bhumiya"	0	false
"military_academy"	"armed_peasantry_bhumiya"	0	false
"minor_governors_barracks"	"armed_peasantry_bhumiya"	0	false
"minor_governors_encampment"	"armed_peasantry_bhumiya"	0	false
"minor_governors_palace"	"armed_peasantry_bhumiya"	0	false
"minor_governors_residence"	"armed_peasantry_bhumiya"	0	false
"minor_magistrate"	"armed_peasantry_bhumiya"	0	false
"minor_governors_mansion"	"armed_peasantry_bhumiya"	0	false
"minor_royal_palace"	"armed_peasantry_bhumiya"	1	false
"prest_france_arc_de_triomphe"	"armed_peasantry_bhumiya"	3	false
"prest_maratha_ajinkyatara"	"armed_peasantry_bhumiya"	3	false
"prest_poland_akademia"	"armed_peasantry_bhumiya"	3	false
"prest_prussia_brandenburg_gate"	"armed_peasantry_bhumiya"	3	false
"royal_palace"	"armed_peasantry_bhumiya"	0	false
"army_barracks"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"army_board"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"army_staff_college"	"east_ethnic_hillmen_musketeers_afghan"	1	false
"drill_school"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"military_academy"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"minor_governors_barracks"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"minor_governors_encampment"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"minor_royal_palace"	"east_ethnic_hillmen_musketeers_afghan"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_hillmen_musketeers_afghan"	2	false
"prest_maratha_ajinkyatara"	"east_ethnic_hillmen_musketeers_afghan"	2	false
"prest_poland_akademia"	"east_ethnic_hillmen_musketeers_afghan"	2	false
"prest_prussia_brandenburg_gate"	"east_ethnic_hillmen_musketeers_afghan"	2	false
"army_barracks"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"army_board"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"army_staff_college"	"east_ethnic_hillmen_musketeers_kurdish"	1	false
"drill_school"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"military_academy"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"minor_governors_barracks"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"minor_governors_encampment"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"minor_royal_palace"	"east_ethnic_hillmen_musketeers_kurdish"	0	false
"prest_france_arc_de_triomphe"	"east_ethnic_hillmen_musketeers_kurdish"	2	false
"prest_maratha_ajinkyatara"	"east_ethnic_hillmen_musketeers_kurdish"	2	false
"prest_poland_akademia"	"east_ethnic_hillmen_musketeers_kurdish"	2	false
"prest_prussia_brandenburg_gate"	"east_ethnic_hillmen_musketeers_kurdish"	2	false
"army_board"	"east_lancers"	0	false
"army_staff_college"	"east_lancers"	1	false
"drill_school"	"east_lancers"	0	false
"military_academy"	"east_lancers"	0	false
"prest_france_arc_de_triomphe"	"east_lancers"	0	false
"prest_maratha_ajinkyatara"	"east_lancers"	0	false
"prest_poland_akademia"	"east_lancers"	0	false
"prest_prussia_brandenburg_gate"	"east_lancers"	0	false
