version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"army_board"	"east_camel_gunners_zamburaks"	0	false
"army_staff_college"	"east_camel_gunners_zamburaks"	0	false
"drill_school"	"east_camel_gunners_zamburaks"	0	false
"military_academy"	"east_camel_gunners_zamburaks"	0	false
"minor_governors_barracks"	"east_camel_gunners_zamburaks"	0	false
"minor_royal_palace"	"east_camel_gunners_zamburaks"	0	false
"prest_france_arc_de_triomphe"	"east_camel_gunners_zamburaks"	0	false
"prest_maratha_ajinkyatara"	"east_camel_gunners_zamburaks"	0	false
"prest_poland_akademia"	"east_camel_gunners_zamburaks"	0	false
"prest_prussia_brandenburg_gate"	"east_camel_gunners_zamburaks"	0	false
