version 1, schema _kv_rules_ext_tables
key(string)	unknown2(int)	unknown3(int)
"hnbonus_melee_cavalry_v_squareinfantry"	5	5
"land_mortar_projectile_calibration_target_area"	5	5
"magazine_explosion_interrupt_chance"	5	5
"melee_charge_factor_power_divisor"	5	5
"melee_height_delta_max"	5	5
"melee_entrenchement_level_multiplier"	5	5
"melee_height_delta_min"	5	5
"melee_hn_to_xholds_0_max"	5	5
"melee_hn_to_xholds_1_max"	5	5
"melee_hn_to_xholds_2_max"	5	5
"melee_hn_to_xholds_3_max"	5	5
"melee_xholds_knockback_0"	5	5
"melee_xholds_knockback_1"	5	5
"melee_xholds_knockback_2"	5	5
"melee_xholds_knockback_3"	5	5
"melee_xholds_knockback_4"	5	5
"melee_xholds_knockdown_0"	5	5
"melee_xholds_knockdown_1"	5	5
"melee_xholds_knockdown_2"	5	5
"melee_xholds_knockdown_3"	5	5
"melee_xholds_knockdown_4"	5	5
"melee_xholds_stepback_0"	5	5
"melee_xholds_stepback_1"	5	5
"melee_xholds_stepback_2"	5	5
"melee_xholds_stepback_3"	5	5
"melee_xholds_stepback_4"	5	5
"misfire_cannon_flintlock"	5	5
"misfire_cannon_matchlock"	5	5
"misfire_musket_flintlock"	5	5
"relative_melee_experience_multiplier"	5	5
"relative_melee_fatigue_multiplier"	5	5
"relative_melee_height_delta_divisor"	5	5
"ship_bonus_close_mod"	5	5
"ship_bonus_range"	5	5
"ship_penalty_far_mod"	5	5
"ship_penalty_range"	5	5
"misfire_musket_matchlock"	5	5
"misfire_musket_percussion_cap"	5	5
"missile_cover_factor_good"	5	5
"missile_cover_factor_none"	5	5
"missile_cover_factor_slight"	5	5
"missile_cover_factor_excellent"	5	5
"missile_cover_factor_some"	5	5
"missile_distance_for_half_chance_hit"	5	5
"missile_distance_for_half_chance_hit_artillery"	5	5
"missile_distance_for_half_chance_hit_naval"	5	5
"missile_hn_to_xholds_0_max"	5	5
"missile_hn_to_xholds_1_max"	5	5
"missile_hn_to_xholds_2_max"	5	5
"missile_hn_to_xholds_3_max"	5	5
"missile_xholds_knockdown_0"	5	5
"missile_xholds_knockdown_1"	5	5
"missile_xholds_knockdown_2"	5	5
"missile_xholds_knockdown_3"	5	5
"missile_xholds_knockdown_4"	5	5
"naval_projectile_calibration_target_area"	5	5
"projectile_calibration_target_area"	5	5
"projectile_damage_armour_divisor"	5	5
"projectile_damage_defense_divisor"	5	5
"projectile_damage_distance_multiplier"	5	5
"projectile_damage_shield_divisor"	5	5
"projectile_incendiary_chance_high"	5	5
"projectile_incendiary_chance_low"	5	5
"projectile_incendiary_chance_medium"	5	5
"armour_melee_penetrating_divisor"	5	5
"armour_melee_piercing_divisor"	5	5
"armour_missile_penetrating_divisor"	5	5
"armour_missile_piercing_divisor"	5	5
"artillery_projectile_calibration_target_area"	5	5
"attackpower_extreme_range_multplier"	5	5
"attackpower_long_range_multiplier"	5	5
"bayonet_melee_attack_bonus"	5	5
"bayonet_ring_reload_time_penalty"	5	5
"broadsides_damage_modifier"	5	5
"defense_melee_penetrating_divisor"	5	5
"defense_melee_piercing_divisor"	5	5
"defense_missile_penetrating_divisor"	5	5
"defense_missile_piercing_divisor"	5	5
"factor_attackdir_flankleft"	5	5
"factor_attackdir_flankright"	5	5
"factor_attackdir_front"	5	5
"factor_attackdir_rear"	5	5
"fire_and_advance_reload_modifier"	5	5
"fire_on_walls_accuracy_modifier"	5	5
"fire_on_walls_range_modifier"	5	5
"fire_on_walls_reload_modifier"	5	5
"firing_drill_improved_platoon_fire_reload_modifier"	5	5
"firing_drill_mass_fire_reload_modifier"	5	5
"firing_drill_platoon_fire_reload_modifier"	5	5
"firing_drill_rank_fire_reload_modifier"	5	5
"hnbonus_bayonet"	5	5
"hnbonus_melee_cavalry_v_infantry"	5	5
