version 1, schema agent_culture_details_tables
Agent_IDRef(string)	Culture(string)	Model_x0020_Path(string)	Bodyguard_Unit(optstring)
"admiral"	"egy_european"	"euro_campaign_admiralship_weighted"	nil
"admiral"	"egy_middle_east"	"east_campaign_admiralship_weighted"	nil
"admiral"	"european"	"euro_campaign_admiralship_weighted"	nil
"admiral"	"indian"	"east_campaign_admiralship_weighted"	nil
"admiral"	"middle_east"	"east_campaign_admiralship_weighted"	nil
"assassin"	"egy_middle_east"	"Campaign_ottoman_assassin"	nil
"assassin"	"indian"	"campaign_indian_thuggee"	nil
"assassin"	"middle_east"	"Campaign_ottoman_assassin"	nil
"bandit"	"european"	"Campaign_euro_rake"	nil
"bandit"	"indian"	"campaign_indian_thuggee"	nil
"bandit"	"middle_east"	"Campaign_ottoman_assassin"	nil
"bandit"	"tribal"	"Campaign_Native_American_Spy"	nil
"captain"	"egy_european"	"euro_campaign_ship_weighted"	nil
"captain"	"egy_middle_east"	"east_campaign_ship_weighted"	nil
"captain"	"european"	"euro_campaign_ship_weighted"	nil
"captain"	"indian"	"east_campaign_ship_weighted"	nil
"captain"	"middle_east"	"east_campaign_ship_weighted"	nil
"captain"	"tribal"	"east_campaign_ship_weighted"	nil
"catholic_missionary"	"european"	"Campaign_Spanish_Priest"	nil
"colonel"	"egy_european"	"campaign_euro_colonel"	nil
"colonel"	"egy_middle_east"	"Campaign_ottoman_colonel"	nil
"colonel"	"european"	"campaign_euro_colonel"	nil
"colonel"	"indian"	"campaign_indian_colonel"	nil
"colonel"	"middle_east"	"Campaign_ottoman_colonel"	nil
"colonel"	"tribal"	"campaign_native_american_general"	nil
"Eastern_Scholar"	"egy_middle_east"	"campaign_ottoman_scholar"	nil
"Eastern_Scholar"	"indian"	"campaign_indian_scholar"	nil
"Eastern_Scholar"	"middle_east"	"campaign_ottoman_scholar"	nil
"General"	"egy_european"	"campaign_euro_general2"	"Gen_Generals_Staff"
"General"	"egy_middle_east"	"Campaign_ottoman_general"	"Gen_Generals_Bodyguard"
"General"	"european"	"campaign_euro_general2"	"Gen_Generals_Staff"
"General"	"middle_east"	"Campaign_ottoman_general"	"Gen_Generals_Bodyguard"
"gentleman"	"egy_european"	"campaign_euro_gentleman"	nil
"gentleman"	"european"	"campaign_euro_gentleman"	nil
"indian_missionary"	"indian"	"campaign_indian_brahmin"	nil
"middle_east_missionary"	"indian"	"campaign_ottoman_imam"	nil
"middle_east_missionary"	"middle_east"	"campaign_ottoman_imam"	nil
"minister"	"egy_european"	"campaign_soldier"	nil
"minister"	"egy_middle_east"	"campaign_soldier"	nil
"minister"	"european"	"campaign_soldier"	nil
"minister"	"indian"	"campaign_soldier"	nil
"minister"	"middle_east"	"campaign_soldier"	nil
"minister"	"tribal"	"campaign_soldier"	nil
"orthodox_missionary"	"european"	"Campaign_Provocateur"	nil
"pirate"	"european"	"euro_campaign_ship_weighted"	nil
"pirate"	"indian"	"euro_campaign_ship_weighted"	nil
"pirate"	"middle_east"	"euro_campaign_ship_weighted"	nil
"pirate"	"tribal"	"euro_campaign_ship_weighted"	nil
"Protestant_Missionary"	"european"	"Campaign_Provocateur"	nil
"rake"	"egy_european"	"Campaign_euro_rake"	nil
"rake"	"european"	"Campaign_euro_rake"	nil
"rake"	"tribal"	"Campaign_Native_American_Spy"	nil
"guerilla"	"european"	"Campaign_Guerrillero"	nil
