version 1, schema ancillaries_tables
Ancillary_ID(string)	Ancillary_Type_IDRef(string)	applies_to(string)	transferrable(boolean)	unique_to_world(boolean)	unique_to_faction(boolean)	precedence(int)	Start_Date(int)	End_Date(int)
"Anc_Agent_Provocateur"	"masked_figure"	"character"	false	false	false	9	1796	1900
"Anc_Artist_Playwright"	"florid_nobleman"	"character"	false	false	false	5	1796	1900
"Anc_Artist_Portrait"	"professional_servant"	"character"	false	false	false	5	1796	1900
"Anc_Balloonist"	"balloon"	"character"	false	false	false	9	1796	1900
"Anc_Banker"	"wealthy_merchant"	"character"	false	false	true	5	1796	1900
"Anc_Beau"	"florid_nobleman"	"character"	false	false	true	1	1796	1900
"Anc_Biographer"	"professional_servant"	"character"	false	false	true	8	1796	1900
"Anc_Boatswain"	"sailor"	"character"	false	false	false	8	1796	1900
"Anc_Bodyguard"	"thuggish_servant"	"character"	false	false	false	8	1796	1900
"Anc_Book_Keeper"	"professional_servant"	"character"	false	false	true	8	1796	1900
"Anc_Carpenter"	"sailor"	"character"	false	false	false	8	1796	1900
"Anc_Carpenter_Loony"	"loony"	"character"	false	false	true	7	1796	1900
"Anc_Chaplain"	"caplain"	"character"	false	false	true	7	1796	1900
"Anc_Classical_Scholar"	"inventor"	"character"	false	false	true	7	1796	1900
"Anc_Commissioner_of_Public_Safety"	"professional_servant"	"character"	false	false	true	7	1796	1900
"Anc_Cook"	"professional_servant"	"character"	false	false	false	5	1796	1900
"Anc_Cornet"	"army_officer"	"character"	false	false	false	5	1796	1900
"Anc_Cossack_Brave"	"cossack"	"character"	false	false	false	5	1796	1900
"Anc_Cossack_Drunken"	"cossack"	"character"	false	false	false	2	1796	1900
"Anc_Decorated_Hero"	"army_officer"	"character"	false	false	true	8	1796	1900
"Anc_Dilletante"	"professional_servant"	"character"	false	false	true	5	1796	1900
"Anc_Doctor_Quack"	"clerk_type_servant"	"character"	false	false	true	2	1796	1900
"Anc_Drummer"	"drummer_boy"	"character"	false	false	false	5	1796	1900
"Anc_Duellist"	"florid_nobleman"	"character"	false	false	true	8	1796	1900
"Anc_Election_Agent"	"clerk_type_servant"	"character"	false	false	false	3	1796	1900
"Anc_Excise_Man"	"thuggish_servant"	"character"	true	false	true	5	1796	1900
"Anc_Factor"	"wealthy_merchant"	"character"	true	false	true	5	1796	1900
"Anc_Fake_Emir"	"turk_with_turban"	"character"	false	false	true	2	1796	1900
"Anc_Fake_Native_Chief"	"north_american_indian"	"character"	false	false	true	2	1796	1900
"Anc_Family_Cousin_1"	"inbred_relative"	"character"	false	false	true	5	1796	1900
"Anc_Family_Cousin_2"	"inbred_relative"	"character"	false	false	true	5	1796	1900
"Anc_Family_Retainer"	"professional_servant"	"character"	false	false	true	7	1796	1900
"Anc_Family_Son_In_Law"	"inbred_relative"	"character"	false	false	true	5	1796	1900
"Anc_Favourite_Charger"	"horse"	"character"	true	false	false	9	1796	1900
