version 1, schema ancillary_to_effects_tables
Ancillary_IDRef(string)	Effect_IDRef(string)	Value(float)
"Anc_Agent_Provocateur"	"gentlemen_happiness_bonus"	-1
"Anc_Artist_Portrait"	"happy_war_results_home_region"	1
"Anc_Artist_Portrait"	"prestige_military"	1
"Anc_Balloonist"	"observation_balloon"	1
"Anc_Banker"	"recruitment_cost_mod_land_all"	-5
"Anc_Beau"	"Command_Land_Cavalry_Troops"	-1
"Anc_Biographer"	"prestige_faction_leader"	1
"Anc_Boatswain"	"mod_ship_movement_campaign"	2
"Anc_Bodyguard"	"personal_security"	-10
"Anc_Book_Keeper"	"management_finance"	-1
"Anc_Carpenter"	"ship_repair_increase"	-10
"Anc_Carpenter_Loony"	"ship_repair_increase"	10
"Anc_Chaplain"	"management_finance"	1
"Anc_Commissioner_of_Public_Safety"	"repression_gov_type"	2
"Anc_Cook"	"happy_character_upper"	1
"Anc_Cornet"	"Command_Land_Cavalry_Troops"	1
"Anc_Cossack_Brave"	"Movement_Points_Land_Cavalry"	2
"Anc_Cossack_Drunken"	"Movement_Points_Land_Cavalry"	-2
"Anc_Decorated_Hero"	"attrition_mod"	-10
"Anc_Decorated_Hero"	"morale_bonus"	1
"Anc_Decorated_Hero"	"prestige_military"	1
"Anc_Doctor_Quack"	"character_death_chance_turn_end"	5
"Anc_Drummer"	"morale_bonus"	1
"Anc_Election_Agent"	"management_finance"	-1
"Anc_Excise_Man"	"management_finance"	1
"Anc_Excise_Man"	"management_justice"	1
"Anc_Factor"	"tw_growth_mod_port_trade"	5
"Anc_Fake_Emir"	"prestige_faction_leader"	-1
"Anc_Fake_Native_Chief"	"prestige_faction_leader"	-1
"Anc_Family_Cousin_1"	"morale_bonus"	1
"Anc_Family_Cousin_2"	"morale_bonus"	1
"Anc_Favourite_Charger"	"Command_Land_Cavalry_Troops"	1
"Anc_Fiddler"	"morale_bonus"	1
"Anc_Financier"	"management_finance"	1
"Anc_Gen_Supply_Agent"	"attrition_mod"	-5
"Anc_Gen_Supply_Agent"	"replenishment_percentage_bonus"	5
"Anc_Gov_Cryptographer"	"subterfuge_counterspying"	3
"Anc_Gov_Customs_Officer"	"management_finance"	1
"Anc_Gov_Customs_Officer"	"management_justice"	1
"Anc_Gov_Gardener_Royal"	"prestige_faction_leader"	1
"Anc_Gov_Metropolitan"	"happy_character_lower"	2
"Anc_Gov_Scandal_Writer"	"happy_character_lower"	1
"Anc_Gov_Scandal_Writer"	"happy_character_upper"	-1
"Anc_Gov_Taxman_Crook"	"happy_character_lower"	-2
"Anc_Gov_Taxman_Crook"	"management_finance"	-1
"Anc_Gov_Taxman_Honest"	"happy_character_lower"	-1
"Anc_Gov_Taxman_Honest"	"management_finance"	1
"Anc_Gov_Thieftaker_Honest"	"management_justice"	1
"Anc_Gov_Trader_Merchant"	"tw_growth_mod_port_trade"	5
"Anc_Gov_Trader_Monopolist"	"tw_growth_mod_port_trade"	5
"Anc_Gov_Trader_Ottoman"	"tw_growth_mod_port_trade"	5
"Anc_Gov_Trader_Stock"	"happy_character_upper"	1
"Anc_Gov_Trader_Stock"	"tw_growth_ministers_home_theatre"	1
"Anc_Governess"	"happy_character_upper"	1
"Anc_Grand_Tourist"	"Movement_Points_All"	-5
"Anc_Grand_Tourist"	"research_points_enlightenment"	-1
"Anc_Grizzled_Old_Sergeant"	"attrition_mod"	-2
"Anc_Grizzled_Old_Sergeant"	"morale_bonus"	1
"Anc_Hack"	"education_happy_mod"	5
"Anc_Heroic_Saviour"	"personal_security"	-5
"Anc_Highland_Servant"	"personal_security"	-5
"Anc_Impoverished_Nephew"	"research_points_enlightenment"	1
"Anc_Instrument_Maker"	"research_points_industry"	1
"Anc_Islam_Alchemist"	"research_points_industry"	1
"Anc_Islam_Alim"	"conversion_islamic"	1
"Anc_Islam_Astronomer"	"research_points_global"	1
"Anc_Islam_Brahmin"	"research_points_global"	1
"Anc_Islam_Convert"	"hates_europeans"	1
"Anc_Islam_Corsair"	"hates_europeans"	1
"Anc_Islam_Darwis"	"conversion_islamic"	1
"Anc_Islam_Fighter"	"hates_europeans"	1
"Anc_Islam_Heretic"	"happy_character_lower"	1
"Anc_Islam_Heretic"	"management_justice"	1
"Anc_Islam_Judge"	"management_justice"	1
"Anc_Islam_Legal_Scholar_1"	"management_justice"	1
"Anc_Islam_Legal_Scholar_2"	"management_justice"	1
"Anc_Islam_Physician"	"character_death_chance_turn_end"	-5
"Anc_Islam_Pious_Man"	"management_justice"	1
"Anc_Islam_Pious_Man"	"repression_garrison"	1
"Anc_Islam_Preacher"	"conversion_islamic"	1
"Anc_Islam_Protector"	"management_justice"	1
"Anc_Islam_Protector"	"repression_garrison"	1
"Anc_Islam_Scholar"	"research_points_global"	1
