version 1, schema battle_groundcover_density_maps_tables
key(string)	unknown2(string)	unknown3(string)
"lc_am_desert"	"grassland_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_grassland"
"lc_am_desert"	"hills_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_hills"
"lc_am_desert"	"hilly_light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_hilly_light_forest"
"lc_am_desert"	"light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_light_forest"
"lc_am_desert"	"Marsh_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_marsh"
"lc_am_desert"	"Plains_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_plains"
"lc_am_desert"	"Swamp_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_swamp"
"lc_am_desert"	"Tundra_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_tundra"
"lc_am_great_plains"	"grassland_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_grassland"
"lc_am_great_plains"	"hills_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_hills"
"lc_am_great_plains"	"hilly_light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_hilly_light_forest"
"lc_am_great_plains"	"light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_light_forest"
"lc_am_great_plains"	"Marsh_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_marsh"
"lc_am_great_plains"	"Plains_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_plains"
"lc_am_great_plains"	"Swamp_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_swamp"
"lc_am_great_plains"	"Tundra_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_tundra"
"lc_am_jungle"	"grassland_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_grassland"
"lc_am_jungle"	"hills_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_hills"
