version 1, schema battle_groundcover_distribution_maps_tables
key(string)	unknown2(string)	unknown3(int)
"lc_am_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_desert_lod_0_map_0.tga"	0
"lc_am_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_desert_lod_0_map_1.tga"	0
"lc_am_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_desert_lod_0_map_2.tga"	0
"lc_am_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_desert_lod_1_map_0.tga"	1
"lc_am_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_desert_lod_1_map_1.tga"	1
"lc_am_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_desert_lod_1_map_2.tga"	1
"lc_am_great_plains"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_great_plains_lod_0_map_0.tga"	0
"lc_am_great_plains"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_great_plains_lod_0_map_1.tga"	0
"lc_am_great_plains"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_great_plains_lod_0_map_2.tga"	0
"lc_am_great_plains"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_great_plains_lod_1_map_0.tga"	1
"lc_am_great_plains"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_great_plains_lod_1_map_1.tga"	1
"lc_am_great_plains"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_great_plains_lod_1_map_2.tga"	1
"lc_am_jungle"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_jungle_lod_0_map_0.tga"	0
"lc_am_jungle"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_jungle_lod_0_map_1.tga"	0
"lc_am_jungle"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_jungle_lod_0_map_2.tga"	0
"lc_am_jungle"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_jungle_lod_1_map_0.tga"	1
"lc_am_jungle"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_jungle_lod_1_map_1.tga"	1
"lc_am_jungle"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_jungle_lod_1_map_2.tga"	1
"lc_am_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_s_arid_lod_0_map_0.tga"	0
"lc_am_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_s_arid_lod_0_map_1.tga"	0
"lc_am_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_s_arid_lod_0_map_2.tga"	0
"lc_am_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_s_arid_lod_1_map_0.tga"	1
"lc_am_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_s_arid_lod_1_map_1.tga"	1
"lc_am_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_s_arid_lod_1_map_2.tga"	1
"lc_am_se_usa"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_se_usa_lod_0_map_0.tga"	0
"lc_am_se_usa"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_se_usa_lod_0_map_1.tga"	0
"lc_am_se_usa"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_se_usa_lod_0_map_2.tga"	0
"lc_am_se_usa"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_se_usa_lod_1_map_0.tga"	1
"lc_am_se_usa"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_se_usa_lod_1_map_1.tga"	1
"lc_am_se_usa"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_se_usa_lod_1_map_2.tga"	1
"lc_am_tropical_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_tropical_humid_lod_0_map_0.tga"	0
"lc_am_tropical_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_tropical_humid_lod_0_map_1.tga"	0
"lc_am_tropical_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_tropical_humid_lod_0_map_2.tga"	0
"lc_am_tropical_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_tropical_humid_lod_1_map_0.tga"	1
"lc_am_tropical_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_tropical_humid_lod_1_map_1.tga"	1
"lc_am_tropical_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_tropical_humid_lod_1_map_2.tga"	1
"lc_am_us_central"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_central_lod_0_map_0.tga"	0
"lc_am_us_central"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_central_lod_0_map_1.tga"	0
"lc_am_us_central"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_central_lod_0_map_2.tga"	0
"lc_am_us_central"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_central_lod_1_map_0.tga"	1
"lc_am_us_central"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_central_lod_1_map_1.tga"	1
"lc_am_us_central"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_central_lod_1_map_2.tga"	1
"lc_am_us_east"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_east_lod_0_map_0.tga"	0
"lc_am_us_east"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_east_lod_0_map_1.tga"	0
"lc_am_us_east"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_east_lod_0_map_2.tga"	0
"lc_am_us_east"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_east_lod_1_map_0.tga"	1
"lc_am_us_east"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_east_lod_1_map_1.tga"	1
"lc_am_us_east"	"BattleTerrain\\groundcover_distribution_maps\\lc_am_us_east_lod_1_map_2.tga"	1
"lc_as_temp_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_humid_lod_0_map_0.tga"	0
"lc_as_temp_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_humid_lod_0_map_1.tga"	0
"lc_as_temp_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_humid_lod_0_map_2.tga"	0
"lc_as_temp_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_humid_lod_1_map_0.tga"	1
"lc_as_temp_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_humid_lod_1_map_1.tga"	1
"lc_as_temp_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_humid_lod_1_map_2.tga"	1
"lc_as_temp_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_s_arid_lod_0_map_0.tga"	0
"lc_as_temp_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_s_arid_lod_0_map_1.tga"	0
"lc_as_temp_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_s_arid_lod_0_map_2.tga"	0
"lc_as_temp_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_s_arid_lod_1_map_0.tga"	1
"lc_as_temp_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_s_arid_lod_1_map_1.tga"	1
"lc_as_temp_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_temp_s_arid_lod_1_map_2.tga"	1
"lc_as_trop_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_humid_lod_0_map_0.tga"	0
"lc_as_trop_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_humid_lod_0_map_1.tga"	0
"lc_as_trop_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_humid_lod_0_map_2.tga"	0
"lc_as_trop_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_humid_lod_1_map_0.tga"	1
"lc_as_trop_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_humid_lod_1_map_1.tga"	1
"lc_as_trop_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_humid_lod_1_map_2.tga"	1
"lc_as_trop_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_s_arid_lod_0_map_0.tga"	0
"lc_as_trop_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_s_arid_lod_0_map_1.tga"	0
"lc_as_trop_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_s_arid_lod_0_map_2.tga"	0
"lc_as_trop_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_s_arid_lod_1_map_0.tga"	1
"lc_as_trop_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_s_arid_lod_1_map_1.tga"	1
"lc_as_trop_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_as_trop_s_arid_lod_1_map_2.tga"	1
"lc_boreal"	"BattleTerrain\\groundcover_distribution_maps\\lc_boreal_lod_0_map_0.tga"	0
"lc_boreal"	"BattleTerrain\\groundcover_distribution_maps\\lc_boreal_lod_0_map_1.tga"	0
"lc_boreal"	"BattleTerrain\\groundcover_distribution_maps\\lc_boreal_lod_0_map_2.tga"	0
"lc_boreal"	"BattleTerrain\\groundcover_distribution_maps\\lc_boreal_lod_1_map_0.tga"	1
"lc_boreal"	"BattleTerrain\\groundcover_distribution_maps\\lc_boreal_lod_1_map_1.tga"	1
"lc_boreal"	"BattleTerrain\\groundcover_distribution_maps\\lc_boreal_lod_1_map_2.tga"	1
"lc_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_desert_lod_0_map_0.tga"	0
"lc_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_desert_lod_0_map_1.tga"	0
"lc_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_desert_lod_0_map_2.tga"	0
"lc_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_desert_lod_1_map_0.tga"	1
"lc_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_desert_lod_1_map_1.tga"	1
"lc_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_desert_lod_1_map_2.tga"	1
"lc_eu_central_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_central_humid_lod_0_map_0.tga"	0
"lc_eu_central_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_central_humid_lod_0_map_1.tga"	0
"lc_eu_central_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_central_humid_lod_0_map_2.tga"	0
"lc_eu_central_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_central_humid_lod_1_map_0.tga"	1
"lc_eu_central_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_central_humid_lod_1_map_1.tga"	1
"lc_eu_central_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_central_humid_lod_1_map_2.tga"	1
"lc_eu_north_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_humid_lod_0_map_0.tga"	0
"lc_eu_north_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_humid_lod_0_map_1.tga"	0
"lc_eu_north_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_humid_lod_0_map_2.tga"	0
"lc_eu_north_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_humid_lod_1_map_0.tga"	1
"lc_eu_north_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_humid_lod_1_map_1.tga"	1
"lc_eu_north_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_humid_lod_1_map_2.tga"	1
"lc_eu_north_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_s_arid_lod_0_map_0.tga"	0
"lc_eu_north_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_s_arid_lod_0_map_1.tga"	0
"lc_eu_north_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_s_arid_lod_0_map_2.tga"	0
"lc_eu_north_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_s_arid_lod_1_map_0.tga"	1
"lc_eu_north_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_s_arid_lod_1_map_1.tga"	1
"lc_eu_north_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_north_s_arid_lod_1_map_2.tga"	1
"lc_eu_south_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_humid_lod_0_map_0.tga"	0
"lc_eu_south_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_humid_lod_0_map_1.tga"	0
"lc_eu_south_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_humid_lod_0_map_2.tga"	0
"lc_eu_south_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_humid_lod_1_map_0.tga"	1
"lc_eu_south_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_humid_lod_1_map_1.tga"	1
"lc_eu_south_humid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_humid_lod_1_map_2.tga"	1
"lc_eu_south_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_s_arid_lod_0_map_0.tga"	0
"lc_eu_south_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_s_arid_lod_0_map_1.tga"	0
"lc_eu_south_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_s_arid_lod_0_map_2.tga"	0
"lc_eu_south_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_s_arid_lod_1_map_0.tga"	1
"lc_eu_south_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_s_arid_lod_1_map_1.tga"	1
"lc_eu_south_s_arid"	"BattleTerrain\\groundcover_distribution_maps\\lc_eu_south_s_arid_lod_1_map_2.tga"	1
"lc_mediterranean"	"BattleTerrain\\groundcover_distribution_maps\\lc_mediterranean_lod_0_map_0.tga"	0
"lc_mediterranean"	"BattleTerrain\\groundcover_distribution_maps\\lc_mediterranean_lod_0_map_1.tga"	0
"lc_mediterranean"	"BattleTerrain\\groundcover_distribution_maps\\lc_mediterranean_lod_0_map_2.tga"	0
"lc_mediterranean"	"BattleTerrain\\groundcover_distribution_maps\\lc_mediterranean_lod_1_map_0.tga"	1
"lc_mediterranean"	"BattleTerrain\\groundcover_distribution_maps\\lc_mediterranean_lod_1_map_1.tga"	1
"lc_mediterranean"	"BattleTerrain\\groundcover_distribution_maps\\lc_mediterranean_lod_1_map_2.tga"	1
