version 1, schema battle_personalities_tables
Battle_x0020_Personality_x0020_ID(string)	soldier_model(string)	man_animations_table(string)	equipment_theme(string)	type(string)
"british_bugler"	"euroline"	"personality_bugler"	"britain_bugler"	"bugler"
"british_drummer"	"euroline"	"personality_drummer"	"britain_drummer"	"drummer"
"cinematic_officer"	"euroline"	"personality_officer"	"cinematic"	"officer"
"east_armed_citizenry_officer"	"euroline"	"personality_officer"	"ottoman_officer"	"officer"
"euro_armed_citizenry_officer"	"euroline"	"personality_officer"	"generic_officer"	"officer"
"euro_bugler"	"euroline"	"personality_bugler"	"generic_bugler"	"bugler"
"euro_camel_bugler"	"euroline"	"personality_camel_bugler"	"generic_camel_bugler"	"bugler"
"euro_camel_officer"	"euroline"	"personality_camel_officer"	"generic_camel_officer"	"officer"
"euro_cavalry_bugler_sabre"	"euroline"	"personality_bugler"	"generic_cavalry_bugler_sabre"	"bugler"
"euro_cavalry_bugler_sword"	"euroline"	"personality_bugler"	"generic_cavalry_bugle_sword"	"bugler"
"euro_drummer"	"euroline"	"personality_drummer"	"generic_drummer"	"drummer"
"euro_flutist"	"euroline"	"personality_flutist"	"generic_flutist"	"flutist"
"euro_general"	"euroline"	"personality_officer"	"generic_officer"	"officer"
"euro_naval_admiral"	"euro_admiral"	"personality_officer"	"generic_officer"	"admiral"
"euro_naval_commodore"	"euro_commodore"	"personality_officer"	"generic_officer"	"naval_officer"
"euro_naval_drummer"	"euro_able_seamen"	"personality_drummer"	"generic_drummer"	"drummer"
"euro_naval_officer"	"euro_commodore"	"personality_officer"	"generic_officer"	"naval_officer"
"euro_officer"	"euroline"	"personality_officer"	"generic_officer"	"officer"
"euro_standard_bearer"	"euroline"	"personality_standard_bearer"	"generic_standard"	"standard_bearer"
"french_bugler"	"euroline"	"personality_bugler"	"france_bugler"	"bugler"
"french_drummer"	"euroline"	"personality_drummer"	"france_drummer"	"drummer"
"napoleon_battleoutfit"	"Napoleon_BattleOutfit"	"personality_officer"	"cinematic"	"officer"
"napoleon_greatcoat"	"Napoleon_GreatCoat_BattleOutfit"	"personality_officer"	"cinematic"	"officer"
"ottoman_bugler"	"euroline"	"personality_bugler"	"ottoman_bugler"	"bugler"
"ottoman_camel_bugler"	"euroline"	"personality_camel_bugler"	"ottoman_camel_bugler"	"bugler"
"ottoman_camel_officer"	"ottoman_naval_officer"	"personality_camel_officer"	"ottoman_camel_officer"	"officer"
"ottoman_drummer"	"euroline"	"personality_drummer"	"ottoman_drummer"	"drummer"
"ottoman_flutist"	"euroline"	"personality_bugler"	"ottoman_bugler"	"flutist"
"ottoman_general"	"euroline"	"personality_officer"	"ottoman_officer"	"officer"
"ottoman_naval_admiral"	"ottoman_admiral"	"personality_officer"	"ottoman_officer"	"admiral"
"ottoman_naval_commodore"	"ottoman_commodore"	"personality_officer"	"ottoman_officer"	"naval_officer"
"ottoman_naval_drummer"	"ottoman_naval_officer"	"personality_drummer"	"ottoman_drummer"	"drummer"
"ottoman_naval_officer"	"ottoman_naval_officer"	"personality_officer"	"ottoman_officer"	"naval_officer"
"ottoman_officer"	"ottoman_naval_officer"	"personality_officer"	"ottoman_officer"	"officer"
"ottoman_standard_bearer"	"euroline"	"personality_standard_bearer"	"ottoman_standard"	"standard_bearer"
"prussian_bugler"	"euroline"	"personality_bugler"	"prussia_bugler"	"bugler"
"prussian_drummer"	"euroline"	"personality_drummer"	"prussia_drummer"	"drummer"
"russian_bugler"	"euroline"	"personality_bugler"	"russia_bugler"	"bugler"
"russian_drummer"	"euroline"	"personality_drummer"	"russia_drummer"	"drummer"
"test_admiral"	"euroline"	"personality_officer"	"generic_officer"	"officer"
"test_bugler"	"euroline"	"personality_bugler"	"generic_bugler"	"bugler"
"test_camel_officer"	"euroline"	"personality_camel_officer"	"generic_officer"	"officer"
"test_drummer"	"euroline"	"personality_drummer"	"generic_drummer"	"drummer"
"test_elephant_officer"	"euroline"	"personality_elephant_officer"	"generic_officer"	"officer"
"test_flutist"	"euroline"	"personality_officer"	"generic_flutist"	"flutist"
"test_naval_admiral"	"euroline"	"personality_naval_captain"	"generic_officer"	"admiral"
"test_naval_bosun"	"euroline"	"personality_flutist"	"generic_flutist"	"flutist"
"test_naval_captain"	"euroline"	"personality_naval_captain"	"generic_officer"	"naval_officer"
"test_naval_lieutenant"	"euroline"	"personality_officer"	"generic_officer"	"naval_officer"
"test_officer"	"euroline"	"personality_officer"	"generic_officer"	"officer"
"test_standard_bearer"	"euroline"	"personality_standard_bearer"	"generic_standard"	"standard_bearer"
