version 1, schema battle_terrain_set_climates_jcts_tables
Climate(string)	Terrain_Set_IDRef(string)
"lc_am_desert"	"Red_Desert"
"lc_am_great_plains"	"Prairie"
"lc_am_jungle"	"Humid_Forest"
"lc_am_s_arid"	"Savannah"
"lc_am_se_usa"	"Jungle"
"lc_am_tropical_humid"	"Jungle"
"lc_am_us_central"	"Central"
"lc_am_us_east"	"Central_Green"
"lc_as_temp_humid"	"Humid_Forest"
"lc_as_temp_s_arid"	"India_Arid"
"lc_as_trop_humid"	"Jungle"
"lc_as_trop_s_arid"	"India_Central"
"lc_boreal"	"Moorland_Rocky"
"lc_desert"	"Rocky_Desert"
"lc_eu_central_humid"	"Central_Green"
"lc_eu_north_humid"	"Bushy"
"lc_eu_north_s_arid"	"Lowlands"
"lc_eu_south_humid"	"Grass"
"lc_eu_south_s_arid"	"Arid_Half_Green"
"lc_mediterranean"	"Mediteraen_Rural"
"lc_sand_desert"	"Desert_Dune"
"lc_steppe"	"Prairie"
"lc_tundra"	"Tundra_Frozen"
