version 1, schema battle_type_unit_to_faction_presets_tables
unknown1(string)	unknown2(int)	Unit_IDRef(string)	unknown3(int)
"1"	2	"Gen_Generals_Staff"	0
"2"	2	"Cav_Heavy_Austrian_Cuirassiers"	0
"3"	2	"Cav_Heavy_Austrian_Cuirassiers"	0
"4"	2	"Cav_Light_Austrian_Hungarian_Hussars"	0
"5"	2	"Art_Foot_Austrian_12_lber"	0
"6"	2	"Art_Foot_Austrian_7_lber_Howitzer"	0
"7"	2	"Inf_Gren_Austrian_Hungarian_Grenadiers"	0
"8"	2	"Inf_Militia_Austrian_Landwehr"	0
"9"	2	"Inf_Line_Austrian_German_Fusiliers"	0
"10"	2	"Inf_Line_Austrian_German_Fusiliers"	0
"11"	2	"Inf_Line_Austrian_German_Fusiliers"	0
"12"	2	"Inf_Line_Austrian_German_Fusiliers"	0
"13"	2	"Inf_Line_Austrian_Hungarian_Fusiliers"	0
"14"	2	"Inf_Line_Austrian_Hungarian_Fusiliers"	0
"15"	2	"Inf_Skirm_Austrian_Windbucshe_Jager"	0
"16"	2	"Inf_Skirm_Austrian_Jager"	0
"17"	2	"Inf_Militia_Austrian_Landwehr"	0
"18"	2	"Inf_Militia_Austrian_Landwehr"	0
"19"	3	"Gen_Generals_Staff"	0
"20"	3	"Cav_Heavy_British_Dragoons"	0
"21"	3	"Cav_Heavy_British_Dragoons"	0
"22"	3	"Art_Horse_British_6_lber"	0
"23"	3	"Art_Foot_British_5_In_Howitzer"	0
"24"	3	"Inf_Elite_British_Foot_Guards"	0
"25"	3	"Inf_Light_British_Light_Foot"	0
"26"	3	"Inf_Line_British_Foot"	0
"27"	3	"Inf_Line_British_Foot"	0
"28"	3	"Inf_Line_British_Foot"	0
"29"	3	"Inf_Line_British_Foot"	0
"30"	3	"Cav_Light_British_Light_Dragoons"	0
"31"	3	"Inf_Skirm_British_Rifles"	0
"32"	3	"Inf_Skirm_British_Rifles"	0
"33"	3	"Inf_Militia_British_Fencibles"	0
"34"	3	"Inf_Militia_British_Fencibles"	0
"35"	3	"Inf_Militia_British_Fencibles"	0
"36"	4	"Gen_Generals_Staff"	0
"37"	4	"Art_Foot_12_lber"	0
"38"	4	"Art_Foot_7_lber_Howitzer"	0
"39"	4	"Cav_Light_Light_Dragoons"	0
"40"	4	"Inf_Elite_Life_Guards_of_Foot"	0
"41"	4	"Inf_Gren_Grenadiers"	1
"42"	4	"Inf_Line_Line_Infantry"	0
"43"	4	"Inf_Line_Line_Infantry"	0
"44"	4	"Inf_Line_Line_Infantry"	0
"45"	4	"Inf_Line_Line_Infantry"	0
"46"	4	"Inf_Skirm_Norwegian_Ski_Troops"	0
"47"	4	"Cav_Heavy_Dragoons"	0
"48"	4	"Cav_Heavy_Dragoons"	0
"49"	4	"Inf_Line_Line_Infantry"	0
"50"	4	"Inf_Line_Line_Infantry"	0
"51"	4	"Inf_Skirm_Sharpshooters"	0
"52"	4	"Inf_Skirm_Sharpshooters"	0
"53"	4	"Inf_Militia_Militia"	0
"54"	4	"Inf_Gren_Grenadiers"	0
"55"	5	"Gen_Generals_Staff"	0
"56"	5	"Art_Foot_French_6_lber"	0
"57"	5	"Art_Foot_French_6_In_Howitzer"	0
