version 1, schema battle_weather_types_tables
Weather_ID(string)	level(int)	precipitation_type(int)	num_particles(int)	particle_size(float)	particle_speed(float)	list_order(int)	naval_appropriate(boolean)
"dry"	0	3	0	0	0	0	true
"heavy_dust"	2	2	750	5	7	6	false
"heavy_rain"	2	0	400	10	9	4	true
"heavy_snow"	2	1	150	20	0.5	5	true
"light_dust"	1	2	500	5	5	3	false
"light_rain"	1	0	100	10	7.8	1	true
"light_snow"	1	1	90	15	0.3	2	true
"torrential_dust"	3	2	1000	5	10	9	false
"torrential_rain"	3	0	800	10	11	7	true
"torrential_snow"	3	1	800	20	0.7	8	true
