version 1, schema battlefield_snow_props_tables
Prop(string)	unknown1(boolean)
"prop_field_applebarrels"	false
"prop_field_cart"	false
"prop_field_fallen_oak_log01"	false
"prop_field_fallen_oak_log02"	false
"prop_field_fallen_oak_log03"	false
"prop_field_fallen_pine_tree01"	false
"prop_field_fallen_pine_tree02"	false
"prop_field_fallen_pine_tree03"	false
"prop_field_fire_pit"	false
"prop_field_haybale"	false
"prop_field_haybale_bundle01"	false
"prop_field_haybale_bundle02"	false
"prop_field_haybale_bundle03"	false
"prop_field_haysheaf"	false
"prop_field_log_pile01"	false
"prop_field_log_pile02"	false
"prop_field_log_pile03"	false
"prop_field_stepladder"	false
"prop_field_tent_large"	false
"prop_field_tent_med"	false
"prop_field_tent_small"	false
"prop_field_treestump"	false
"prop_field_trough"	false
"prop_field_wagon_covered"	false
"prop_field_wagon_uncovered"	false
"prop_field_wheat_bundle"	false
"prop_field_wheelbarrow"	false
