version 2, schema battles_tables
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)	unknown12(optstring)	unknown13(int)
"caribbean"	"naval"	true	"BattleTerrain/Presets/caribbean/"	nil	false	4	4	true	true	true	nil	0
"indian_artillery_fort"	"siege"	false	"BattleTerrain/Presets/indian_artillery_fort/"	nil	false	4	4	false	true	true	nil	0
"indian_great_fortress"	"siege"	false	"BattleTerrain/Presets/indian_great_fortress/"	nil	false	4	4	false	true	true	nil	0
"NAP_MP_Amazon"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Amazon/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Canyon"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Canyon_[SA]/"	nil	false	2	2	false	true	true	nil	0
"NAP_MP_Coastal_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Coastal_[SA]/"	nil	false	2	2	false	true	true	nil	0
"NAP_MP_Dry_Heat"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Dry_Heat/"	nil	false	2	2	true	true	false	nil	0
"NAP_MP_Farmstead"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Farmstead_[SA]/"	nil	false	4	4	false	true	true	nil	0
"NAP_MP_Five_Hills_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Five_Hills_[SA]/"	nil	false	4	4	false	true	true	nil	0
"NAP_MP_Gorge"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Gorge_[SA]/"	nil	false	1	1	false	true	true	nil	0
"NAP_MP_Grassy_Flatlands"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Grassy_Flatlands/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Great_Plains"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Great_Plains/"	nil	false	4	4	false	true	true	nil	0
"NAP_MP_Homestead"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Homestead/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Icelandic_Pinnacles"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Icelandic_Pinnacles/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Island_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Island_[SA]/"	nil	false	2	2	false	true	true	nil	0
"NAP_MP_Italian_Grassland"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Italian_Grassland/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Lakeside_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Lakeside_[SA]/"	nil	false	2	2	true	true	true	nil	0
"NAP_MP_Mountain"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Mountain/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Prussian_Hills"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Prussian_Hills/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_River_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_River_[SA]/"	nil	false	2	2	false	true	true	nil	0
"NAP_MP_Siberian_Plateau"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Siberian_Plateau/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Sunken_Crater"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Sunken_Crater/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Syrian_Ridge"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Syrian_Ridge/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Twin_Hills_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Twin_Hills_[SA]/"	nil	false	4	4	false	true	true	nil	0
"NAP_MP_Valley_[SA]"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Valley_[SA]/"	nil	false	4	4	true	true	true	nil	0
"NAP_MP_Yin_Yang"	"classic"	false	"BattleTerrain/Presets/NAP_MP_Yin_Yang/"	nil	false	4	4	true	true	true	nil	0
"NCAMP_Waterloo"	"campaign_battle"	false	"Napoleon_Historical_Battles/Waterloo_Campaign/Waterloo_Battle.xml"	nil	false	1	1	true	false	true	nil	1815
"NHB_Arcole"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Arcole/Arcole_Battle.xml"	"BattleTerrain/Presets/HB_Arcole/screenshot_small.tga"	false	1	1	true	false	true	"NHB_01_Arcole.bik"	1796
"NHB_Austerlitz"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Austerlitz/Austerlitz_Battle.xml"	"BattleTerrain/Presets/HB_Austerlitz/screenshot_small.tga"	false	1	1	true	false	true	"NHB_04_Austerlitz.bik"	1805
