version 1, schema battles_to_battle_sky_types_junctions_tables
unknown1(string)	unknown2(string)
"caribbean"	"sc_mediterranean_day_clear_3_dry_summer"
"caribbean"	"sc_mediterranean_day_overcast_1_dry_summer"
"caribbean"	"sc_mediterranean_day_overcast_1_light_rain_summer"
"caribbean"	"sc_mediterranean_day_overcast_2_dry_summer"
"caribbean"	"sc_mediterranean_day_overcast_3_heavy_rain_summer"
"caribbean"	"sc_mediterranean_day_storm_1_torrential_rain_summer"
"caribbean"	"sc_mediterranean_evening_clear_3_dry_summer"
"caribbean"	"sc_mediterranean_evening_overcast_3_light_rain_summer"
"indian_artillery_fort"	"day_clear_1_dry_summer"
"indian_artillery_fort"	"day_overcast_1_dry_summer"
"indian_artillery_fort"	"day_overcast_1_heavy_rain_summer"
"indian_artillery_fort"	"day_overcast_1_light_rain_summer"
"indian_artillery_fort"	"day_storm_1_torrential_rain_summer"
"indian_artillery_fort"	"evening_clear_1_dry_summer"
"indian_artillery_fort"	"evening_overcast_3_dry_summer"
"indian_artillery_fort"	"evening_overcast_3_heavy_rain_summer"
"indian_artillery_fort"	"evening_overcast_3_light_rain_summer"
"indian_artillery_fort"	"evening_storm_1_torrential_rain_summer"
"indian_artillery_fort"	"morning_clear_1_dry_summer"
"indian_artillery_fort"	"morning_overcast_3_dry_summer"
"indian_artillery_fort"	"morning_overcast_3_heavy_rain_summer"
"indian_artillery_fort"	"morning_overcast_3_light_rain_summer"
"indian_artillery_fort"	"morning_storm_1_torrential_rain_summer"
"indian_great_fortress"	"day_clear_1_dry_summer"
"indian_great_fortress"	"day_overcast_1_dry_summer"
"indian_great_fortress"	"day_overcast_1_heavy_rain_summer"
"indian_great_fortress"	"day_overcast_1_light_rain_summer"
"indian_great_fortress"	"day_storm_1_torrential_rain_summer"
"indian_great_fortress"	"evening_clear_1_dry_summer"
"indian_great_fortress"	"evening_overcast_3_dry_summer"
"indian_great_fortress"	"evening_overcast_3_heavy_rain_summer"
"indian_great_fortress"	"evening_overcast_3_light_rain_summer"
"indian_great_fortress"	"evening_storm_1_torrential_rain_summer"
