version 1, schema building_chain_to_slots_tables
Building_Chain_IDRef(string)	Slot_Type(string)
"fFort"	"fort"
"pNavy"	"port"
"pNavyTutorial"	"port"
"pTrade"	"port"
"pTradeTutorial"	"port"
"rFarm"	"wheat"
"rGold"	"gold"
"rHorse"	"horses"
"rIron"	"iron"
"rIronTutorial"	"iron"
"rTimber"	"timber"
"rWine"	"wine"
"sAdmin"	"settlement"
"sAdmin"	"settlement_1_slot"
"sAdmin"	"settlement_2_slot"
"sAdmin"	"settlement_3_slot"
"sAdmin"	"settlement_4_slot"
"sArmy"	"settlement"
"sArmy"	"settlement_1_slot"
"sArmy"	"settlement_2_slot"
"sArmy"	"settlement_3_slot"
"sArmy"	"settlement_4_slot"
"sArmyTutorial"	"settlement"
"sArmyTutorial"	"settlement_2_slot"
"sArmyTutorial"	"settlement_3_slot"
"sArmyTutorial"	"settlement_4_slot"
"sCannon"	"settlement"
"sCannon"	"settlement_1_slot"
"sCannon"	"settlement_2_slot"
"sCannon"	"settlement_3_slot"
"sCannon"	"settlement_4_slot"
"sCannonTutorial"	"settlement"
"sCannonTutorial"	"settlement_2_slot"
"sCannonTutorial"	"settlement_3_slot"
"sCannonTutorial"	"settlement_4_slot"
"sCulture"	"settlement"
"sCulture"	"settlement_1_slot"
"sCulture"	"settlement_2_slot"
"sCulture"	"settlement_3_slot"
"sCulture"	"settlement_4_slot"
"sCultureTutorial"	"settlement"
"sCultureTutorial"	"settlement_3_slot"
"sCultureTutorial"	"settlement_4_slot"
"sFortifications"	"settlement"
"sFortifications"	"settlement_fortification"
"sPrestige_Austria"	"settlement_prestige"
"sPrestige_Britain"	"settlement_prestige"
"sPrestige_France"	"settlement_prestige"
"sPrestige_Prussia"	"settlement_prestige"
"sPrestige_Russia"	"settlement_prestige"
"sRoads"	"settlement"
"sRoads"	"settlement_road"
"tCommerce"	"town-commercial"
"tEducation"	"town-intellectual"
"tEducationTutorial"	"town-intellectual"
"tFactory"	"town-industrial"
"tGuns"	"town-industrial"
"tGunsTutorial"	"town-industrial"
"tSecret"	"town-intellectual"
"tSupply"	"town-commercial"
"tReligionSpain"	"town-intellectual"
"sArmySpain"	"settlement"
"sArmySpain"	"settlement_1_slot"
"sArmySpain"	"settlement_2_slot"
"sArmySpain"	"settlement_3_slot"
"sArmySpain"	"settlement_4_slot"
"tSecretSpain"	"town-intellectual"
"pSupplySpain"	"port"
"tEducationSpain"	"town-intellectual"
"sAdminSpain"	"settlement"
"sAdminSpain"	"settlement_1_slot"
"sAdminSpain"	"settlement_2_slot"
"sAdminSpain"	"settlement_3_slot"
"sAdminSpain"	"settlement_4_slot"
"tFactorySpain"	"town-industrial"
"pNavySpain"	"port"
"tSupplySpain"	"town-commercial"
"tGunsSpain"	"town-industrial"
"tCommerceSpain"	"town-commercial"
"rTimberSpain"	"timber"
"rIronSpain"	"iron"
"rGoldSpain"	"gold"
