version 1, schema building_faction_variants_tables
Building_IDRef(string)	Faction(string)	Campaign_Map_Model(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"sAdmin5_court_supreme"	"austria"	"EU_sAdmin5_court_supreme"	"sAdmin5_court_supreme_european"	"EU_sAdmin5_court_supreme"
"sAdmin5_court_supreme"	"britain"	"EU_sAdmin5_court_supreme"	"sAdmin5_court_supreme_european"	"EU_sAdmin5_court_supreme"
"sAdmin5_court_supreme"	"france"	"EU_sAdmin5_court_supreme"	"sAdmin5_court_supreme_european"	"EU_sAdmin5_court_supreme"
"sAdmin5_court_supreme"	"prussia"	"EU_sAdmin5_court_supreme"	"sAdmin5_court_supreme_european"	"EU_sAdmin5_court_supreme"
"sAdmin5_court_supreme"	"russia"	"EU_sAdmin5_court_supreme"	"sAdmin5_court_supreme_european"	"EU_sAdmin5_court_supreme"
"sArmy5_staff_college"	"austria"	"EU_sArmy5_staff_college"	"sArmy5_staff_college_european"	"EU_sArmy5_staff_college"
"sArmy5_staff_college"	"britain"	"EU_sArmy5_staff_college"	"sArmy5_staff_college_european"	"EU_sArmy5_staff_college"
"sArmy5_staff_college"	"france"	"EU_sArmy5_staff_college"	"sArmy5_staff_college_european"	"EU_sArmy5_staff_college"
"sArmy5_staff_college"	"prussia"	"EU_sArmy5_staff_college"	"sArmy5_staff_college_european"	"EU_sArmy5_staff_college"
"sArmy5_staff_college"	"russia"	"EU_sArmy5_staff_college"	"sArmy5_staff_college_european"	"EU_sArmy5_staff_college"
"sCannon5_engineer_school"	"austria"	"EU_sCannon5_engineer_school"	"sCannon5_engineer_school_european"	"EU_sCannon5_engineer_school"
"sCannon5_engineer_school"	"britain"	"EU_sCannon5_engineer_school"	"sCannon5_engineer_school_european"	"EU_sCannon5_engineer_school"
"sCannon5_engineer_school"	"france"	"EU_sCannon5_engineer_school"	"sCannon5_engineer_school_european"	"EU_sCannon5_engineer_school"
"sCannon5_engineer_school"	"prussia"	"EU_sCannon5_engineer_school"	"sCannon5_engineer_school_european"	"EU_sCannon5_engineer_school"
"sCannon5_engineer_school"	"russia"	"EU_sCannon5_engineer_school"	"sCannon5_engineer_school_european"	"EU_sCannon5_engineer_school"
"sCulture5_austria_theatrewien"	"austria"	"sPrest_austria_theatrewein"	"sCulture5_Austrian_Theater"	"sPrest_austria_theatrewein"
"sCulture5_britain_nationalgallery"	"britain"	"sPrest_britain_nationalgallery"	"sCulture5_British_National_Gallery"	"sPrest_britain_nationalgallery"
"sCulture5_france_museenapoleon"	"france"	"sPrest_france_museenapoleon"	"sCulture5_French_Musée_Napoléon"	"sPrest_france_museenapoleon"
