version 1, schema building_upgrades_junction_tables
Building_IDRef(string)	Upgrade(string)
"fFort1_wooden_artillery_fort"	"fFort2_western_artillery_fort"
"fFort2_western_artillery_fort"	"fFort3_star_fort"
"pNavy1_shipyard"	"pNavy2_dockyard"
"pNavy2_dockyard"	"pNavy3_steam_drydock"
"pTrade1_trading_port"	"pTrade2_commercial_port"
"pTrade2_commercial_port"	"pTrade3_trading_company"
"rFarm1_farms"	"rFarm2_clearances"
"rFarm2_clearances"	"rFarm3_great_estates"
"rGold1_gold_mine"	"rGold2_steam-pumped_gold_mine"
"rGold2_steam-pumped_gold_mine"	"rGold3_industrial_gold_mining_complex"
"rHorse1_stables"	"rHorse2_stud_farm"
"rHorse2_stud_farm"	"rHorse3_equestrian_estate"
"rIron1_iron_mine"	"rIron2_steam-pumped_iron_mine"
"rIron2_steam-pumped_iron_mine"	"rIron3_industrial_iron_mining_complex"
"rIronTutorial1_iron_mine"	"rIronTutorial2_steam-pumped_iron_mine"
"rIronTutorial2_steam-pumped_iron_mine"	"rIronTutorial3_industrial_iron_mining_complex"
"rTimber1_timber_logging_camp"	"rTimber2_timber_lumber_mill"
"rTimber2_timber_lumber_mill"	"rTimber3_steam_powered_sawmill"
"rWine1_vineyards"	"rWine2_winery"
"rWine2_winery"	"rWine3_wine_estates"
"sAdmin1_tax_office"	"sAdmin2_magistrate"
"sAdmin2_magistrate"	"sAdmin3_court_justice"
"sAdmin3_court_justice"	"sAdmin4_court_appeals"
"sAdmin4_court_appeals"	"sAdmin5_court_supreme"
"sArmy1_cantonment"	"sArmy2_barracks"
"sArmy2_barracks"	"sArmy3_drill_school"
"sArmy3_drill_school"	"sArmy4_military_academy"
"sArmy4_military_academy"	"sArmy5_staff_college"
"sCannon1_cannon_foundry"	"sCannon2_ordnance_factory"
"sCannon2_ordnance_factory"	"sCannon3_great_arsenal"
"sCannon3_great_arsenal"	"sCannon4_ordnance_board"
"sCannon4_ordnance_board"	"sCannon5_engineer_school"
"sCulture1_Theatre"	"sCulture2_opera_house"
"sCulture1Tutorial_Theatre"	"sCulture2Tutorial_opera_house"
"sCulture2_opera_house"	"sCulture3_grand_opera_house"
"sCulture3_grand_opera_house"	"sCulture4_great_museum"
"sCulture4_great_museum"	"sCulture5_austria_theatrewien"
"sCulture4_great_museum"	"sCulture5_britain_nationalgallery"
"sCulture4_great_museum"	"sCulture5_france_museenapoleon"
"sCulture4_great_museum"	"sCulture5_prussia_humboldt"
"sCulture4_great_museum"	"sCulture5_russia_kremlinarmoury"
"sFortifications1_settlement_fortifications"	"sFortifications2_improved_settlement_fort"
"sRoads1_basic_roads"	"sRoads2_improved_roads"
"sRoads2_improved_roads"	"sRoads3_tarmac_roads"
"tCommerce1_market"	"tCommerce2_merchant_house"
"tCommerce2_merchant_house"	"tCommerce3_banking_house"
"tEducation1_college"	"tEducation2_university"
"tEducation2_university"	"tEducation3_enlightened_university"
"tFactory1_manufactory"	"tFactory2_factory"
"tFactory2_factory"	"tFactory3_steam_powered_factory"
"tGuns1_gunsmith"	"tGuns2_musket_manufactury"
"tGuns2_musket_manufactury"	"tGuns3_small_arms_factory"
"tGunsTutorial1_gunsmith"	"tGunsTutorial2_musket_manufactury"
"tSecret1_gentlemens_club"	"tSecret2_secret_society"
"tSecret2_secret_society"	"tSecret3_masonic_lodge"
"tSupply1_supply_post"	"tSupply2_supply_warehouse"
"tSupply2_supply_warehouse"	"tSupply3_supply_depot"
"sArmySpain1_cantonment"	"sArmySpain2_barracks"
"sArmySpain2_barracks"	"sArmySpain3_drill_school"
"sArmySpain3_drill_school"	"sArmySpain4_military_academy"
"sArmySpain4_military_academy"	"sArmySpain5_staff_college"
"tSecretSpain1_gentlemens_club"	"tSecretSpain2_secret_society"
"tSecretSpain2_secret_society"	"tSecretSpain3_masonic_lodge"
"pSupplySpain1_supply_port"	"pSupplySpain2_military_supply_port"
"pSupplySpain2_military_supply_port"	"pSupplySpain3_military_port_complex"
"tEducationSpain1_college"	"tEducationSpain2_university"
"tEducationSpain2_university"	"tEducationSpain3_enlightened_university"
"tReligionSpain1_chapel"	"tReligionSpain2_church"
"tReligionSpain2_church"	"tReligionSpain3_cathedral"
"sAdminSpain1_tax_office"	"sAdminSpain2_magistrate"
"sAdminSpain2_magistrate"	"sAdminSpain3_court_justice"
"sAdminSpain3_court_justice"	"sAdminSpain4_court_appeals"
"sAdminSpain4_court_appeals"	"sAdminSpain5_court_supreme"
"tFactorySpain1_manufactory"	"tFactorySpain2_factory"
"tFactorySpain2_factory"	"tFactorySpain3_steam_powered_factory"
"pNavySpain2_dockyard"	"pNavySpain3_steam_drydock"
"tSupplySpain2_supply_warehouse"	"tSupplySpain3_supply_depot"
"tGunsSpain2_musket_manufactury"	"tGunsSpain3_small_arms_factory"
"tCommerceSpain1_market"	"tCommerceSpain2_merchant_house"
"tCommerceSpain2_merchant_house"	"tCommerceSpain3_banking_house"
"rTimberSpain2_timber_lumber_mill"	"rTimberSpain3_steam_powered_sawmill"
"rGoldSpain1_gold_mine"	"rGoldSpain2_steam-pumped_gold_mine"
"rGoldSpain2_steam-pumped_gold_mine"	"rGoldSpain3_industrial_gold_mining_complex"
