version 2, schema campaign_ground_types_tables
Ground_ID(string)	unknown1(float)	unknown2(boolean)	unknown4(boolean)	unknown5(boolean)
"dense_forest"	0	false	false	false
"desert"	0.6	false	true	false
"grassland"	0.9	false	false	false
"hills"	0.6	false	false	false
"hilly_light_forest"	0.4	true	false	false
"jungle"	0	false	false	false
"light_forest"	0.5	true	false	false
"marsh"	0.4	false	false	false
"plains"	1.3	false	false	false
"swamp"	0.2	false	false	false
"tundra"	0.8	false	false	false
"grassland_cold_att"	0.9	false	false	true
"hills_cold_att"	0.6	false	false	true
"hilly_light_forest_cold_att"	0.4	true	false	true
"light_forest_cold_att"	0.5	true	false	true
"Marsh_cold_att"	0.4	false	false	true
"Plains_cold_att"	1.3	false	false	true
"Swamp_cold_att"	0.2	false	false	true
"Tundra_cold_att"	0.8	false	false	true
