version 1, schema campaigns_campaign_variables_junctions_tables
unknown1(string)	unknown2(string)	unknown3(float)
"character_recruitment_max_distance"	"egy_napoleon"	340
"character_recruitment_max_distance"	"eur_napoleon"	550
"character_recruitment_max_distance"	"ita_napoleon"	340
"character_recruitment_max_distance"	"mp_egy_napoleon"	340
"character_recruitment_max_distance"	"mp_eur_napoleon"	550
"character_recruitment_max_distance"	"mp_ita_napoleon"	340
"character_recruitment_max_distance"	"spa_napoleon"	680
"character_recruitment_max_distance"	"tut_napoleon"	680
"faction_gdp_other"	"egy_napoleon"	3000
"faction_gdp_other"	"eur_napoleon"	1700
"faction_gdp_other"	"ita_napoleon"	3000
"faction_gdp_other"	"mp_egy_napoleon"	3000
"faction_gdp_other"	"mp_eur_napoleon"	1700
"faction_gdp_other"	"mp_ita_napoleon"	3000
"faction_gdp_other"	"tut_napoleon"	750
"faction_gdp_other_minor"	"egy_napoleon"	3000
"faction_gdp_other_minor"	"eur_napoleon"	2000
"faction_gdp_other_minor"	"ita_napoleon"	4000
"faction_gdp_other_minor"	"mp_egy_napoleon"	3000
"faction_gdp_other_minor"	"mp_eur_napoleon"	1700
"faction_gdp_other_minor"	"mp_ita_napoleon"	4000
"faction_gdp_other"	"spa_napoleon"	500
"gentleman_happiness_divisor"	"spa_napoleon"	1
"gentleman_happiness_negative_limit"	"spa_napoleon"	-15
"gentleman_happiness_positive_limit"	"spa_napoleon"	15
