version 1, schema cdir_faction_junctions_tables
unknown1(string)	unknown2(optstring)
"all"	nil
"austria"	"austria"
"austrian_rebels"	"austrian_rebels"
"bavaria"	"bavaria"
"belgium"	"belgium"
"britain"	"britain"
"british_rebels"	"british_rebels"
"brittany"	"brittany"
"catalonia"	"catalonia"
"cossack_rebels"	"cossack_rebels"
"courland"	"courland"
"crimean_khanate"	"crimean_khanate"
"denmark"	"denmark"
"dutch_rebels"	"dutch_rebels"
"egy_bedouin"	"egy_bedouin"
"egy_britain"	"egy_britain"
"egy_french_republic"	"egy_french_republic"
"egy_mamelukes"	"egy_mamelukes"
"egy_ottomans"	"egy_ottomans"
"france"	"france"
"french_rebels"	"french_rebels"
"greece"	"greece"
"greek_rebels"	"greek_rebels"
"hannover"	"hannover"
"hessen"	"hessen"
"hungary"	"hungary"
"ireland"	"ireland"
"ita_austrian_alliance"	"ita_austrian_alliance"
"ita_french_republic"	"ita_french_republic"
"ita_genoa"	"ita_genoa"
"ita_lucca"	"ita_lucca"
"ita_milan"	"ita_milan"
"ita_modena"	"ita_modena"
"ita_papal_states"	"ita_papal_states"
"ita_parma"	"ita_parma"
"ita_piedmont"	"ita_piedmont"
"ita_trent"	"ita_trent"
"ita_tuscany"	"ita_tuscany"
"ita_venice"	"ita_venice"
"italian_rebels"	"italian_rebels"
"italy"	"italy"
"italy_kingdom"	"italy_kingdom"
"mecklenburg"	"mecklenburg"
"naples"	"naples"
"netherlands"	"netherlands"
"norway"	"norway"
"oldenburg"	"oldenburg"
"ottoman_rebels"	"ottoman_rebels"
"ottomans"	"ottomans"
"piedmont_savoy"	"piedmont_savoy"
"poland_lithuania"	"poland_lithuania"
"portugal"	"portugal"
"portugese_rebels"	"portugese_rebels"
"prussia"	"prussia"
"prussian_rebels"	"prussian_rebels"
"romania"	"romania"
"russia"	"russia"
"sardinia"	"sardinia"
"saxony"	"saxony"
"scandinavian_rebels"	"scandinavian_rebels"
"scotland"	"scotland"
"sicily"	"sicily"
"slavic_rebels"	"slavic_rebels"
"spa_britain"	"spa_britain"
"spa_france"	"spa_france"
"spa_portugal"	"spa_portugal"
"spa_spain"	"spa_spain"
"spain"	"spain"
"spanish_rebels"	"spanish_rebels"
"sweden"	"sweden"
"swiss_confederation"	"swiss_confederation"
"tut_britain"	"tut_britain"
"tut_france"	"tut_france"
"tut_sardinia"	"tut_sardinia"
"tut_swiss_confederation"	"tut_swiss_confederation"
"united_netherlands"	"united_netherlands"
"westphalia"	"westphalia"
"wurttemberg"	"wurttemberg"
