version 1, schema cdir_unit_qualities_tables
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(int)
"default"	"artillery"	"Art_Fix_Austrian_Rocket_Troop"	800
"default"	"artillery"	"Art_Fix_British_Rocket_Troop"	800
"default"	"artillery"	"Art_Fix_French_Rocket_Troop"	800
"default"	"artillery"	"Art_Fix_Ottoman_Bombardment_Mortars"	800
"default"	"artillery"	"Art_Fix_Prussian_Rocket_Troop"	800
"default"	"artillery"	"Art_Fix_Russian_Rocket_Troop"	800
"default"	"artillery"	"Art_Foot_12_lber"	700
"default"	"artillery"	"Art_Foot_6_lber"	500
"default"	"artillery"	"Art_Foot_7_lber_Howitzer"	600
"default"	"artillery"	"Art_Foot_Austrian_12_lber"	700
"default"	"artillery"	"Art_Foot_Austrian_6_lber"	500
"default"	"artillery"	"Art_Foot_Austrian_7_lber_Howitzer"	600
"default"	"artillery"	"Art_Foot_Austrian_Experimental_Howitzer"	200
"default"	"artillery"	"Art_Foot_British_5_In_Howitzer"	600
"default"	"artillery"	"Art_Foot_British_6_lber"	500
"default"	"artillery"	"Art_Foot_British_9_lber"	700
"default"	"artillery"	"Art_Foot_British_Experimental_Howitzer"	200
"default"	"artillery"	"Art_Foot_French_12_lber"	700
"default"	"artillery"	"Art_Foot_French_6_In_Howitzer"	600
"default"	"artillery"	"Art_Foot_French_6_lber"	500
"default"	"artillery"	"Art_Foot_French_8_lber"	600
"default"	"artillery"	"Art_Foot_French_Artillerie_a_Pied"	800
"default"	"artillery"	"Art_Foot_French_Experimental_Howitzer"	200
"default"	"artillery"	"Art_Foot_French_Tutorial_6_lber"	500
"default"	"artillery"	"Art_Foot_Grand_Battery_Convention"	900
"default"	"artillery"	"Art_Foot_Italian_Guard_Foot_Artillery"	800
"default"	"artillery"	"Art_Foot_Ottoman_18_lber"	700
"default"	"artillery"	"Art_Foot_Ottoman_9_lber"	500
"default"	"artillery"	"Art_Foot_Ottoman_Howitzers"	600
"default"	"artillery"	"Art_Foot_Portuguese_12_lber"	700
"default"	"artillery"	"Art_Foot_Portuguese_6_lber"	500
"default"	"artillery"	"Art_Foot_Portuguese_9_lber"	600
"default"	"artillery"	"Art_Foot_Prussian_12_lber"	700
"default"	"artillery"	"Art_Foot_Prussian_6_lber"	500
"default"	"artillery"	"Art_Foot_Prussian_7_lber_Howitzer"	600
"default"	"artillery"	"Art_Foot_Prussian_Experimental_Howitzer"	200
"default"	"artillery"	"Art_Foot_Russian_10_lber_Unicorn"	600
"default"	"artillery"	"Art_Foot_Russian_12_lber"	700
"default"	"artillery"	"Art_Foot_Russian_20_lber_Unicorn"	700
"default"	"artillery"	"Art_Foot_Russian_6_lber"	500
"default"	"artillery"	"Art_Foot_Russian_Experimental_Howitzer"	200
"default"	"artillery"	"Art_Foot_Spanish_12_lber"	700
"default"	"artillery"	"Art_Foot_Spanish_9_lber"	500
"default"	"artillery"	"Art_Horse_6_lber"	600
"default"	"artillery"	"Art_Horse_British_6_lber"	600
"default"	"artillery"	"Art_Horse_French_6_lber"	600
"default"	"artillery"	"Art_Horse_French_Artillerie_a_Cheval"	800
