version 1, schema character_trait_levels_tables
Trait_Level_ID(string)	Level(int)	Trait_IDRef(string)	Threshold(int)
"C_Admiral_Attack_Bad_1"	1	"C_Admiral_Attacker_Bad"	4
"C_Admiral_Attack_Bad_2"	2	"C_Admiral_Attacker_Bad"	8
"C_Admiral_Attack_Bad_3"	3	"C_Admiral_Attacker_Bad"	16
"C_Admiral_Attack_Good_1"	1	"C_Admiral_Attacker_Good"	3
"C_Admiral_Attack_Good_2"	2	"C_Admiral_Attacker_Good"	6
"C_Admiral_Attack_Good_3"	3	"C_Admiral_Attacker_Good"	12
"C_Admiral_Attack_Good_4"	4	"C_Admiral_Attacker_Good"	18
"C_Admiral_Attack_Good_5"	5	"C_Admiral_Attacker_Good"	24
"C_Admiral_Bad_1"	1	"C_Admiral_Bad"	3
"C_Admiral_Bad_2"	2	"C_Admiral_Bad"	6
"C_Admiral_Bad_3"	3	"C_Admiral_Bad"	12
"C_Admiral_Bad_4"	4	"C_Admiral_Bad"	24
"C_Admiral_Bad_5"	5	"C_Admiral_Bad"	36
"C_Admiral_Blockade_Runner_1"	1	"C_Admiral_Blockade_Runner_Good"	3
"C_Admiral_Blockade_Runner_2"	2	"C_Admiral_Blockade_Runner_Good"	6
"C_Admiral_Blockade_Runner_3"	3	"C_Admiral_Blockade_Runner_Good"	12
"C_Admiral_Blockader_Good_1"	1	"C_Admiral_Blockader_Good"	3
"C_Admiral_Blockader_Good_2"	2	"C_Admiral_Blockader_Good"	6
"C_Admiral_Blockader_Good_3"	3	"C_Admiral_Blockader_Good"	12
"C_Admiral_Boring_Speaker_1"	1	"C_Admiral_Boring_Speaker"	4
"C_Admiral_Boring_Speaker_2"	2	"C_Admiral_Boring_Speaker"	6
"C_Admiral_Born_Sailor_1"	1	"C_Admiral_Born_Sailor"	1
"C_Admiral_Born_Sailor_2"	2	"C_Admiral_Born_Sailor"	3
"C_Admiral_Born_Sailor_3"	3	"C_Admiral_Born_Sailor"	6
"C_Admiral_Brave_1"	1	"C_Admiral_Brave"	1
"C_Admiral_Brave_2"	2	"C_Admiral_Brave"	2
"C_Admiral_Brave_3"	3	"C_Admiral_Brave"	4
"C_Admiral_Brave_4"	4	"C_Admiral_Brave"	8
"C_Admiral_Brave_5"	5	"C_Admiral_Brave"	16
