version 1, schema climates_tables
Climate_ID(string)	Value(int)	unknown_x0020__x0028_difference_x0020_between_x0020_land_x0020_and_x0020_sea_x0020_climate_x0020__x0028__x003F__x0029_(int)	unknown4(int)	unknown5(boolean)
"lc_am_desert"	15	400	600	true
"lc_am_great_plains"	18	400	600	true
"lc_am_jungle"	20	400	600	true
"lc_am_s_arid"	21	400	600	true
"lc_am_se_usa"	16	400	600	true
"lc_am_tropical_humid"	13	400	600	true
"lc_am_us_central"	32	400	600	true
"lc_am_us_east"	17	400	600	true
"lc_as_temp_humid"	9	400	600	true
"lc_as_temp_s_arid"	10	400	600	true
"lc_as_trop_humid"	7	400	600	true
"lc_as_trop_s_arid"	5	400	600	true
"lc_boreal"	1	400	600	true
"lc_desert"	6	400	600	true
"lc_eu_central_humid"	14	400	600	true
"lc_eu_north_humid"	19	400	600	true
"lc_eu_north_s_arid"	12	400	600	true
"lc_eu_south_humid"	3	400	600	true
"lc_eu_south_s_arid"	2	400	600	true
"lc_mediterranean"	4	400	600	true
"lc_sand_desert"	11	400	600	true
"lc_steppe"	8	400	600	true
"lc_tundra"	0	400	600	true
"sc_arctic"	22	1000	2000	false
"sc_arctic_coast"	27	1000	2000	false
"sc_lake"	31	1000	2000	false
"sc_mediterranean"	26	1000	2000	false
"sc_subtropic"	24	1000	2000	false
"sc_subtropic_coast"	29	1000	2000	false
"sc_temperate"	23	1000	2000	false
"sc_temperate_coast"	28	1000	2000	false
"sc_tropic"	25	1000	2000	false
"sc_tropic_coast"	30	1000	2000	false
