version 1, schema diplomacy_negotiation_faction_override_strings_tables
Diplomatic_string_ID(string)	culture(string)	Government_system(string)	faction(string)	government_system_of_faction(string)
"accept_friendly"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_accept_friendly"
"accept_friendly"	"egy_european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_accept_friendly"
"accept_friendly"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_accept_friendly"
"accept_friendly"	"egy_european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_accept_friendly"
"accept_friendly"	"egy_european"	"gov_republic"	"austria"	"austria_republic_accept_friendly"
"accept_friendly"	"egy_european"	"gov_republic"	"britain"	"britain_republic_accept_friendly"
"accept_friendly"	"egy_european"	"gov_republic"	"spain"	"spain_republic_accept_friendly"
"accept_friendly"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"austria"	"austria_republic_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"britain"	"britain_republic_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"spain"	"spain_republic_accept_friendly"
"accept_hostile"	"egy_european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_accept_hostile"
"accept_hostile"	"egy_european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_accept_hostile"
"accept_hostile"	"egy_european"	"gov_republic"	"russia"	"russia_republic_accept_hostile"
"accept_hostile"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_republic"	"russia"	"russia_republic_accept_hostile"
"accept_very_friendly"	"egy_european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_accept_very_friendly"
"accept_very_friendly"	"egy_european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_accept_very_friendly"
"accept_very_friendly"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_accept_very_friendly"
"accept_very_friendly"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_accept_very_friendly"
"acknowledge_accept"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_accept"
"acknowledge_accept"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_accept"
"acknowledge_accept"	"egy_european"	"gov_republic"	"austria"	"austria_republic_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_republic"	"austria"	"austria_republic_acknowledge_accept"
"acknowledge_cancel_alliance"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_republic"	"austria"	"austria_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_republic"	"spain"	"spain_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"austria"	"austria_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"spain"	"spain_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_military_access"	"egy_european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_european"	"gov_republic"	"prussia"	"prussia_republic_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_republic"	"prussia"	"prussia_republic_acknowledge_cancel_military_access"
"acknowledge_counter_accept"	"egy_european"	"gov_absolute_monarchy"	"france"	"france_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_european"	"gov_republic"	"france"	"france_republic_acknowledge_counter_accept"
