version 1, schema diplomatic_relations_government_type_tables
government_category(string)	government_category_2(string)	unknown3(int)	unknown4(int)
"gov_absolute_monarchy"	"gov_absolute_monarchy"	50	15
"gov_absolute_monarchy"	"gov_constitutional_monarchy"	-50	-10
"gov_absolute_monarchy"	"gov_republic"	-100	-30
"gov_constitutional_monarchy"	"gov_absolute_monarchy"	-40	-10
"gov_constitutional_monarchy"	"gov_constitutional_monarchy"	50	10
"gov_constitutional_monarchy"	"gov_republic"	-50	-15
"gov_republic"	"gov_absolute_monarchy"	-140	-25
"gov_republic"	"gov_constitutional_monarchy"	-40	-15
"gov_republic"	"gov_republic"	70	30
"gov_absolute_monarchy"	"gov_empire"	0	0
"gov_constitutional_monarchy"	"gov_empire"	0	0
"gov_empire"	"gov_empire"	0	0
"gov_republic"	"gov_empire"	0	0
"gov_empire"	"gov_absolute_monarchy"	0	0
"gov_empire"	"gov_constitutional_monarchy"	0	0
"gov_empire"	"gov_republic"	0	0
