version 1, schema effect_bonus_value_religion_junction_tables
unknown1(string)	Bonus_effect(string)	Religion_ID(string)
"conversion_animist"	"conversion"	"rel_animist"
"conversion_buddhist"	"conversion"	"rel_buddhist"
"conversion_catholic"	"conversion"	"rel_catholic"
"conversion_hindu"	"conversion"	"rel_hindu"
"conversion_islamic"	"conversion"	"rel_islamic"
"conversion_orthodox"	"conversion"	"rel_orthodox"
"conversion_protestant"	"conversion"	"rel_protestant"
"conversion_sikh"	"conversion"	"rel_sikh"
"conversion_anti_french"	"conversion"	"align_anti_french"
"conversion_pro_french"	"conversion"	"align_pro_french"
"conversion_anti_french_global"	"conversion"	"align_anti_french"
"conversion_pro_french_global"	"conversion"	"align_pro_french"
