version 1, schema effect_bonus_value_resource_junction_tables
effect_id(string)	Bonus_effect_ID(string)	Resource_category(string)
"resource_prod_corn"	"production"	"res_corn"
"resource_prod_fish"	"production"	"res_fish"
"resource_prod_gems"	"production"	"res_gems"
"resource_prod_gold"	"production"	"res_gold"
"resource_prod_iron"	"production"	"res_iron"
"resource_prod_rice"	"production"	"res_rice"
"resource_prod_sheep"	"production"	"res_sheep"
"resource_prod_silver"	"production"	"res_silver"
"resource_prod_timber"	"production"	"res_timber"
"resource_prod_wheat"	"production"	"res_wheat"
"resource_prod_wine"	"production"	"res_wine"
