version 1, schema faction_rebellion_units_junctions_tables
faction_id(string)	unit_id(string)
"austria"	"Art_Foot_Austrian_12_lber"
"austria"	"Art_Foot_Austrian_6_lber"
"austria"	"Cav_Heavy_Austrian_Dragoons"
"austria"	"Cav_Lancer_Austrian_Ulans"
"austria"	"Cav_Light_Austrian_Hungarian_Hussars"
"austria"	"Cav_Stand_Austrian_Chevauxlegers"
"austria"	"Inf_Light_Austrian_Grenzers"
"austria"	"Inf_Line_Austrian_German_Fusiliers"
"austria"	"Inf_Line_Austrian_Hungarian_Fusiliers"
"austria"	"Inf_Militia_Austrian_Landesschutzen"
"austria"	"Inf_Militia_Austrian_Landwehr"
"austria"	"Inf_Skirm_Austrian_Jager"
"austrian_rebels"	"Art_Foot_12_lber"
"austrian_rebels"	"Art_Horse_6_lber"
"austrian_rebels"	"Cav_Heavy_Dragoons"
"austrian_rebels"	"Cav_Lancer_Lancers"
"austrian_rebels"	"Cav_Light_Hussars"
"austrian_rebels"	"Cav_Stand_Chevauxlegers"
"austrian_rebels"	"Inf_Light_Light_Infantry"
"austrian_rebels"	"Inf_Line_Line_Infantry"
"austrian_rebels"	"Inf_Militia_Landwehr"
"austrian_rebels"	"Inf_Skirm_Jager"
"bavaria"	"Art_Foot_12_lber"
"bavaria"	"Art_Foot_6_lber"
"bavaria"	"Art_Horse_6_lber"
"bavaria"	"Cav_Heavy_Dragoons"
"bavaria"	"Cav_Stand_Chevauxlegers"
"bavaria"	"Inf_Light_Light_Infantry"
"bavaria"	"Inf_Line_Line_Infantry"
"bavaria"	"Inf_Militia_Landwehr"
"bavaria"	"Inf_Skirm_Jager"
"belgium"	"Art_Foot_12_lber"
"belgium"	"Art_Foot_6_lber"
"belgium"	"Art_Horse_6_lber"
"belgium"	"Cav_Light_Hussars"
"belgium"	"Cav_Stand_Chevauxlegers"
"belgium"	"Inf_Light_Dutch_Flanquers"
"belgium"	"Inf_Line_Line_Infantry"
"belgium"	"Inf_Militia_Militia"
"britain"	"Art_Foot_British_6_lber"
"britain"	"Art_Foot_British_9_lber"
"britain"	"Art_Horse_British_6_lber"
"britain"	"Cav_Heavy_British_Dragoons"
"britain"	"Cav_Light_British_Light_Dragoons"
"britain"	"Inf_Light_British_Light_Foot"
"britain"	"Inf_Line_British_Foot"
"britain"	"Inf_Line_British_Highland_Foot"
"britain"	"Inf_Militia_British_Fencibles"
"british_rebels"	"Art_Foot_6_lber"
"british_rebels"	"Art_Horse_6_lber"
"british_rebels"	"Cav_Heavy_Dragoons"
"british_rebels"	"Cav_Light_Light_Dragoons"
"british_rebels"	"Inf_Light_Light_Infantry"
"british_rebels"	"Inf_Line_Line_Infantry"
"british_rebels"	"Inf_Militia_Militia"
"brittany"	"Art_Foot_12_lber"
"brittany"	"Art_Foot_6_lber"
"brittany"	"Art_Horse_6_lber"
"brittany"	"Cav_Heavy_Dragoons"
"brittany"	"Cav_Light_Hussars"
"brittany"	"Inf_Light_Light_Infantry"
"brittany"	"Inf_Line_Line_Infantry"
"brittany"	"Inf_Militia_Militia"
"catalonia"	"Art_Foot_12_lber"
"catalonia"	"Art_Foot_6_lber"
"catalonia"	"Art_Horse_6_lber"
"catalonia"	"Cav_Heavy_Dragoons"
"catalonia"	"Cav_Light_Hussars"
"catalonia"	"Inf_Gren_Grenadiers"
"catalonia"	"Inf_Light_Light_Infantry"
"catalonia"	"Inf_Line_Line_Infantry"
"catalonia"	"Inf_Militia_Militia"
"cossack_rebels"	"Art_Foot_12_lber"
"cossack_rebels"	"Art_Horse_6_lber"
"cossack_rebels"	"Cav_Heavy_Dragoons"
"cossack_rebels"	"Cav_Lancer_Russian_Cossack_Cavalry"
"cossack_rebels"	"Cav_Light_Hussars"
"cossack_rebels"	"Inf_Line_Musketeers"
"cossack_rebels"	"Inf_Militia_Militia"
"cossack_rebels"	"Inf_Skirm_Jager"
"courland"	"Art_Foot_12_lber"
"courland"	"Art_Foot_6_lber"
"courland"	"Art_Horse_6_lber"
"courland"	"Cav_Heavy_Dragoons"
"courland"	"Cav_Lancer_Lancers"
"courland"	"Cav_Light_Hussars"
"courland"	"Inf_Gren_Grenadiers"
"courland"	"Inf_Line_Line_Infantry"
"courland"	"Inf_Militia_Militia"
"crimean_khanate"	"Art_Foot_12_lber"
"crimean_khanate"	"Art_Foot_6_lber"
"crimean_khanate"	"Cav_Heavy_Dragoons"
"crimean_khanate"	"Cav_Lancer_Russian_Cossack_Cavalry"
"crimean_khanate"	"Cav_Light_Hussars"
"crimean_khanate"	"Inf_Line_Line_Infantry"
"crimean_khanate"	"Inf_Militia_Militia"
"crimean_khanate"	"Inf_Skirm_Jager"
"denmark"	"Art_Foot_12_lber"
"denmark"	"Art_Foot_6_lber"
"denmark"	"Art_Horse_6_lber"
"denmark"	"Cav_Heavy_Dragoons"
