version 1, schema loading_screens_tables
Screen(string)	Type(string)	Image(string)	Info(string)
"battle_load_land"	"battle_land"	"UI/loading_screen_pictures/default_landbattle.dds"	"LOAD_SCREEN_6"
"battle_load_naval"	"battle_naval"	"UI/loading_screen_pictures/default_seabattle.dds"	"LOAD_SCREEN_3"
"campaign_load"	"campaign"	"UI/loading_screen_pictures/1.tga"	"LOAD_SCREEN_1"
"campaign_load2"	"campaign"	"UI/loading_screen_pictures/2.tga"	"LOAD_SCREEN_2"
"campaign_load3"	"campaign"	"UI/loading_screen_pictures/3.tga"	"LOAD_SCREEN_3"
"campaign_load4"	"campaign"	"UI/loading_screen_pictures/4.tga"	"LOAD_SCREEN_4"
"campaign_load5"	"campaign"	"UI/loading_screen_pictures/5.tga"	"LOAD_SCREEN_5"
"campaign_load6"	"campaign"	"UI/loading_screen_pictures/6.tga"	"LOAD_SCREEN_6"
"default"	"none"	"CommonTextures/default_black.dds"	"default_load_screen"
"legal_load_screen"	"front_end"	"UI/FrontEnd UI/LoadingScreen/legal.tga"	"legal_load_screen"
"campaign_load7"	"campaign"	"UI/loading_screen_pictures/ambush14.jpg"	"LOAD_SCREEN_6"
