version 1, schema ministerial_positions_by_gov_types_tables
Faction(string)	Position(string)	Government_x0020_Type(string)	Gender(string)	Title(string)
"austria"	"army"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_war"
"austria"	"army"	"gov_constitutional_monarchy"	"b"	"first_minister"
"austria"	"army"	"gov_republic"	"b"	"secretary_of_war"
"austria"	"faction_leader"	"gov_absolute_monarchy"	"f"	"queen"
"austria"	"faction_leader"	"gov_absolute_monarchy"	"m"	"king"
"austria"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"queen"
"austria"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"king"
"austria"	"faction_leader"	"gov_republic"	"f"	"kaiserin"
"austria"	"faction_leader"	"gov_republic"	"m"	"kaiser"
"austria"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"austria"	"finance"	"gov_constitutional_monarchy"	"b"	"treasury_minister"
"austria"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"austria"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord"
"austria"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"first_minister"
"austria"	"head_of_government"	"gov_republic"	"b"	"first_minister"
"austria"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chief_justice"
"austria"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"austria"	"justice"	"gov_republic"	"b"	"attorney_general"
"austria"	"navy"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_the_admiralty"
"austria"	"navy"	"gov_constitutional_monarchy"	"b"	"minister_for_the_navy"
"austria"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"austrian_rebels"	"army"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_war"
"austrian_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"minister_of_war"
"austrian_rebels"	"army"	"gov_republic"	"b"	"secretary_of_war"
"austrian_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"austrian_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"treasury_minister"
"austrian_rebels"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"austrian_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord"
"austrian_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"first_minister"
"austrian_rebels"	"head_of_government"	"gov_republic"	"b"	"first_minister"
"austrian_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chief_justice"
"austrian_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"austrian_rebels"	"justice"	"gov_republic"	"b"	"attorney_general"
"austrian_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_the_admiralty"
"austrian_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"minister_for_the_navy"
"austrian_rebels"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"bavaria"	"army"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_war"
"bavaria"	"army"	"gov_constitutional_monarchy"	"b"	"first_minister"
"bavaria"	"army"	"gov_republic"	"b"	"secretary_of_war"
"bavaria"	"faction_leader"	"gov_absolute_monarchy"	"f"	"konigin"
"bavaria"	"faction_leader"	"gov_absolute_monarchy"	"m"	"konig"
"bavaria"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"konigin"
"bavaria"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"konig"
"bavaria"	"faction_leader"	"gov_republic"	"f"	"kaiserin"
"bavaria"	"faction_leader"	"gov_republic"	"m"	"kaiser"
"bavaria"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"bavaria"	"finance"	"gov_constitutional_monarchy"	"b"	"treasury_minister"
"bavaria"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"bavaria"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord"
"bavaria"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"first_minister"
"bavaria"	"head_of_government"	"gov_republic"	"b"	"first_minister"
"bavaria"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chief_justice"
"bavaria"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"bavaria"	"justice"	"gov_republic"	"b"	"attorney_general"
"bavaria"	"navy"	"gov_absolute_monarchy"	"b"	"lord_secretary_of_the_admiralty"
"bavaria"	"navy"	"gov_constitutional_monarchy"	"b"	"minister_for_the_navy"
"bavaria"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"britain"	"army"	"gov_absolute_monarchy"	"b"	"lord_high_constable"
"britain"	"army"	"gov_constitutional_monarchy"	"b"	"secretary_at_war"
"britain"	"army"	"gov_republic"	"b"	"secretary_at_war"
"britain"	"faction_leader"	"gov_absolute_monarchy"	"f"	"queen"
"britain"	"faction_leader"	"gov_absolute_monarchy"	"m"	"king"
"britain"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"queen"
"britain"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"king"
"britain"	"faction_leader"	"gov_republic"	"f"	"high_protector"
"britain"	"faction_leader"	"gov_republic"	"m"	"lord_protector"
"britain"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"britain"	"finance"	"gov_constitutional_monarchy"	"b"	"chancellor_of_the_exchequer"
"britain"	"finance"	"gov_republic"	"b"	"treasury_secretary"
"britain"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord_of_the_treasury"
"britain"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"prime_minister"
"britain"	"head_of_government"	"gov_republic"	"b"	"prime_minister"
"britain"	"justice"	"gov_absolute_monarchy"	"b"	"lord_high_steward"
"britain"	"justice"	"gov_constitutional_monarchy"	"b"	"lord_chancellor"
"britain"	"justice"	"gov_republic"	"b"	"attorney_general"
"britain"	"navy"	"gov_absolute_monarchy"	"b"	"lord_high_admiral"
"britain"	"navy"	"gov_constitutional_monarchy"	"b"	"first_lord_of_the_admiralty"
"britain"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"british_rebels"	"army"	"gov_absolute_monarchy"	"b"	"lord_high_constable"
"british_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"secretary_at_war"
"british_rebels"	"army"	"gov_republic"	"b"	"secretary_at_war"
"british_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"second_lord_of_the_treasury"
"british_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"chancellor_of_the_exchequer"
"british_rebels"	"finance"	"gov_republic"	"b"	"treasury_secretary"
"british_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord_of_the_treasury"
"british_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"first_lord_of_the_treasury"
"british_rebels"	"head_of_government"	"gov_republic"	"b"	"prime_minister"
"british_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chancellor"
"british_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"british_rebels"	"justice"	"gov_republic"	"b"	"attorney_general"
"british_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"lord_high_admiral"
"british_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"first_lord_of_the_admiralty"
"british_rebels"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"cossack_rebels"	"army"	"gov_absolute_monarchy"	"b"	"counsellor_of_stanitsas"
"cossack_rebels"	"army"	"gov_constitutional_monarchy"	"b"	"counsellor_of_stanitsas"
"cossack_rebels"	"army"	"gov_republic"	"b"	"counsellor_of_stanitsas"
"cossack_rebels"	"finance"	"gov_absolute_monarchy"	"b"	"hetmans_treasurer"
"cossack_rebels"	"finance"	"gov_constitutional_monarchy"	"b"	"hetmans_treasurer"
"cossack_rebels"	"finance"	"gov_republic"	"b"	"hetmans_treasurer"
"cossack_rebels"	"head_of_government"	"gov_absolute_monarchy"	"b"	"hetmans_counsellor"
"cossack_rebels"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"hetmans_counsellor"
"cossack_rebels"	"head_of_government"	"gov_republic"	"b"	"hetmans_counsellor"
"cossack_rebels"	"justice"	"gov_absolute_monarchy"	"b"	"elder_counsellor"
"cossack_rebels"	"justice"	"gov_constitutional_monarchy"	"b"	"elder_counsellor"
"cossack_rebels"	"justice"	"gov_republic"	"b"	"elder_counsellor"
"cossack_rebels"	"navy"	"gov_absolute_monarchy"	"b"	"counsellor_for_the_watery_steppes"
"cossack_rebels"	"navy"	"gov_constitutional_monarchy"	"b"	"counsellor_for_the_watery_steppes"
"cossack_rebels"	"navy"	"gov_republic"	"b"	"counsellor_for_the_watery_steppes"
"courland"	"army"	"gov_absolute_monarchy"	"b"	"lord_minister_of_war"
"courland"	"army"	"gov_constitutional_monarchy"	"b"	"minister_of_war"
"courland"	"army"	"gov_republic"	"b"	"minister_of_war"
"courland"	"faction_leader"	"gov_absolute_monarchy"	"b"	"premier"
"courland"	"faction_leader"	"gov_constitutional_monarchy"	"b"	"premier"
"courland"	"faction_leader"	"gov_republic"	"b"	"president"
"courland"	"finance"	"gov_absolute_monarchy"	"b"	"lord_treasurer"
"courland"	"finance"	"gov_constitutional_monarchy"	"b"	"treasury_minister"
"courland"	"finance"	"gov_republic"	"b"	"secretary_of_the_treasury"
"courland"	"head_of_government"	"gov_absolute_monarchy"	"b"	"first_lord"
"courland"	"head_of_government"	"gov_constitutional_monarchy"	"b"	"chief_minister"
"courland"	"head_of_government"	"gov_republic"	"b"	"prime_minister"
"courland"	"justice"	"gov_absolute_monarchy"	"b"	"lord_chief_justice"
"courland"	"justice"	"gov_constitutional_monarchy"	"b"	"chief_justice"
"courland"	"justice"	"gov_republic"	"b"	"attorney_general"
"courland"	"navy"	"gov_absolute_monarchy"	"b"	"lord_minister_of_the_admiralty"
"courland"	"navy"	"gov_constitutional_monarchy"	"b"	"minister_of_the_admiralty"
"courland"	"navy"	"gov_republic"	"b"	"secretary_of_the_admiralty"
"crimean_khanate"	"army"	"gov_absolute_monarchy"	"b"	"horde_bey"
"crimean_khanate"	"army"	"gov_constitutional_monarchy"	"b"	"horde_bey"
"crimean_khanate"	"army"	"gov_republic"	"b"	"horde_bey"
"crimean_khanate"	"faction_leader"	"gov_absolute_monarchy"	"f"	"tsarina"
"crimean_khanate"	"faction_leader"	"gov_absolute_monarchy"	"m"	"tsar"
"crimean_khanate"	"faction_leader"	"gov_constitutional_monarchy"	"f"	"tsarina"
"crimean_khanate"	"faction_leader"	"gov_constitutional_monarchy"	"m"	"tsar"
"crimean_khanate"	"faction_leader"	"gov_republic"	"b"	"president"
"crimean_khanate"	"finance"	"gov_absolute_monarchy"	"b"	"mufti"
"crimean_khanate"	"finance"	"gov_constitutional_monarchy"	"b"	"mufti"
"crimean_khanate"	"finance"	"gov_republic"	"b"	"mufti"
