version 1, schema mount_variants_tables
Mount_variant(string)	Mount_ID(string)	unknown3(float)
"horse_hussar_black"	"horse_hussar_black"	1
"horse_hussar_mixed_brown"	"horse_hussar_brown"	1
"horse_basic_mixed"	"horse_basic_brown"	1
"horse_covered_black"	"horse_covered_black"	1
"horse_artillery_mixed_brown"	"horse_artillery_light_brown"	1
"horse_hussar_mixed_brown"	"horse_hussar_light_brown"	1
"horse_iberian_grey"	"horse_iberian_grey"	1
"horse_basic_dark_brown"	"horse_basic_dark_brown"	1
"horse_artillery_grey"	"horse_artillery_grey"	1
"horse_basic_mixed_brown"	"horse_basic_light_brown"	1
"horse_hussar_mixed"	"horse_hussar_dark_brown"	1
"horse_hussar_mixed"	"horse_hussar_black"	1
"horse_basic_mixed_brown"	"horse_basic_brown"	1
"horse_artillery_mixed_brown"	"horse_artillery_dark_brown"	1
"horse_basic_mixed"	"horse_basic_dark_brown"	1
"horse_basic_mixed"	"horse_basic_black"	1
"camel_base"	"camel_base"	1
"horse_hussar_mixed"	"horse_hussar_grey"	1
"horse_basic_black"	"horse_basic_black"	1
"horse_hussar_mixed"	"horse_hussar_brown"	1
"horse_iberian_white"	"horse_iberian_white"	1
"horse_artillery_mixed_brown"	"horse_artillery_brown"	1
"horse_hussar_mixed"	"horse_hussar_light_brown"	1
"horse_hussar_light_brown"	"horse_hussar_light_brown"	1
"horse_basic_light_brown"	"horse_basic_light_brown"	1
"horse_covered_grey"	"horse_covered_grey"	1
"horse_iberian_mixed_brown"	"horse_iberian_light_brown"	1
"horse_covered_dark_brown"	"horse_covered_dark_brown"	1
"horse_covered_mixed_brown"	"horse_covered_brown"	1
"horse_basic_mixed"	"horse_basic_light_brown"	1
"horse_covered_light_brown"	"horse_covered_light_brown"	1
"horse_iberian_mixed_brown"	"horse_iberian_dark_brown"	1
"horse_iberian_dark_brown"	"horse_iberian_dark_brown"	1
"horse_basic_mixed_brown"	"horse_basic_dark_brown"	1
"horse_covered_mixed_brown"	"horse_covered_dark_brown"	1
"horse_hussar_dark_brown"	"horse_hussar_dark_brown"	1
"horse_iberian_mixed_brown"	"horse_iberian_brown"	1
"horse_hussar_mixed_brown"	"horse_hussar_dark_brown"	1
"horse_iberian_light_brown"	"horse_iberian_light_brown"	1
"horse_iberian_black"	"horse_iberian_black"	1
"horse_covered_white"	"horse_covered_white"	1
"horse_covered_mixed_brown"	"horse_covered_light_brown"	1
"horse_basic_white"	"horse_basic_white"	1
"horse_basic_mixed"	"horse_basic_grey"	1
"horse_basic_grey"	"horse_basic_grey"	1
"ncs_camel"	"ncs_camel"	1
