version 1, schema mp_general_command_ratings_tables
general_id(string)	rating(int)
"Gen_Ahmed_Al-Jazzar"	6
"Gen_Anders_Fredrik_Skjoldebrand"	3
"Gen_Antonio_Henriques"	6
"Gen_Archduke_Charles"	9
"Gen_Bernadotte"	9
"Gen_Count_von_Bennigsen"	3
"Gen_Count_von_Gneisenau"	3
"Gen_David_Hendrik_Chasse"	3
"Gen_Duke_of_Wellington"	9
"Gen_Ernst_Paymann"	6
"Gen_Francisco_Castanos"	6
"Gen_Generals_Bodyguard"	0
"Gen_Gerhard_Blucher"	9
"Gen_Gerhard_von_Scharnhorst"	6
"Gen_Gomes_Freire_de_Andrade"	9
"Gen_Gregorio_Garcia_de_la_Cuesta"	3
"Gen_Hans_Henric_von_Essen"	6
"Gen_Ibrahim_Basha"	3
"Gen_Jean_Victor_baron_de_Constant_Rebecque"	6
"Gen_Joachim_Melchior_Holten_Castenschiold"	3
"Gen_Joaquin_Blake_y_Joyes"	9
"Gen_Jozsef_Alvinczi"	3
"Gen_Karl_Schwarzenberg"	6
"Gen_Late_Napoleon"	9
"Gen_Luis_do_Rego_Barreto"	3
"Gen_Marechal_Ney"	6
"Gen_Marechal_Soult"	3
"Gen_Mehmed_Ali"	9
"Gen_Mikhail_Kutuzov"	9
"Gen_Picton"	3
"Gen_Prince_de_Tolly"	6
"Gen_Prince_Frederick_of_Hessen"	9
"Gen_Prince_of_Orange"	9
"Gen_Sir_John_Moore"	6
"Gen_British_Guerilla_Leader_Guerilla"	0
