version 1, schema names_royalty_tables
Faction_IDRef(string)	Name(string)	unknown1(int)	gender(string)	unknown2(int)	unknown3(int)
"austria"	"Anton"	1	"m"	1	161011545
"austria"	"Eleonore"	1	"f"	1	-1968636092
"austria"	"Elisabeth"	1	"f"	1	-1119333220
"austria"	"Elisabeth Amalia"	1	"f"	1	1034211631
"austria"	"Elisabeth Christine"	1	"f"	1	-1069906158
"austria"	"Ferdinand"	1	"m"	3	-116724355
"austria"	"Francis"	2	"m"	0	1252655491
"austria"	"Franz"	1	"m"	3	1081265040
"austria"	"Franz Joseph"	1	"m"	3	-1961809839
"austria"	"Joseph"	1	"m"	3	1243867691
"austria"	"Karl"	1	"m"	3	1248650227
"austria"	"Leopold"	1	"m"	3	1183452410
"austria"	"Ludwig"	1	"m"	1	1739613112
"austria"	"Maria"	1	"f"	1	461167678
"austria"	"Maria Anna"	1	"f"	1	-627584858
"austria"	"Maria Leopoldine"	1	"f"	1	1548905191
"austria"	"Maria Theresia"	1	"f"	3	-1307838731
"bavaria"	"Albrecht"	1	"m"	1	1617376809
"bavaria"	"Amalia Wilhelmine"	1	"f"	1	1321276332
"bavaria"	"Anna"	1	"f"	1	705518390
"bavaria"	"Christina"	1	"f"	1	1393232288
"bavaria"	"Claudia"	1	"f"	1	-1883124652
"bavaria"	"Ferdinand Maria"	1	"m"	3	-1637070852
"bavaria"	"Henriette"	1	"f"	1	2095209122
"bavaria"	"Karl Albrecht"	1	"m"	3	884281165
"bavaria"	"Karl Theodor"	1	"m"	3	30596746
"bavaria"	"Ludwig"	1	"m"	1	914430531
"bavaria"	"Margarita Teresa"	1	"f"	1	1448446158
"bavaria"	"Maria Amalie"	1	"f"	1	-1284366281
"bavaria"	"Maria Anna"	1	"f"	1	-744201531
"bavaria"	"Maria Antonia"	1	"f"	1	-879333087
"bavaria"	"Maria Josepha"	1	"f"	1	190665146
"bavaria"	"Maurita"	1	"f"	1	1337424507
"bavaria"	"Maximilian"	1	"m"	3	559589319
"bavaria"	"Maximiliane"	1	"f"	1	-560136899
"bavaria"	"Renata"	1	"f"	1	-1546941313
"bavaria"	"Wilhelm"	1	"m"	1	336187336
"britain"	"Adelaide"	1	"f"	1	1616559797
"britain"	"Amelia"	1	"f"	1	1535779794
"britain"	"Anne"	1	"f"	3	592738739
"britain"	"Caroline"	1	"f"	3	1998537455
"britain"	"Charlotte"	1	"f"	1	1466007044
"britain"	"Frederick"	1	"m"	1	-430314479
"britain"	"George"	1	"m"	5	1223702136
"britain"	"Louise"	1	"f"	1	2061940304
"britain"	"Mary"	1	"f"	1	-1913194517
"britain"	"Sophia"	1	"f"	1	881779046
"britain"	"Victoria"	1	"f"	1	1232638589
"britain"	"William"	1	"m"	1	-383163623
"courland"	"Ernst Johann"	1	"m"	1	-1797594161
"courland"	"Ferdinand"	1	"m"	1	-1481936442
"courland"	"Friedrich"	1	"m"	3	1076619224
"courland"	"Gotthard"	1	"m"	1	-357028717
"courland"	"Jacob"	1	"m"	1	2013516025
"courland"	"Karl"	1	"m"	1	1430702741
"courland"	"Louis Ernest"	1	"m"	1	-68811420
"courland"	"Peter"	1	"m"	1	330529330
"crimean_khanate"	"Devlet"	1	"m"	1	-925538613
"crimean_khanate"	"Fetih"	1	"m"	1	837581814
"crimean_khanate"	"Gazi"	1	"m"	1	-1801619983
"crimean_khanate"	"Halim"	1	"m"	1	221721224
"crimean_khanate"	"Menli"	1	"m"	1	-1215381828
"crimean_khanate"	"Qaplan"	1	"m"	1	518275422
"crimean_khanate"	"Qirim"	1	"m"	1	-468053527
"crimean_khanate"	"Saadet"	1	"m"	1	-2108034681
"crimean_khanate"	"Sahib"	1	"m"	1	-225017853
"crimean_khanate"	"Selamet"	1	"m"	1	-2039189747
"crimean_khanate"	"Selim"	1	"m"	1	60650416
"denmark"	"Caroline"	1	"f"	1	-1545894687
"denmark"	"Charlotte"	1	"f"	1	-1707572850
"denmark"	"Christian"	1	"m"	5	-1428104428
"denmark"	"Frederik"	1	"m"	5	-311374273
"denmark"	"Juliane"	1	"f"	1	871269472
"denmark"	"Karl"	1	"m"	1	1868200581
"denmark"	"Louise"	1	"f"	3	-1522858142
"denmark"	"Sophie"	1	"f"	1	-2105386949
"egy_britain"	"George"	3	"m"	4	1815277052
"egy_ottomans"	"Abdülhamid"	2	"m"	1	-1551279457
"egy_ottomans"	"Ahmed"	4	"m"	1	1353544040
"egy_ottomans"	"Mahmud"	2	"m"	3	1415601993
"egy_ottomans"	"Mehmed"	5	"m"	3	194781233
"egy_ottomans"	"Mustafa"	4	"m"	4	1541989987
"egy_ottomans"	"Osman"	4	"m"	2	-1882434090
"egy_ottomans"	"Selim"	3	"m"	1	-212875276
"egy_ottomans"	"Suleiman"	3	"m"	1	1248947952
"france"	"Anne-Élisabeth"	1	"f"	1	372821245
"france"	"Élisabeth"	1	"f"	1	61387302
"france"	"Louis"	1	"m"	10	-36414985
"france"	"Marie-Anne"	1	"f"	1	-26782086
"france"	"Marie-Thérèse"	1	"f"	1	1281085299
"france"	"Napoléon"	1	"m"	1	1245408189
"france"	"Philippe"	1	"m"	1	1374141036
"france"	"Sophie"	1	"f"	1	-589320487
"france"	"Victoire"	1	"f"	1	-968570568
"hannover"	"Anna Amalie"	1	"f"	1	19515117
"hannover"	"Charlotte"	1	"f"	1	-535880989
"hannover"	"Christian Heinrich"	1	"f"	1	834731623
"hannover"	"Ernst August"	1	"m"	1	-2143980369
"hannover"	"Friedrich August"	1	"m"	1	-257833557
"hannover"	"Georg"	1	"m"	4	514541173
"hannover"	"Georg Ludwig"	1	"m"	1	-1862615868
"hannover"	"Georg Wilhelm"	1	"m"	1	1504215186
"hannover"	"Karl Phillip"	1	"f"	1	906587582
"hannover"	"Luise Ulrike"	1	"f"	1	-1756306006
"hannover"	"Maximilian Wilhelm"	1	"m"	1	-137928432
"hannover"	"Sophie Charlotte"	1	"f"	1	-1556058159
"hannover"	"Sophie Dorothea"	1	"f"	1	-96648676
"hessen"	"Amalia"	1	"f"	1	1327148827
"hessen"	"Friedrich"	1	"m"	5	-978081847
"hessen"	"Friedrich Wilhelm"	1	"m"	1	-73410785
"hessen"	"Hedwig Amalie"	1	"f"	1	1126083188
"hessen"	"Karl"	1	"m"	1	2123344872
"hessen"	"Karl Eduard"	1	"m"	1	-1299698075
"hessen"	"Maria Amalie"	1	"f"	1	467592642
"hessen"	"Marie"	1	"f"	1	1768556014
"hessen"	"Marie Luise"	1	"f"	1	511106775
"hessen"	"Moritz"	1	"m"	1	1623394752
"hessen"	"Sophie Charlotte"	1	"f"	1	-318032191
"hessen"	"Wilhelm"	1	"m"	5	-292350890
"ireland"	"Brian"	1	"m"	1	1598219571
"ireland"	"Dermot"	1	"m"	1	749028070
