version 1, schema projectile_shot_type_enum_tables
Projectile_Shot(string)	Researchable_technology(boolean)	unknown2(boolean)	Obsoleted_Projectile_Shot(optstring)	unknown3(boolean)	Artillery_projectile_x0020__x0028__x003F__x0029_(boolean)
"air_pellet"	false	false	nil	true	false
"arrow"	false	false	nil	false	false
"bullet"	false	false	nil	true	false
"canister"	false	false	nil	false	true
"carcass"	true	false	nil	false	true
"chain"	false	false	nil	false	true
"chakkar_ring"	false	false	nil	false	false
"explosive_shell"	false	false	nil	false	true
"fougasse"	false	false	nil	false	true
"fragment"	false	false	nil	false	true
"grape"	false	false	nil	false	true
"grappling_hook"	false	false	nil	false	false
"grenade"	false	true	nil	true	false
"hot_shot"	false	false	nil	false	true
"improved_fougasse"	false	false	"fougasse"	false	true
"improved_grape"	true	false	"grape"	false	true
"improved_grenade"	true	true	"grenade"	true	false
"javelin"	false	false	nil	false	false
"percussive_shell"	false	false	nil	false	true
"quicklime"	true	false	nil	false	true
"rifled_naval_cannon"	true	false	"round_shot"	false	true
"rocket"	false	false	nil	false	true
"round_shot"	false	false	nil	false	true
"shrapnel"	true	false	nil	false	true
"throwing_axe"	false	false	nil	false	false
"uniform_shot"	true	false	"round_shot"	false	true
