version 2, schema regions_tables
Region_ID(string)	Continent_IDRef(string)	R(int)	G(int)	B(int)	unknown6(string)
"egy_amman"	"cont_middle_east"	209	124	13	"Amman"
"egy_arabah"	"cont_middle_east"	89	221	82	"Arabah"
"egy_beheira"	"cont_middle_east"	144	198	66	"Damanhour"
"egy_beni_suef"	"cont_middle_east"	65	183	221	"Beni Suef"
"egy_cyprus"	"cont_middle_east"	212	61	46	"Cyprus"
"egy_dakhalia"	"cont_middle_east"	200	82	82	"Dakhalia"
"egy_dumyat"	"cont_middle_east"	53	208	79	"Damietta"
"egy_el_jnoub"	"cont_middle_east"	208	126	110	"El-Jnoub"
"egy_fayum_oasis"	"cont_middle_east"	221	117	217	"Fayum Oasis"
"egy_galilee"	"cont_middle_east"	199	155	196	"Galilee"
"egy_gharbia"	"cont_middle_east"	42	163	139	"Gharbia"
"egy_hedjaz"	"cont_middle_east"	186	106	128	"Hedjaz"
"egy_helwan"	"cont_middle_east"	221	126	217	"Helwan"
"egy_judea"	"cont_middle_east"	197	197	197	"Judea"
"egy_maan"	"cont_middle_east"	185	160	61	"Ma'an"
"egy_matruh"	"cont_middle_east"	202	203	109	"Matruh"
"egy_minya"	"cont_middle_east"	213	74	107	"Minya"
"egy_mount_lebanon"	"cont_middle_east"	217	186	80	"Mount Lebanon"
"egy_negev"	"cont_middle_east"	216	219	109	"Negev"
"egy_north_lebanon"	"cont_middle_east"	117	161	84	"North Lebanon"
"egy_north_sinai"	"cont_middle_east"	176	68	104	"North Sinai"
"egy_palestine"	"cont_middle_east"	102	198	80	"Palestine"
"egy_qalyubia"	"cont_middle_east"	184	56	56	"Qalyubia"
"egy_red_sea_coast"	"cont_middle_east"	204	154	74	"Red Sea Coast"
"egy_rif_dimashq"	"cont_middle_east"	129	186	197	"Rif Dimashq"
"egy_sharqia"	"cont_middle_east"	120	185	197	"Sharqia"
"egy_south_sinai"	"cont_middle_east"	190	180	75	"South Sinai"
"egy_syria"	"cont_middle_east"	211	152	217	"Syria"
"egy_syrian_coast"	"cont_middle_east"	204	190	131	"Syrian Coast"
"egy_western_delta"	"cont_middle_east"	101	44	217	"Western Delta"
"eur_alsace_lorraine"	"cont_europe"	137	77	113	"Alsace-Lorraine"
